,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,147.0,343.0,390.0,69.0,39.0,13.0,2.0,15.0,38.0,38.0,41.0,3.0,104.0,4.0,1.0,1.0,9.0,3.0,3.0,0.201,10.5,26.7,0.39,0.293,0.382,0.675,0.181,0.24,37.0,-11.8,0.295,73.0
1,Total,Away,145.0,373.0,410.0,78.0,57.0,10.0,0.0,11.0,51.0,39.0,33.0,4.0,118.0,2.0,2.0,0.0,4.0,2.0,2.0,0.209,8.0,28.8,0.28,0.276,0.324,0.6,0.115,0.272,28.0,-23.0,0.264,53.0
