,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,30.0,58.0,65.0,15.0,12.0,1.0,1.0,1.0,3.0,7.0,4.0,0.0,16.0,1.0,0.0,2.0,2.0,0.0,0.0,0.259,6.2,24.6,0.25,0.317,0.362,0.68,0.103,0.341,7.0,-1.4,0.303,75.0
3,Total,vs R as R,41.0,77.0,82.0,15.0,8.0,4.0,0.0,3.0,8.0,8.0,4.0,0.0,24.0,0.0,0.0,1.0,4.0,1.0,0.0,0.195,4.9,29.3,0.17,0.235,0.364,0.598,0.169,0.24,5.0,-4.8,0.259,47.0
4,Total,vs L,31.0,58.0,65.0,15.0,12.0,1.0,1.0,1.0,4.0,7.0,4.0,0.0,16.0,1.0,0.0,2.0,2.0,1.0,0.0,0.259,6.2,24.6,0.25,0.317,0.362,0.68,0.103,0.341,7.0,-1.4,0.303,75.0
5,Total,vs R,42.0,77.0,82.0,15.0,8.0,4.0,0.0,3.0,13.0,8.0,4.0,0.0,24.0,0.0,0.0,1.0,4.0,1.0,0.0,0.195,4.9,29.3,0.17,0.235,0.364,0.598,0.169,0.24,5.0,-4.8,0.259,47.0
