,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,54.0,133.0,148.0,36.0,32.0,2.0,0.0,2.0,11.0,13.0,7.0,0.0,23.0,1.0,2.0,5.0,2.0,2.0,2.0,0.271,4.7,15.5,0.3,0.308,0.331,0.639,0.06,0.309,13.0,-5.1,0.286,68.0
1,Total,Away,54.0,134.0,144.0,29.0,25.0,3.0,0.0,1.0,11.0,7.0,7.0,0.0,23.0,1.0,0.0,2.0,4.0,4.0,0.0,0.216,4.9,16.0,0.3,0.261,0.261,0.522,0.045,0.255,7.0,-10.6,0.239,38.0
