,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,502.0,1882.0,2031.0,559.0,419.0,83.0,34.0,23.0,268.0,182.0,99.0,14.0,229.0,8.0,10.0,32.0,34.0,41.0,21.0,0.297,4.9,11.3,0.43,0.333,0.414,0.747,0.117,0.327,240.0,-5.3,0.325,95.0
1,Total,Away,492.0,1956.0,2081.0,500.0,372.0,90.0,18.0,20.0,243.0,154.0,77.0,3.0,285.0,13.0,15.0,20.0,38.0,22.0,22.0,0.256,3.7,13.7,0.27,0.286,0.351,0.637,0.095,0.288,169.0,-82.1,0.28,65.0
