,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,37.0,78.0,86.0,18.0,12.0,3.0,0.0,3.0,5.0,8.0,8.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,9.3,39.5,0.24,0.302,0.385,0.687,0.154,0.366,9.0,-0.8,0.304,96.0
3,Total,vs R as R,49.0,95.0,102.0,18.0,9.0,5.0,1.0,3.0,3.0,8.0,5.0,0.0,39.0,1.0,1.0,0.0,1.0,0.0,0.0,0.189,4.9,38.2,0.13,0.235,0.358,0.593,0.168,0.278,7.0,-4.6,0.257,63.0
4,Total,vs L,37.0,78.0,86.0,18.0,12.0,3.0,0.0,3.0,10.0,8.0,8.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.231,9.3,39.5,0.24,0.302,0.385,0.687,0.154,0.366,9.0,-0.8,0.304,96.0
5,Total,vs R,49.0,95.0,102.0,18.0,9.0,5.0,1.0,3.0,5.0,8.0,5.0,0.0,39.0,1.0,1.0,0.0,1.0,2.0,1.0,0.189,4.9,38.2,0.13,0.235,0.358,0.593,0.168,0.278,7.0,-4.6,0.257,63.0
