,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,35.0,85.0,101.0,22.0,17.0,3.0,0.0,2.0,17.0,5.0,12.0,1.0,18.0,1.0,1.0,2.0,1.0,4.0,0.0,0.259,11.9,17.8,0.67,0.354,0.365,0.718,0.106,0.303,12.0,-0.4,0.321,93.0
1,Total,Away,42.0,104.0,117.0,22.0,14.0,6.0,0.0,2.0,11.0,5.0,11.0,0.0,30.0,1.0,0.0,1.0,4.0,0.0,2.0,0.212,9.4,25.6,0.37,0.293,0.327,0.62,0.115,0.278,10.0,-4.5,0.28,67.0
