,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,DKfp,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
0,Total,- - -,- - -,- - -,- - -,1235.0,4846.0,5375.0,1376.0,984.0,241.0,47.0,104.0,749.0,512.0,399.0,19.0,737.0,46.0,32.0,21.0,83.0,343.0,71.0,0.284,10700.0,7.4,13.7,0.54,0.342,0.417,0.76,0.134,7.1,0.315,35.7,680.0,60.8,0.333,104.0
1,2017-09-30,NYY,TOR,8,CF,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.8,0.0,-100.0
2,2017-09-28,NYY,TBR,8,CF,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,2.6,0.5,0.0,1.0,0.4,0.438,178.0
3,2017-09-25,NYY,KCR,8,CF,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-1.0,-1.1,0.0,-100.0
4,2017-09-23,NYY,@TOR,6,CF,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,3.0,0.0,25.0,0.0,0.25,0.25,0.5,0.0,2.5,0.333,-0.4,0.0,-0.3,0.219,28.0
5,2017-09-20,NYY,MIN,7,CF,1.0,4.0,5.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,22.0,20.0,0.0,1.0,0.8,1.5,2.3,0.75,5.1,0.75,0.0,3.0,2.3,0.871,474.0
6,2017-09-18,NYY,MIN,7,CF,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,15.0,25.0,0.0,1.0,0.667,0.5,1.167,0.0,5.0,0.5,0.4,1.0,0.4,0.438,178.0
7,2017-09-16,NYY,BAL,6,CF,1.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,20.0,0.0,25.0,0.0,0.75,1.0,1.75,0.25,6.5,1.0,0.2,2.0,1.4,0.746,389.0
8,2017-09-14,NYY,BAL,1,CF,1.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.0,60.0,0.0,3.0,0.8,0.5,1.3,0.0,2.6,0.5,0.0,2.0,1.1,0.591,283.0
9,2017-09-12,NYY,@TBR,9,PH-CF,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.3,0.0,-100.0
