,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,40.0,40.0,43.0,9.0,7.0,2.0,0.0,0.0,2.0,5.0,2.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.225,4.7,18.6,0.25,0.256,0.275,0.531,0.05,0.273,2.0,-3.3,0.236,38.0
1,Total,vs R as L,327.0,464.0,509.0,121.0,95.0,18.0,2.0,6.0,18.0,50.0,38.0,5.0,49.0,3.0,2.0,2.0,10.0,0.0,0.0,0.261,7.5,9.6,0.78,0.32,0.347,0.667,0.086,0.28,48.0,-14.1,0.295,76.0
2,Total,vs L as R,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
3,Total,vs R as R,46.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,-100.0
4,Total,vs L,40.0,40.0,43.0,9.0,7.0,2.0,0.0,0.0,6.0,5.0,2.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.225,4.7,18.6,0.25,0.256,0.275,0.531,0.05,0.273,2.0,-3.3,0.236,38.0
5,Total,vs R,330.0,467.0,512.0,121.0,95.0,18.0,2.0,6.0,43.0,50.0,38.0,5.0,49.0,3.0,2.0,2.0,10.0,5.0,2.0,0.259,7.4,9.6,0.78,0.318,0.345,0.662,0.086,0.278,47.0,-14.9,0.293,74.0
