,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,33.0,79.0,83.0,16.0,14.0,1.0,0.0,1.0,9.0,5.0,2.0,0.0,12.0,2.0,0.0,0.0,3.0,3.0,0.0,0.203,2.4,14.5,0.17,0.241,0.253,0.494,0.051,0.227,3.0,-7.0,0.225,28.0
1,Total,Away,31.0,60.0,66.0,14.0,13.0,1.0,0.0,0.0,9.0,2.0,3.0,0.0,15.0,1.0,0.0,2.0,0.0,2.0,1.0,0.233,4.5,22.7,0.2,0.281,0.25,0.531,0.017,0.311,4.0,-4.4,0.245,44.0
