"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Matt Carpenter","Cardinals","STL @ CIN","3B","4.98","1.24",".57",".31",".02",".34",".90",".77",".02",".01",".81",".88","10.21","15.88","11.82","8090"
"Mike Trout","Angels","CWS @ LAA","CF","4.51","1.12",".62",".21",".03",".27",".84",".75",".11",".06","1.05",".77","10.07","15.64","11.59","10155"
"Alex Bregman","Astros","HOU @ COL","3B","4.86","1.37",".75",".35",".03",".24",".93",".72",".10",".06",".54",".61","9.82","15.27","11.56","17678"
"J.D. Martinez","Red Sox","BOS @ BAL","DH","4.71","1.25",".67",".23",".01",".34",".76",".89",".01",".01",".47","1.14","9.35","14.63","10.97","6184"
"George Springer","Astros","HOU @ COL","CF","4.98","1.33",".81",".25",".02",".26",".89",".66",".07",".04",".57",".82","9.31","14.47","10.99","12856"
"Mookie Betts","Red Sox","BOS @ BAL","RF","4.92","1.28",".76",".28",".02",".23",".79",".62",".17",".07",".60",".63","9.29","14.40","10.99","13611"
"Jose Altuve","Astros","HOU @ COL","2B","4.76","1.49","1.00",".31",".03",".16",".77",".72",".12",".05",".47",".52","9.08","14.14","10.89","5417"
"Jose Ramirez","Indians","PIT @ CLE","3B","4.45","1.22",".65",".32",".03",".23",".74",".73",".10",".05",".52",".55","8.95","13.95","10.53","13510"
"Charlie Blackmon","Rockies","HOU @ COL","CF","4.60","1.30",".76",".22",".06",".27",".77",".61",".10",".05",".42",".97","8.84","13.71","10.56","7859"
"Bryce Harper","Nationals","WSH @ MIL","RF","4.72",".92",".46",".19",".01",".27",".75",".68",".05",".03","1.02","1.14","8.97","13.94","10.22","11579"
"Paul DeJong","Cardinals","STL @ CIN","SS","4.77","1.27",".72",".24",".01",".29",".74",".81",".02",".01",".38","1.10","8.72","13.64","10.31","18015"
"Eugenio Suarez","Reds","STL @ CIN","3B","4.41","1.09",".63",".19",".01",".26",".68",".83",".03",".02",".67",".92","8.64","13.51","10.03","12552"
"Francisco Lindor","Indians","PIT @ CLE","SS","4.69","1.24",".70",".28",".02",".24",".76",".64",".08",".05",".44",".72","8.56","13.32","10.14","12916"
"Shin-Soo Choo","Rangers","OAK @ TEX","DH","4.73","1.13",".70",".21",".01",".21",".76",".60",".06",".03",".83",".87","8.61","13.38","10.03","3174"
"Eric Thames","Brewers","WSH @ MIL","1B","4.58","1.05",".48",".20",".04",".32",".74",".60",".06",".03",".53","1.19","8.54","13.26","10.01","3711"
"Andrew Benintendi","Red Sox","BOS @ BAL","LF","4.82","1.18",".72",".25",".02",".19",".75",".64",".11",".07",".58",".82","8.50","13.22","10.01","17901"
"Aaron Judge","Yankees","NYY @ TB","RF","4.73","1.06",".56",".20",".01",".29",".71",".67",".04",".03",".65","1.51","8.51","13.25","9.91","15640"
"Marcell Ozuna","Cardinals","STL @ CIN","LF","4.66","1.32",".84",".22",".01",".24",".71",".80",".02",".01",".35",".76","8.39","13.13","9.99","10324"
"Joey Gallo","Rangers","OAK @ TEX","LF","4.20",".82",".31",".15",".03",".33",".69",".80",".04",".03",".69","1.33","8.53","13.33","9.75","14128"
"Nelson Cruz","Mariners","SF @ SEA","DH","4.25","1.12",".64",".17",".01",".30",".67",".81",".01",".01",".50",".87","8.41","13.16","9.85","2434"
"Yadier Molina","Cardinals","STL @ CIN","C","4.88","1.33",".86",".25",".00",".22",".78",".69",".06",".03",".33",".56","8.34","13.01","9.95","7007"
"Nolan Arenado","Rockies","HOU @ COL","3B","4.39","1.16",".62",".23",".03",".28",".69",".73",".02",".02",".42",".92","8.33","13.00","9.82","9777"
"Giancarlo Stanton","Yankees","NYY @ TB","DH","4.52","1.08",".56",".19",".01",".32",".66",".77",".01",".01",".44","1.32","8.31","12.98","9.73","4949"
"Michael Brantley","Indians","PIT @ CLE","LF","4.56","1.35",".84",".32",".01",".18",".75",".64",".07",".04",".33",".44","8.19","12.76","9.80","4106"
"Justin Upton","Angels","CWS @ LAA","LF","4.42","1.01",".57",".19",".00",".24",".64",".81",".05",".02",".65","1.22","8.23","12.88","9.53","5222"
"Khris Davis","Athletics","OAK @ TEX","DH","4.54","1.03",".49",".21",".02",".30",".65",".78",".01",".01",".46","1.22","8.19","12.81","9.55","9112"
"Tommy Pham","Cardinals","STL @ CIN","CF","4.44","1.13",".73",".17",".02",".21",".64",".66",".13",".07",".54",".96","8.13","12.66","9.62","2967"
"Yulieski Gurriel","Astros","HOU @ COL","1B","4.66","1.41",".90",".36",".01",".14",".64",".84",".02",".02",".23",".43","7.93","12.44","9.51","19198"
"Edwin Encarnacion","Indians","PIT @ CLE","DH","4.35",".97",".53",".16",".00",".28",".68",".79",".01",".00",".54",".96","8.01","12.55","9.28","2151"
"Anthony Rendon","Nationals","WSH @ MIL","3B","4.83","1.09",".62",".29",".01",".17",".76",".56",".05",".03",".66",".84","7.98","12.40","9.30","12861"
"Joey Votto","Reds","STL @ CIN","1B","4.49","1.07",".71",".19",".01",".16",".71",".57",".02",".01",".92",".71","7.98","12.39","9.23","4314"
"Jedd Gyorko","Cardinals","STL @ CIN","3B","4.56","1.10",".65",".21",".01",".24",".68",".71",".03",".02",".46",".81","7.89","12.33","9.27","10816"
"Kris Bryant","Cubs","ARI @ CHC","3B","4.52","1.14",".67",".27",".04",".16",".68",".54",".05",".03",".65",".87","7.91","12.26","9.30","15429"
"Rhys Hoskins","Phillies","LAD @ PHI","LF","4.45",".92",".46",".19",".02",".26",".69",".59",".04",".03",".69","1.28","7.95","12.37","9.20","16472"
"Wilmer Flores","Mets","SD @ NYM","1B","4.43","1.24",".74",".27",".01",".22",".66",".70",".02",".01",".33",".47","7.81","12.19","9.29","5827"
"Travis Shaw","Brewers","WSH @ MIL","3B","4.27","1.02",".51",".24",".01",".26",".63",".76",".02",".02",".43",".72","7.86","12.30","9.18","11982"
