"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jacob deGrom","Mets","NYM @ MIA",".52","6.97","27.71","5.51","3.76","1.01",".17",".58","1.74","8.97","29.59","47.66","27.65","10954"
"Justin Verlander","Astros","HOU @ TB",".61","7.26","29.13","5.83","3.89","1.00",".15",".79","2.09","8.18","27.87","45.62","26.30","8700"
"Chris Sale","Red Sox","BOS @ NYY",".41","6.27","25.85","5.32","3.08",".98",".05","1.20","2.14","8.60","24.76","41.09","23.16","10603"
"Trevor Williams","Pirates","PIT @ SD",".41","6.32","26.08","5.59","3.87","1.06",".17",".49","2.21","5.70","19.58","33.88","18.09","16977"
"Kenta Maeda","Dodgers","COL @ LAD",".38","5.53","22.44","4.78","2.92",".98",".05",".83","1.49","6.05","19.65","31.90","18.01","18498"
"Pablo Lopez","Marlins","NYM @ MIA",".25","6.20","26.04","5.66","3.59","1.06",".13",".88","2.34","5.94","18.08","31.88","16.76","sa736473"
"Tyler Skaggs","Angels","LAA @ BAL",".41","5.97","25.40","5.97","3.69","1.14",".08","1.06","1.99","5.99","17.74","31.45","16.55","10190"
"Luke Weaver","Cardinals","ATL @ STL",".44","6.47","27.22","6.54","4.53","1.26",".11",".64","1.94","5.10","17.41","31.41","16.19","16918"
"Sam Gaviglio","Blue Jays","DET @ TOR",".40","6.10","25.05","5.68","3.29","1.39",".12",".87","1.56","5.31","18.15","30.95","16.53","12778"
"Felix Hernandez","Mariners","KC @ SEA",".42","5.78","23.78","5.08","3.09","1.05",".07",".88","1.83","5.39","18.14","30.54","16.59","4772"
"Joey Lucchesi","Padres","PIT @ SD",".31","5.87","24.23","5.29","3.41","1.06",".11",".71","1.86","5.46","17.99","30.65","16.48","19320"
"Vince Velasquez","Phillies","WSH @ PHI",".33","5.61","24.40","5.23","3.10",".99",".14","1.01","2.88","5.96","16.11","29.39","15.18","11189"
"Dereck Rodriguez","Giants","SF @ ARI",".36","5.89","25.52","5.90","3.62","1.30",".32",".68","2.52","5.51","15.90","29.44","14.96","14509"
"Matt Boyd","Tigers","DET @ TOR",".32","6.40","27.37","6.17","3.31","1.59",".11","1.16","2.51","5.37","15.95","29.26","14.92","15440"
"Shelby Miller","Diamondbacks","SF @ ARI",".36","6.05","25.95","5.91","3.56","1.48",".22",".65","2.47","5.20","15.92","29.27","14.87","10197"
"Sonny Gray","Yankees","BOS @ NYY",".31","5.77","24.48","5.59","3.36","1.09",".05","1.09","2.14","5.22","15.56","27.92","14.38","12768"
"German Marquez","Rockies","COL @ LAD",".28","5.64","24.04","5.41","3.03","1.19",".06","1.13","2.18","5.35","15.40","27.51","14.23","15038"
"Tyler Mahle","Reds","MIL @ CIN",".32","5.58","24.15","5.70","3.17","1.11",".07","1.35","2.24","5.69","15.00","27.50","14.03","16358"
"Carlos Rodon","White Sox","CWS @ TEX",".35","5.31","23.60","5.12","3.21","1.03",".17",".71","3.20","5.26","13.80","26.39","13.16","16137"
"Tyler Chatwood","Cubs","MIN @ CHC",".33","5.29","23.48","4.84","2.77","1.05",".13",".90","3.32","5.15","13.59","25.83","12.89","4338"
"Ryne Stanek","Rays","HOU @ TB",".19","5.48","24.46","5.39","3.27",".95",".07","1.11","3.24","5.48","13.11","25.76","12.48","15947"
"Adam Plutko","Indians","CLE @ OAK",".38","5.88","25.18","6.29","3.43","1.31",".17","1.39","1.72","4.57","13.55","25.17","12.46","15846"
"Jason Hammel","Royals","KC @ SEA",".27","5.96","25.77","6.67","4.28","1.18",".09","1.12","1.86","4.53","12.87","24.90","11.95","4538"
"Andrew Cashner","Orioles","LAA @ BAL",".31","5.95","25.79","6.07","3.69","1.21",".08","1.09","2.51","3.70","11.43","22.88","10.50","8782"
"Bartolo Colon","Rangers","CWS @ TEX",".30","5.59","24.09","6.74","4.08","1.30",".29","1.08","1.12","4.05","11.70","22.42","10.68","375"
"Jeremy Hellickson","Nationals","WSH @ PHI",".31","5.10","22.05","5.42","3.01","1.16",".17","1.07","1.79","4.19","11.96","22.01","11.02","4371"
"Jhoulys Chacin","Brewers","MIL @ CIN",".35","5.31","23.72","5.55","3.46","1.12",".08",".88","2.84","3.96","10.75","21.94","10.15","2608"
"Adalberto Mejia","Twins","MIN @ CHC",".29","5.10","22.72","5.78","3.40","1.21",".13","1.05","2.11","4.15","10.56","20.98","9.90","13188"
"Edwin Jackson","Athletics","CLE @ OAK",".30","5.49","24.07","5.96","3.35","1.35",".11","1.15","2.13","3.65","10.37","20.82","9.53","1841"
"Max Fried","Braves","ATL @ STL",".21","4.59","20.73","5.10","3.34","1.00",".08",".69","2.42","3.88","9.36","18.88","8.93","13743"
