"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Pablo Sandoval","Giants","SF @ ARI","DH","4.29",".94",".57",".22",".01",".14",".47",".59",".02",".01",".38",".87","6.12","9.57","7.21","5409"
"Mark Trumbo","Orioles","LAA @ BAL","DH","4.04",".91",".53",".17",".00",".20",".47",".57",".01",".01",".32","1.03","6.11","9.54","7.23","6876"
"Rafael Devers","Red Sox","BOS @ NYY","3B","4.20",".89",".50",".17",".01",".21",".45",".54",".03",".02",".29","1.20","6.07","9.47","7.21","17350"
"Joe Panik","Giants","SF @ ARI","2B","4.17","1.02",".67",".23",".05",".08",".42",".51",".03",".02",".44",".36","5.99","9.33","7.17","11936"
"Denard Span","Mariners","KC @ SEA","LF","3.95",".93",".63",".18",".02",".11",".50",".43",".10",".04",".40",".55","5.99","9.30","7.15","8347"
"Jarrod Dyson","Diamondbacks","SF @ ARI","CF","3.99",".89",".61",".15",".08",".04",".37",".42",".21",".08",".44",".54","5.97","9.24","7.19","4866"
"Xander Bogaerts","Red Sox","BOS @ NYY","SS","4.31",".95",".62",".18",".01",".14",".45",".49",".06",".03",".36","1.04","5.98","9.30","7.13","12161"
"Yasiel Puig","Dodgers","COL @ LAD","RF","3.79",".87",".50",".19",".01",".17",".41",".51",".06",".05",".36",".75","5.98","9.31","7.09","14225"
"Kevin Pillar","Blue Jays","DET @ TOR","CF","4.03",".98",".59",".27",".02",".10",".44",".49",".09",".04",".28",".59","5.94","9.24","7.13","12434"
"Tyler Naquin","Indians","CLE @ OAK","RF","3.96",".99",".63",".21",".04",".12",".50",".47",".04",".03",".26",".87","5.92","9.21","7.11","13359"
"Manuel Margot","Padres","PIT @ SD","CF","4.39","1.02",".72",".19",".05",".06",".48",".34",".16",".09",".32",".82","5.90","9.12","7.19","14712"
"Miguel Andujar","Yankees","BOS @ NYY","3B","3.96",".97",".55",".23",".01",".18",".46",".48",".03",".02",".19","1.03","5.91","9.19","7.10","15878"
"Stephen Piscotty","Athletics","CLE @ OAK","RF","4.02",".94",".56",".21",".02",".15",".48",".45",".03",".03",".33",".77","5.91","9.19","7.05","13367"
"Marcus Semien","Athletics","CLE @ OAK","SS","3.90",".94",".59",".18",".02",".15",".46",".48",".07",".03",".27",".68","5.89","9.16","7.06","12533"
"Nick Ahmed","Diamondbacks","SF @ ARI","SS","4.11",".90",".53",".20",".05",".12",".42",".55",".05",".04",".31",".79","5.89","9.20","7.02","12147"
"Adam Engel","White Sox","CWS @ TEX","CF","3.95",".86",".53",".16",".05",".12",".47",".47",".13",".06",".27",".95","5.88","9.15","7.04","15082"
"Josh Harrison","Pirates","PIT @ SD","2B","4.45","1.02",".68",".21",".02",".11",".44",".44",".07",".04",".32",".91","5.86","9.10","7.08","8202"
"Yan Gomes","Indians","CLE @ OAK","C","4.08",".87",".50",".20",".00",".18",".49",".53",".01",".00",".30","1.06","5.89","9.20","6.95","9627"
"Curt Casali","Reds","MIL @ CIN","C","4.02",".85",".55",".16",".00",".14",".44",".53",".02",".01",".50",".86","5.88","9.17","6.89","12510"
"Jesmuel Valentin","Phillies","WSH @ PHI","2B","3.97",".88",".54",".18",".03",".14",".45",".47",".03",".02",".40",".81","5.85","9.10","6.93","14548"
"Yairo Munoz","Cardinals","ATL @ STL","3B","3.94",".99",".70",".17",".02",".10",".41",".51",".09",".05",".31",".82","5.79","9.02","6.99","16313"
"Isiah Kiner-Falefa","Rangers","CWS @ TEX","3B","4.12",".91",".63",".20",".04",".04",".46",".44",".08",".05",".54",".71","5.83","9.05","6.90","16512"
"Victor Martinez","Tigers","DET @ TOR","DH","4.31",".96",".62",".19",".00",".15",".44",".52",".00",".00",".29",".54","5.73","8.94","6.85","393"
"Justin Bour","Marlins","NYM @ MIA","1B","4.12",".81",".51",".14",".01",".15",".43",".47",".01",".00",".57","1.09","5.79","9.01","6.77","9744"
"Kevin Kiermaier","Rays","HOU @ TB","CF","4.42",".90",".57",".15",".05",".13",".43",".34",".12",".06",".34","1.29","5.73","8.84","6.92","11038"
"David Freese","Pirates","PIT @ SD","3B","4.34",".92",".61",".18",".00",".12",".44",".45",".01",".01",".50","1.18","5.74","8.92","6.79","9549"
"Derek Dietrich","Marlins","NYM @ MIA","LF","4.41","1.01",".65",".20",".05",".13",".48",".31",".02",".01",".34","1.25","5.69","8.79","6.90","10542"
"Franklin Barreto","Athletics","CLE @ OAK","2B","3.78",".85",".53",".13",".03",".16",".42",".49",".08",".05",".25","1.16","5.67","8.84","6.80","15519"
"Travis Jankowski","Padres","PIT @ SD","RF","4.50",".94",".73",".14",".04",".03",".43",".24",".19",".10",".51","1.01","5.62","8.63","6.82","13768"
"Johan Camargo","Braves","ATL @ STL","3B","4.12",".96",".61",".22",".02",".10",".39",".48",".02",".01",".37",".79","5.61","8.74","6.71","14950"
"Aledmys Diaz","Blue Jays","DET @ TOR","SS","3.78",".88",".52",".22",".01",".12",".44",".49",".04",".02",".26",".57","5.55","8.66","6.61","15937"
"J.T. Realmuto","Marlins","NYM @ MIA","C","4.22","1.01",".68",".20",".03",".10",".42",".40",".04",".02",".26","1.06","5.50","8.53","6.69","11739"
"Wilmer Difo","Nationals","WSH @ PHI","2B","4.24",".94",".65",".16",".05",".08",".38",".45",".08",".04",".33",".90","5.51","8.56","6.65","14320"
"Jorge Alfaro","Phillies","WSH @ PHI","C","3.85",".88",".51",".20",".02",".16",".42",".49",".01",".01",".26","1.23","5.52","8.61","6.58","12180"
"DJ LeMahieu","Rockies","COL @ LAD","2B","4.61","1.07",".78",".20",".01",".08",".50",".27",".07",".03",".33",".87","5.49","8.47","6.71","9874"
"Cory Spangenberg","Padres","PIT @ SD","3B","4.09",".90",".61",".15",".04",".10",".39",".47",".07",".04",".32","1.14","5.49","8.55","6.59","12294"
"Chris Taylor","Dodgers","COL @ LAD","SS","3.90",".85",".53",".19",".03",".10",".41",".41",".07",".04",".39","1.08","5.50","8.53","6.55","13757"
"Devon Travis","Blue Jays","DET @ TOR","2B","3.67",".89",".54",".22",".02",".12",".45",".46",".05",".03",".23",".61","5.46","8.52","6.54","13862"
"Jake Marisnick","Astros","HOU @ TB","CF","4.04",".69",".42",".11",".01",".15",".44",".46",".10",".06",".33","1.61","5.43","8.47","6.39","11339"
"Didi Gregorius","Yankees","BOS @ NYY","SS","4.07",".89",".60",".14",".01",".14",".42",".43",".04",".02",".27",".86","5.37","8.35","6.45","6012"
"Elias Diaz","Pirates","PIT @ SD","C","4.24",".95",".65",".18",".01",".11",".43",".45",".02",".02",".25",".80","5.31","8.28","6.41","11680"
"Rosell Herrera","Royals","KC @ SEA","2B","4.50",".87",".61",".16",".03",".07",".44",".31",".13",".09",".35","1.16","5.34","8.25","6.44","11611"
