"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Bryce Harper","Nationals","WSH @ ATL","RF","4.74","1.15",".59",".21",".01",".33",".87",".71",".06",".04",".78",".87","9.72","15.10","11.27","11579"
"Mike Trout","Angels","TEX @ LAA","CF","4.45","1.02",".52",".19",".03",".27",".78",".63",".15",".07",".98",".77","9.53","14.77","11.00","10155"
"Aaron Judge","Yankees","NYY @ BAL","RF","4.80","1.09",".56",".19",".00",".34",".83",".74",".05",".03",".76","1.51","9.48","14.76","10.96","15640"
"Charlie Blackmon","Rockies","LAD @ COL","CF","4.65","1.28",".76",".23",".08",".21",".85",".68",".11",".06",".61",".98","9.31","14.48","11.00","7859"
"Giancarlo Stanton","Yankees","NYY @ BAL","DH","4.59","1.10",".51",".20",".00",".38",".76",".90",".02",".01",".49","1.30","9.24","14.46","10.73","4949"
"Justin Turner","Dodgers","LAD @ COL","3B","4.83","1.43",".90",".34",".02",".17",".76",".75",".03",".01",".55",".64","8.88","13.85","10.52","5235"
"Nolan Arenado","Rockies","LAD @ COL","3B","4.54","1.22",".70",".28",".03",".22",".72",".80",".02",".02",".57",".89","8.73","13.63","10.23","9777"
"Matt Adams","Nationals","WSH @ ATL","1B","4.53","1.20",".64",".25",".01",".30",".66",".90",".01",".01",".37",".96","8.64","13.54","10.15","9393"
"Joc Pederson","Dodgers","LAD @ COL","LF","5.06","1.19",".66",".30",".05",".19",".80",".60",".06",".04",".65",".99","8.65","13.43","10.15","11899"
"Jose Ramirez","Indians","CLE @ MIN","3B","4.70","1.20",".68",".32",".03",".17",".69",".69",".11",".05",".58",".57","8.55","13.30","10.07","13510"
"Cody Bellinger","Dodgers","LAD @ COL","1B","4.50","1.12",".60",".23",".04",".25",".70",".77",".05",".03",".53","1.12","8.53","13.33","9.99","15998"
"Khris Davis","Athletics","OAK @ KC","DH","4.56","1.12",".58",".23",".01",".29",".70",".85",".01",".01",".39","1.06","8.43","13.21","9.87","9112"
"Michael Brantley","Indians","CLE @ MIN","LF","4.80","1.38",".90",".29",".02",".18",".75",".65",".08",".04",".37",".46","8.33","12.97","9.98","4106"
"Yasmani Grandal","Dodgers","LAD @ COL","C","4.62","1.13",".64",".26",".01",".22",".74",".77",".02",".01",".58","1.07","8.39","13.12","9.77","11368"
"Travis Shaw","Brewers","MIL @ CWS","3B","4.62","1.03",".53",".22",".01",".27",".69",".78",".03",".01",".59",".91","8.41","13.14","9.75","11982"
"Teoscar Hernandez","Blue Jays","TOR @ DET","RF","4.85","1.18",".63",".27",".05",".24",".69",".61",".13",".08",".37","1.09","8.34","12.94","9.92","13066"
"Christian Yelich","Brewers","MIL @ CWS","LF","4.83","1.15",".71",".23",".02",".19",".75",".61",".08",".05",".67","1.01","8.38","13.03","9.83","11477"
"Trea Turner","Nationals","WSH @ ATL","SS","4.85","1.28",".87",".23",".05",".13",".70",".45",".29",".12",".42",".88","8.29","12.79","10.04","16252"
"Max Muncy","Dodgers","LAD @ COL","1B","4.94","1.16",".69",".26",".03",".18",".80",".60",".04",".02",".69","1.19","8.38","13.03","9.79","13301"
"Matt Kemp","Dodgers","LAD @ COL","LF","4.73","1.36",".85",".31",".02",".19",".70",".83",".01",".01",".31",".97","8.27","12.97","9.85","5631"
"Jesus Aguilar","Brewers","MIL @ CWS","1B","4.73","1.08",".60",".18",".00",".29",".69",".79",".01",".01",".52","1.18","8.30","12.98","9.68","11342"
"Mike Moustakas","Royals","OAK @ KC","3B","4.44","1.17",".65",".24",".01",".27",".64",".84",".01",".01",".36",".61","8.22","12.88","9.69","4892"
"Matt Olson","Athletics","OAK @ KC","1B","4.45","1.09",".56",".25",".01",".27",".68",".76",".02",".01",".45","1.00","8.22","12.85","9.61","14344"
"Francisco Lindor","Indians","CLE @ MIN","SS","4.92","1.21",".72",".27",".03",".19",".73",".58",".09",".05",".50",".75","8.19","12.72","9.71","12916"
"Greg Bird","Yankees","NYY @ BAL","1B","4.70",".99",".49",".20",".01",".29",".70",".76",".01",".01",".54","1.25","8.23","12.87","9.54","14131"
"Gary Sanchez","Yankees","NYY @ BAL","C","4.48","1.07",".56",".21",".00",".30",".67",".75",".01",".01",".43","1.04","8.13","12.70","9.51","11442"
"Tommy Pham","Cardinals","PIT @ STL","CF","4.45","1.06",".66",".17",".03",".19",".66",".65",".11",".07",".65","1.00","8.11","12.62","9.50","2967"
"Lorenzo Cain","Brewers","MIL @ CWS","CF","4.94","1.16",".79",".20",".02",".15",".70",".50",".15",".07",".69",".87","8.06","12.48","9.54","9077"
"Matt Carpenter","Cardinals","PIT @ STL","3B","4.66","1.01",".52",".26",".02",".21",".72",".50",".02",".01",".83",".89","8.05","12.47","9.31","8090"
"George Springer","Astros","BOS @ HOU","CF","4.56","1.13",".67",".20",".02",".24",".70",".53",".07",".04",".49",".98","7.88","12.22","9.34","12856"
"Ryan Braun","Brewers","MIL @ CWS","1B","4.51","1.02",".58",".22",".01",".22",".62",".68",".10",".06",".51",".89","7.85","12.24","9.20","3410"
"Anthony Rendon","Nationals","WSH @ ATL","3B","4.63","1.16",".68",".31",".01",".15",".65",".62",".04",".02",".57",".68","7.74","12.05","9.10","12861"
"Marcell Ozuna","Cardinals","PIT @ STL","LF","4.34","1.16",".73",".21",".02",".20",".61",".79",".02",".01",".37",".79","7.64","11.97","9.03","10324"
"Ozzie Albies","Braves","WSH @ ATL","2B","4.52","1.16",".71",".23",".06",".16",".67",".52",".14",".07",".33",".77","7.62","11.83","9.15","16556"
"Matt Joyce","Athletics","OAK @ KC","LF","4.78","1.08",".62",".26",".01",".19",".70",".59",".03",".02",".55",".87","7.68","11.95","9.00","3353"
"Jose Altuve","Astros","BOS @ HOU","2B","4.36","1.23",".81",".25",".04",".14",".61",".57",".11",".05",".41",".71","7.58","11.77","9.10","5417"
"Edwin Encarnacion","Indians","CLE @ MIN","DH","4.59",".94",".54",".17",".00",".23",".64",".73",".01",".00",".65","1.10","7.67","12.00","8.85","2151"
"Eric Hosmer","Padres","CIN @ SD","1B","4.45","1.15",".73",".22",".02",".18",".67",".54",".04",".02",".56",".71","7.61","11.82","9.00","3516"
"DJ LeMahieu","Rockies","LAD @ COL","2B","4.76","1.37","1.00",".25",".04",".08",".75",".43",".07",".04",".49",".76","7.52","11.64","9.09","9874"
"Freddie Freeman","Braves","WSH @ ATL","1B","4.40","1.17",".73",".25",".02",".16",".61",".57",".05",".03",".55",".80","7.55","11.73","8.95","5361"
"Manny Machado","Orioles","NYY @ BAL","SS","4.30","1.12",".63",".21",".00",".28",".59",".65",".03",".02",".27",".74","7.47","11.65","8.90","11493"
"Nicholas Castellanos","Tigers","TOR @ DET","RF","4.51","1.24",".75",".27",".06",".17",".66",".59",".03",".02",".29",".95","7.42","11.55","8.91","11737"
"Whit Merrifield","Royals","OAK @ KC","2B","4.54","1.20",".79",".27",".04",".10",".63",".55",".15",".08",".36",".79","7.42","11.53","8.92","11281"
"Eddie Rosario","Twins","CLE @ MIN","LF","4.48","1.21",".71",".28",".04",".18",".60",".60",".08",".06",".22",".96","7.40","11.53","8.92","12155"
"Trevor Story","Rockies","LAD @ COL","SS","4.33","1.01",".54",".25",".04",".18",".57",".69",".07",".04",".44","1.48","7.46","11.65","8.76","12564"
"Marcus Semien","Athletics","OAK @ KC","SS","4.90","1.28",".85",".27",".02",".14",".65",".53",".09",".05",".31",".88","7.38","11.47","8.92","12533"
"Eugenio Suarez","Reds","CIN @ SD","3B","4.41","1.03",".60",".21",".02",".20",".57",".67",".03",".02",".55",".95","7.44","11.61","8.72","12552"
"Brian Dozier","Twins","CLE @ MIN","2B","4.60","1.03",".57",".23",".02",".20",".62",".55",".07",".04",".50","1.04","7.43","11.54","8.75","9810"
"Alex Bregman","Astros","BOS @ HOU","3B","4.45","1.03",".56",".28",".04",".15",".66",".48",".09",".05",".56",".80","7.43","11.52","8.74","17678"
"Brett Gardner","Yankees","NYY @ BAL","LF","4.91","1.14",".80",".19",".02",".13",".68",".46",".12",".05",".57",".89","7.39","11.44","8.79","9927"
"Justin Smoak","Blue Jays","TOR @ DET","1B","4.62","1.03",".62",".21",".00",".20",".61",".58",".01",".00",".66",".96","7.42","11.54","8.66","9054"
"Christian Villanueva","Padres","CIN @ SD","3B","4.24",".96",".51",".18",".01",".25",".59",".74",".02",".02",".40","1.06","7.38","11.56","8.63","11738"
"Chris Taylor","Dodgers","LAD @ COL","SS","4.39","1.12",".68",".27",".07",".10",".55",".62",".08",".05",".49","1.05","7.35","11.44","8.74","13757"
"Yonder Alonso","Indians","CLE @ MIN","1B","4.47","1.03",".62",".22",".00",".19",".58",".67",".01",".01",".58",".84","7.37","11.50","8.61","2530"
"Miguel Cabrera","Tigers","TOR @ DET","1B","4.40","1.17",".77",".21",".00",".18",".58",".61",".01",".01",".53",".75","7.33","11.42","8.69","1744"
"Anthony Rizzo","Cubs","CHC @ NYM","1B","4.40",".94",".54",".17",".01",".21",".57",".63",".03",".02",".65",".89","7.37","11.48","8.57","3473"
"Matt Chapman","Athletics","OAK @ KC","3B","4.35","1.03",".54",".25",".04",".20",".60",".64",".04",".02",".37","1.04","7.30","11.39","8.60","16505"
"Ji-Man Choi","Brewers","MIL @ CWS","1B","4.40",".86",".48",".18",".01",".19",".58",".58",".04",".03",".82","1.09","7.37","11.46","8.47","5452"
"Jed Lowrie","Athletics","OAK @ KC","2B","4.66","1.26",".81",".32",".03",".11",".64",".59",".01",".00",".42",".66","7.24","11.28","8.64","4418"
