"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","BOS @ HOU",".50","7.16","28.75","5.98","3.50","1.24",".14","1.10","1.78","7.68","25.62","41.91","23.92","8700"
"Jacob deGrom","Mets","CHC @ NYM",".38","6.46","26.55","5.17","3.16",".95",".12",".95","2.42","8.27","24.82","41.29","23.17","10954"
"Zack Greinke","Diamondbacks","MIA @ ARI",".39","6.70","26.61","5.76","3.59","1.20",".19",".77","1.14","6.79","23.81","38.66","21.78","1943"
"Trevor Bauer","Indians","CLE @ MIN",".45","6.24","26.66","5.82","3.36","1.36",".15",".95","2.64","7.28","20.71","36.43","19.58","12703"
"Garrett Richards","Angels","TEX @ LAA",".41","5.68","23.41","4.32","2.79",".85",".06",".63","2.55","6.46","20.63","34.24","19.13","9784"
"Gio Gonzalez","Nationals","WSH @ ATL",".46","6.43","27.44","6.22","4.22","1.26",".16",".57","2.59","5.89","18.63","33.77","17.57","7448"
"Caleb Smith","Marlins","MIA @ ARI",".34","6.13","25.80","5.18","3.27","1.15",".24",".52","2.81","6.00","18.91","33.19","17.62","14875"
"Masahiro Tanaka","Yankees","NYY @ BAL",".46","6.00","25.16","5.87","3.33","1.12",".03","1.39","1.64","6.46","19.21","32.92","17.81","15764"
"Chris Archer","Rays","TB @ SEA",".38","5.88","24.57","5.47","3.57","1.05",".08",".78","2.00","6.17","19.07","32.76","17.70","6345"
"Vince Velasquez","Phillies","PHI @ SF",".38","6.11","25.74","5.72","3.72","1.21",".13",".66","2.19","5.94","18.66","32.72","17.36","11189"
"Luke Weaver","Cardinals","PIT @ STL",".43","6.62","27.45","6.47","4.38","1.25",".16",".68","1.75","5.17","18.34","32.30","16.93","16918"
"Eric Lauer","Padres","CIN @ SD",".38","6.25","26.28","5.66","3.78",".99",".11",".77","2.43","5.55","18.05","31.97","16.73","19316"
"J.A. Happ","Blue Jays","TOR @ DET",".42","6.44","27.68","6.89","4.64","1.33",".18",".74","2.12","5.52","16.85","31.25","15.95","7410"
"Andrew Suarez","Giants","PHI @ SF",".33","6.15","25.91","6.27","4.18","1.30",".19",".61","1.79","5.33","17.03","30.47","15.76","18300"
"Jhoulys Chacin","Brewers","MIL @ CWS",".48","5.74","24.52","5.18","3.42","1.00",".16",".60","2.77","5.15","16.47","29.65","15.39","2608"
"Walker Buehler","Dodgers","LAD @ COL",".38","5.61","24.90","6.25","3.91","1.32",".19",".83","2.37","6.16","15.72","29.58","15.00","19374"
"Matt Harvey","Reds","CIN @ SD",".32","5.66","23.91","5.45","3.46",".91",".16",".92","2.04","5.34","16.07","28.38","14.86","11713"
"Matt Boyd","Tigers","TOR @ DET",".34","6.41","27.55","6.59","3.99","1.41",".14","1.06","2.33","5.12","15.27","28.62","14.29","15440"
"Cole Hamels","Rangers","TEX @ LAA",".28","6.18","26.57","5.58","3.32","1.11",".08","1.07","3.05","5.07","15.07","28.23","14.09","4972"
"Trevor Cahill","Athletics","OAK @ KC",".41","5.90","25.64","6.22","4.08","1.23",".16",".75","2.36","4.84","14.40","27.41","13.51","6249"
"David Price","Red Sox","BOS @ HOU",".25","5.42","23.67","5.70","3.25","1.31",".11","1.03","2.20","5.54","14.36","26.59","13.49","3184"
"Kevin Gausman","Orioles","NYY @ BAL",".26","5.61","24.56","5.98","3.38","1.13",".05","1.42","2.26","5.60","13.95","26.32","13.09","14107"
"Chad Kuhl","Pirates","PIT @ STL",".30","5.77","25.29","5.57","3.49","1.08",".15",".85","3.02","4.81","13.56","26.29","12.75","14975"
"Mike Montgomery","Cubs","CHC @ NYM",".33","5.57","23.95","5.03","3.40",".95",".10",".57","2.81","4.38","14.07","25.91","13.05","4869"
"Jason Hammel","Royals","OAK @ KC",".30","5.90","25.60","6.55","3.86","1.48",".16","1.05","1.87","4.81","13.45","25.64","12.50","4538"
"Brandon McCarthy","Braves","WSH @ ATL",".26","5.58","23.87","5.79","3.61","1.16",".11",".91","1.91","4.64","13.68","25.14","12.60","4662"
"James Shields","White Sox","MIL @ CWS",".24","5.80","25.82","5.90","3.47","1.12",".08","1.22","3.16","5.12","12.60","25.35","11.97","7059"
"Marco Gonzales","Mariners","TB @ SEA",".28","5.20","22.15","5.18","3.39","1.11",".05",".63","1.87","4.33","13.58","24.10","12.50","15467"
"German Marquez","Rockies","LAD @ COL",".27","5.22","23.51","6.07","3.64","1.41",".16",".86","2.29","4.91","11.77","23.47","11.22","15038"
"Lance Lynn","Twins","CLE @ MIN",".27","5.64","25.15","5.85","3.50","1.33",".11",".91","2.98","4.39","11.46","23.51","10.84","2520"
