"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jeimer Candelario","Tigers","DET @ BOS","3B","4.74","1.01",".52",".33",".03",".14",".60",".46",".01",".01",".54","1.31","6.82","10.58","8.00","13621"
"C.J. Cron","Rays","SEA @ TB","DH","4.42","1.08",".67",".22",".01",".19",".59",".55",".04",".02",".27",".91","6.74","10.51","8.06","12546"
"Mike Tauchman","Rockies","COL @ CIN","LF","4.33","1.01",".64",".20",".04",".13",".49",".52",".12",".08",".43",".88","6.75","10.48","8.06","15274"
"Xander Bogaerts","Red Sox","DET @ BOS","SS","4.44","1.12",".70",".28",".01",".11",".62",".49",".05",".03",".39",".80","6.74","10.48","8.04","12161"
"Kyle Schwarber","Cubs","PHI @ CHC","LF","4.06",".84",".45",".15",".03",".21",".50",".60",".03",".02",".56","1.19","6.80","10.60","7.91","16478"
"Starling Marte","Pirates","LAD @ PIT","CF","4.32","1.10",".79",".18",".04",".09",".51",".46",".18",".08",".40",".82","6.69","10.36","8.09","9241"
"Ryon Healy","Mariners","SEA @ TB","1B","4.35","1.04",".63",".19",".00",".22",".54",".65",".01",".01",".26","1.20","6.69","10.47","7.96","15447"
"Daniel Palka","White Sox","CWS @ MIN","DH","4.34",".98",".57",".18",".02",".21",".48",".62",".05",".04",".30","1.29","6.70","10.45","7.96","14897"
"Odubel Herrera","Phillies","PHI @ CHC","CF","4.72","1.15",".78",".26",".03",".08",".53",".45",".08",".06",".50",".94","6.66","10.32","7.99","11476"
"Andrew Benintendi","Red Sox","DET @ BOS","LF","4.54","1.09",".71",".25",".04",".10",".58",".41",".10",".06",".43",".82","6.67","10.32","7.99","17901"
"Yoan Moncada","White Sox","CWS @ MIN","2B","4.64",".96",".59",".18",".02",".16",".54",".40",".13",".07",".49","1.63","6.69","10.34","7.95","17232"
"Marwin Gonzalez","Astros","HOU @ TEX","LF","4.31","1.01",".63",".22",".01",".14",".52",".57",".04",".03",".48","1.02","6.67","10.40","7.88","5497"
"Whit Merrifield","Royals","KC @ OAK","2B","4.67","1.17",".79",".27",".02",".08",".50",".42",".16",".08",".33",".61","6.61","10.22","8.04","11281"
"Cesar Hernandez","Phillies","PHI @ CHC","2B","4.82","1.00",".74",".18",".04",".05",".55",".32",".14",".08",".80","1.00","6.69","10.31","7.92","10556"
"Carlos Santana","Phillies","PHI @ CHC","1B","4.50",".84",".48",".22",".02",".11",".50",".52",".02",".01",".88",".61","6.75","10.48","7.74","2396"
"Javier Baez","Cubs","PHI @ CHC","2B","4.18","1.03",".63",".21",".04",".16",".48",".66",".07",".04",".20","1.11","6.56","10.27","7.86","12979"
