"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jose Berrios","Twins","CWS @ MIN",".50","6.41","26.38","5.70","3.63","1.18",".12",".76","2.01","7.07","22.70","38.30","21.16","14168"
"Jameson Taillon","Pirates","LAD @ PIT",".43","6.74","27.39","5.68","3.61","1.32",".12",".63","1.98","6.30","22.14","37.19","20.43","11674"
"Gerrit Cole","Astros","HOU @ TEX",".48","6.35","26.87","5.91","3.52","1.28",".15",".97","2.50","7.16","20.95","36.62","19.76","13125"
"Jalen Beeks","Red Sox","DET @ BOS",".38","6.15","26.07","5.93","3.54","1.64",".09",".66","2.20","6.43","19.32","33.99","18.07","sa827439"
"Nick Pivetta","Phillies","PHI @ CHC",".33","6.07","25.94","5.73","3.58","1.22",".15",".78","2.53","6.41","18.54","33.06","17.41","15454"
"Matt Boyd","Tigers","DET @ BOS",".37","6.67","28.19","6.69","4.15","1.63",".11",".81","2.09","5.69","17.97","32.31","16.89","15440"
"Tyler Chatwood","Cubs","PHI @ CHC",".36","5.63","24.35","4.51","2.96",".99",".14",".42","3.57","6.16","17.98","32.13","17.00","4338"
"Miles Mikolas","Cardinals","MIA @ STL",".44","6.56","26.86","6.53","4.48","1.13",".12",".81","1.16","5.07","18.66","32.09","17.02","9803"
"Daniel Hudson","Dodgers","LAD @ PIT",".34","6.23","26.47","5.95","3.97","1.29",".15",".54","2.46","4.74","15.75","29.05","14.64","7146"
"Mike Leake","Mariners","SEA @ TB",".45","6.53","27.56","7.22","4.89","1.37",".19",".78","1.46","4.57","15.64","28.82","14.54","10130"
"Tyler Mahle","Reds","COL @ CIN",".32","5.72","24.69","5.84","3.47","1.18",".13","1.06","2.26","5.67","15.64","28.64","14.64","16358"
"Paul Blackburn","Athletics","KC @ OAK",".42","6.47","27.05","6.24","4.12","1.38",".10",".64","2.04","3.82","15.06","27.62","13.76","14739"
"Jason Hammel","Royals","KC @ OAK",".31","6.21","26.28","6.35","3.73","1.44",".15","1.02","1.85","4.71","14.93","27.29","13.75","4538"
"Ryne Stanek","Rays","SEA @ TB",".29","5.62","24.85","5.71","3.62",".97",".09","1.03","2.88","5.55","14.27","27.35","13.54","15947"
"Tyler Anderson","Rockies","COL @ CIN",".35","5.41","23.57","5.34","3.25","1.06",".10",".93","2.50","5.26","14.65","26.88","13.74","12880"
"Trevor Richards","Marlins","MIA @ STL",".29","5.69","24.71","5.84","3.74","1.11",".13",".86","2.43","5.08","14.29","26.87","13.38","19309"
"Jaime Garcia","Blue Jays","BAL @ TOR",".34","5.38","23.11","5.45","3.09","1.33",".05",".97","1.92","4.90","14.47","25.91","13.38","8137"
"Cole Hamels","Rangers","HOU @ TEX",".26","5.76","25.68","6.16","3.58","1.39",".09","1.10","2.86","5.04","12.50","25.16","11.87","4972"
"James Shields","White Sox","CWS @ MIN",".23","5.81","25.91","6.39","3.65","1.38",".11","1.25","2.73","4.68","11.41","23.56","10.81","7059"
"David Hess","Orioles","BAL @ TOR",".32","5.75","25.09","5.89","3.14","1.47",".09","1.20","2.46","3.99","11.62","22.89","10.74","16130"
