"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Madison Bumgarner","Giants","OAK @ SF",".44","6.54","26.66","5.59","3.38","1.32",".13",".77","1.88","6.63","22.36","37.37","20.64","5524"
"Dallas Keuchel","Astros","DET @ HOU",".53","6.89","28.23","6.54","4.18","1.46",".15",".75","1.58","6.22","21.77","37.02","20.24","9434"
"Anibal Sanchez","Braves","ARI @ ATL",".38","6.49","27.42","5.95","3.60","1.20",".11","1.04","2.52","7.30","21.25","37.03","20.01","3284"
"Walker Buehler","Dodgers","LAA @ LAD",".43","6.38","26.29","5.38","3.33","1.08",".05",".93","2.25","6.38","20.84","35.40","19.26","19374"
"Noah Syndergaard","Mets","WSH @ NYM",".39","5.87","24.01","5.06","3.37","1.07",".07",".55","1.82","6.13","20.43","33.88","18.80","11762"
"Felix Pena","Angels","LAA @ LAD",".30","5.85","24.89","5.39","2.96","1.08",".07","1.29","2.41","6.84","18.62","32.60","17.44","13403"
"Tanner Roark","Nationals","WSH @ NYM",".34","6.45","27.62","5.76","3.71","1.12",".12",".80","3.13","5.97","17.92","32.73","16.95","8753"
"Carlos Martinez","Cardinals","CIN @ STL",".44","6.40","27.72","6.21","4.53","1.01",".12",".55","3.00","5.55","17.24","32.22","16.37","11682"
"Cole Hamels","Rangers","TEX @ BAL",".41","6.26","26.57","6.12","3.63","1.18",".06","1.26","2.14","5.86","17.60","31.40","16.43","4972"
"Shane Bieber","Indians","NYY @ CLE",".37","6.05","25.49","6.19","3.52","1.41",".08","1.18","1.64","6.01","17.70","31.10","16.40","19427"
"Rick Porcello","Red Sox","TOR @ BOS",".45","6.22","26.43","6.56","4.17","1.48",".10",".81","1.76","5.37","16.92","30.58","15.73","2717"
"Tyler Chatwood","Cubs","CHC @ SD",".41","5.53","24.10","4.52","2.99",".87",".12",".55","3.65","5.76","16.65","30.35","15.79","4338"
"Junior Guerra","Brewers","MIL @ PIT",".41","6.17","26.05","5.68","3.67","1.16",".16",".68","2.46","4.94","16.61","29.95","15.38","5702"
"Nick Kingham","Pirates","MIL @ PIT",".32","6.20","26.15","6.16","3.92","1.25",".11",".89","1.99","5.14","16.27","29.37","15.01","11694"
"Zack Godley","Diamondbacks","ARI @ ATL",".35","6.06","26.44","6.11","4.00","1.32",".13",".66","2.85","5.26","15.28","29.21","14.43","14862"
"Nathan Eovaldi","Rays","TB @ MIN",".39","6.16","26.05","6.63","3.95","1.49",".20",".98","1.46","4.84","15.44","27.96","14.21","9132"
"Jake Arrieta","Phillies","PHI @ MIA",".41","5.47","22.74","5.04","3.55",".94",".11",".43","1.78","4.46","16.11","27.39","14.74","4153"
"Wei-Yin Chen","Marlins","PHI @ MIA",".27","6.05","25.85","5.99","3.66","1.25",".13",".95","2.28","5.03","15.15","27.95","14.01","13071"
"James Shields","White Sox","KC @ CWS",".33","6.17","26.47","6.18","3.50","1.16",".10","1.41","2.30","5.20","14.96","27.69","13.90","7059"
"Jake Odorizzi","Twins","TB @ MIN",".32","5.80","25.29","5.92","3.63","1.26",".16",".87","2.58","5.11","14.19","27.00","13.32","6397"
"Domingo German","Yankees","NYY @ CLE",".33","5.61","24.76","5.92","3.38","1.37",".08","1.09","2.53","5.37","13.97","26.70","13.21","17149"
"Alex Cobb","Orioles","TEX @ BAL",".34","6.13","26.24","6.54","3.98","1.33",".08","1.16","1.88","4.70","14.23","26.61","13.15","6562"
"Edwin Jackson","Athletics","OAK @ SF",".29","5.77","24.81","5.90","3.66","1.34",".20",".70","2.20","4.63","13.93","26.02","12.90","1841"
"Brad Keller","Royals","KC @ CWS",".38","5.88","25.70","6.56","4.53","1.15",".23",".65","2.25","4.59","13.39","26.23","12.61","15734"
"Clayton Richard","Padres","CHC @ SD",".28","5.86","25.62","6.22","3.89","1.35",".15",".83","2.41","4.44","12.72","24.97","11.87","3551"
"Mike Fiers","Tigers","DET @ HOU",".23","5.43","23.84","6.03","3.64","1.30",".14",".96","2.09","4.03","10.77","21.49","9.98","7754"
"Matt Harvey","Reds","CIN @ STL",".27","5.38","23.65","6.24","4.06","1.12",".08",".98","1.82","3.79","10.53","21.08","9.75","11713"
"Ryan Borucki","Blue Jays","TOR @ BOS",".26","5.45","24.83","6.68","4.19","1.57",".11",".81","2.43","3.77","8.83","20.07","8.45","16350"
"Jeff Hoffman","Rockies","SEA @ COL",".31","5.37","24.55","6.81","4.37","1.30",".30",".85","2.32","3.77","8.53","19.70","8.21","17432"
"Christian Bergman","Mariners","SEA @ COL",".34","5.50","24.77","7.52","4.63","1.57",".29","1.03","1.35","3.57","8.56","19.18","8.05","10925"
