PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,LP,OL,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,DK,PA,PAVSSP,PAVSSP%,BA,OBP,SLG,ISO,WOBA,K,BB,HBP,H,1B,2B,3B,HR,RBI,R,SB,CS,HR_DEPENDENCE,DK_0%_PH%,FD_0%_PH%,FPTS,FPTS/$
10557,Giancarlo Stanton,5200,CHW,OF,NYY,46181,Giancarlo Stanton,2,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,0%,false,12.2,4.41,2.63,60%,0.305,0.404,0.682,0.377,0.442,1.15,0.6,0.04,1.14,0.54,0.2,0.01,0.4,0.99,50%,12.22,16.67,12.2,2.35
11254,Todd Frazier,4200,CHC,3B,NYM,46177,Todd Frazier,4,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,0%,false,11.95,4.48,2.47,55%,0.282,0.367,0.659,0.377,0.419,0.97,0.49,0.05,1.1,0.47,0.2,0.01,0.42,1.02,54%,12,16.31,11.95,2.85
15811,Javier Baez,5200,NYM,2B/SS,CHC,46177,Javier Baez,2,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,false,true,6%,false,11.65,4.37,2.7,62%,0.306,0.338,0.613,0.307,0.39,1.21,0.17,0.05,1.25,0.65,0.26,0.03,0.31,0.83,41%,12,15.82,11.65,2.24
13392,Bryce Harper,5100,PHI,OF,WAS,46176,Bryce Harper,3,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,true,false,0%,false,11.25,4.47,2.63,59%,0.291,0.389,0.632,0.341,0.416,1.04,0.6,0.03,1.11,0.53,0.21,0.01,0.35,0.86,49%,11.25,15.19,11.25,2.21
11311,Anthony Rizzo,4900,NYM,1B,CHC,46177,Anthony Rizzo,3,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,true,true,0%,false,11.07,4.42,2.61,59%,0.315,0.411,0.602,0.287,0.417,0.66,0.53,0.1,1.18,0.62,0.3,0.02,0.24,0.82,34%,11.07,14.85,11.07,2.26
15236,Wilmer Flores,3900,CHC,1B,NYM,46177,Wilmer Flores,3,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,14%,false,10.72,4.29,2.54,59%,0.317,0.364,0.64,0.323,0.413,0.48,0.28,0.03,1.25,0.64,0.27,0.01,0.33,0.87,48%,11.42,15.22,10.72,2.75
21540,Michael Conforto,3500,CHC,OF,NYM,46177,Michael Conforto,3,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,false,false,0%,false,10.2,4.59,2.54,55%,0.283,0.37,0.557,0.274,0.387,1.21,0.5,0.07,1.13,0.58,0.27,0.01,0.27,0.76,40%,10.2,13.69,10.2,2.91
10365,Daniel Murphy,4000,NYM,1B/2B,CHC,46177,Daniel Murphy,1,true,&nbsp,,Noah Syndergaard,Kevin Plawecki,&nbsp,,CHC,&nbsp,,-,true,true,7%,false,10.06,4.46,2.8,63%,0.335,0.388,0.579,0.244,0.399,0.56,0.34,0.03,1.36,0.78,0.36,0.03,0.19,0.57,28%,10.38,13.51,10.06,2.52
11380,Mike Trout,5800,COL,OF,LAA,46182,Mike Trout,3,false,&nbsp,,Jon Gray,Tony Wolters,&nbsp,,LAA,&nbsp,,-,false,true,0%,false,9.82,4.17,3.22,77%,0.28,0.398,0.564,0.284,0.399,1.04,0.61,0.08,0.97,0.5,0.19,0.02,0.25,0.68,39%,9.82,13.18,9.82,1.69
11431,Paul Goldschmidt,5100,SFG,1B,ARI,46179,Paul Goldschmidt,4,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,false,false,0%,false,9.78,4.42,2.74,62%,0.299,0.399,0.517,0.218,0.386,0.94,0.6,0.04,1.12,0.69,0.24,0.01,0.18,0.77,29%,9.78,13.11,9.78,1.92
14541,Aaron Hicks,4300,CHW,OF,NYY,46181,Aaron Hicks,1,true,&nbsp,,Carlos Rodon,Omar Narvaez,&nbsp,,NYY,&nbsp,,-,true,true,4%,false,9.59,4.44,2.74,62%,0.278,0.382,0.507,0.229,0.378,0.9,0.63,0.02,1.04,0.62,0.2,0.03,0.2,0.57,32%,9.79,13.04,9.59,2.23
13417,A.J. Pollock,4500,SFG,OF,ARI,46179,A.J. Pollock,2,false,&nbsp,,Chris Stratton,Nick Hundley,&nbsp,,SFG,&nbsp,,-,false,false,0%,true,9.55,4.59,2.9,63%,0.291,0.35,0.486,0.195,0.354,0.75,0.36,0.04,1.21,0.74,0.29,0.03,0.15,0.59,25%,9.55,12.47,9.55,2.12
14916,Jonathan Villar,4200,TOR,2B,BAL,46180,Jonathan Villar,2,true,&nbsp,,Sam Gaviglio,Luke Maile,&nbsp,,BAL,&nbsp,,-,true,true,0%,false,9.46,4.32,2.65,61%,0.277,0.339,0.465,0.188,0.344,0.95,0.37,0.02,1.08,0.7,0.2,0.02,0.17,0.53,27%,9.46,12.22,9.46,2.25
10536,Jay Bruce,3100,CHC,OF,NYM,46177,Jay Bruce,5,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,false,false,0%,false,9.36,4.4,2.4,55%,0.263,0.334,0.536,0.273,0.361,1.03,0.41,0.03,1.03,0.5,0.26,0.02,0.26,0.74,43%,9.39,12.59,9.36,3.02
11306,Charlie Blackmon,5000,LAA,OF,COL,46182,Charlie Blackmon,1,false,&nbsp,,Odrisamer Despaigne,Francisco Arcia,&nbsp,,LAA,&nbsp,,-,true,false,0%,false,9.28,4.69,3.08,66%,0.276,0.35,0.485,0.209,0.355,0.91,0.41,0.08,1.15,0.72,0.2,0.03,0.2,0.54,33%,9.28,12.16,9.28,1.86
326703,Juan Soto,4400,PHI,OF,WAS,46176,Juan Soto,5,false,&nbsp,,Zach Eflin,Wilson Ramos,&nbsp,,PHI,&nbsp,,-,true,false,3%,true,9.28,4.23,2.48,59%,0.296,0.374,0.556,0.26,0.387,0.83,0.47,0.01,1.1,0.64,0.2,0.02,0.24,0.68,40%,9.41,12.49,9.28,2.11
11479,Devin Mesoraco,3000,CHC,C,NYM,46177,Devin Mesoraco,7,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,4%,false,9.28,4.13,2.21,54%,0.275,0.355,0.573,0.298,0.385,0.76,0.39,0.07,1,0.51,0.19,0.01,0.29,0.72,49%,9.47,12.7,9.28,3.09
36162,Amed Rosario,3800,CHC,SS,NYM,46177,Amed Rosario,1,false,&nbsp,,Jon Lester,Willson Contreras,&nbsp,,CHC,&nbsp,,-,true,false,3%,false,9.25,4.7,2.71,58%,0.292,0.332,0.484,0.192,0.344,0.96,0.25,0.03,1.28,0.81,0.25,0.07,0.15,0.45,24%,9.38,11.94,9.25,2.43
