PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
10905,Clayton Kershaw,12100,ARI,SP,LAD,46247,Clayton Kershaw,false,&nbsp,,95,106,123,Austin Barnes,Dan Bellino (P),LAD,&nbsp,,2,---,true,false,23.8,6.95,2.98,0.52,0.27,0.61,0.05,0.02,7.35,1.18,0.09,5.69,23.8,1.97
17451,Masahiro Tanaka,9700,DET,SP,NYY,46238,Masahiro Tanaka,true,&nbsp,,90,99,118,Gary Sanchez,Paul Nauert (H),NYY,&nbsp,,6,---,true,true,22.6,6.44,3.14,0.6,0.17,0.53,0.03,0.01,7.03,1.08,0.15,5.43,22.6,2.33
17630,Jon Gray,8800,SDP,SP,COL,46241,Jon Gray,false,&nbsp,,97,106,125,Tony Wolters,Jeremie Rehak (P),SDP,&nbsp,,6,---,false,false,22.36,6.66,3.2,0.48,0.29,0.57,0.06,0.03,7.24,1.68,0.18,5.69,22.36,2.54
11494,Stephen Strasburg,9000,MIL,SP,WAS,46250,Stephen Strasburg,true,&nbsp,,102,103,125,Spencer Kieboom,Mark Carlson (EH),WAS,&nbsp,,6,---,true,false,19.89,6.34,4.12,0.42,0.32,0.53,0.03,0.01,7.11,1.53,0.22,5.95,19.89,2.21
16174,Eduardo Rodriguez,8200,CHW,SP,BOS,46249,Eduardo Rodriguez,true,&nbsp,,100,91,91,Sandy Leon,Lance Barksdale (EH),CHW,&nbsp,,2,---,false,true,19.68,5.54,3.41,0.42,0.27,0.38,0.02,0.01,6.82,1.71,0.18,4.63,19.68,2.4
15267,James Paxton,9300,OAK,SP,SEA,46242,James Paxton,false,&nbsp,,102,85,85,Chris Herrmann,Adrian Johnson (N),OAK,&nbsp,,1,---,false,true,18.14,5.14,3.61,0.32,0.34,0.32,0.01,0.01,6.48,1.71,0.08,4.23,18.14,1.95
17449,Chris Archer,7200,ATL,SP,PIT,46248,Chris Archer,true,&nbsp,,92,95,125,Francisco Cervelli,Bill Welke (H),ATL,&nbsp,,4,---,false,false,17.88,5.79,3.75,0.32,0.38,0.43,0.03,0.02,6.35,1.73,0.18,5.52,17.88,2.48
13839,Dylan Bundy,7000,KCR,SP,BAL,46246,Dylan Bundy,true,&nbsp,,98,95,123,Austin Wynns,Greg Gibson (EH),KCR,&nbsp,,3,1-1,false,true,16.82,5.83,4.4,0.37,0.34,0.45,0.04,0.02,6.07,1.61,0.15,5.57,16.82,2.4
15840,Kevin Gausman,7900,PIT,SP,ATL,46248,Kevin Gausman,true,&nbsp,,97,102,120,Tyler Flowers,Bill Welke (H),ATL,&nbsp,,4,---,true,false,16.69,6.47,3.61,0.41,0.33,0.54,0.03,0.01,5.21,1.54,0.19,6.21,16.69,2.11
13434,Patrick Corbin,11500,LAD,SP,ARI,46247,Patrick Corbin,false,&nbsp,,96,97,118,John Ryan Murphy,Dan Bellino (P),LAD,&nbsp,,1,---,false,false,16.4,5.87,4.08,0.27,0.44,0.45,0.04,0.02,5.94,1.88,0.15,5.48,16.4,1.43
13401,Wei-Yin Chen,6700,TOR,SP,MIA,46239,Wei-Yin Chen,false,&nbsp,,88,94,111,J.T. Realmuto,Tim Timmons (N),MIA,Closed,1,---,true,false,16.37,6.04,3.53,0.37,0.35,0.47,0.02,0.01,5.05,1.56,0.14,5.11,0.77,16.37,2.44
16517,Kyle Hendricks,8300,PHI,SP,CHC,46240,Kyle Hendricks,true,&nbsp,,93,95,115,Victor Caratini,Marty Foster (P),PHI,&nbsp,,4,---,false,false,16.22,5.91,4,0.38,0.33,0.46,0.04,0.02,5.38,1.71,0.17,5.3,16.22,1.95
17596,Steven Matz,7500,SFG,SP,NYM,46251,Steven Matz,true,&nbsp,,94,98,116,Tomas Nido,Chad Fairchild (N),SFG,&nbsp,,2,---,false,false,16.17,6.05,3.71,0.37,0.35,0.47,0.04,0.02,5.29,1.82,0.17,5.75,16.17,2.16
351838,Shane Bieber,8000,TBR,SP,CLE,46243,Shane Bieber,false,&nbsp,,94,95,106,Yan Gomes,Jim Wolf (H),CLE,&nbsp,,4,---,true,true,16.06,6.05,4.05,0.4,0.32,0.48,0.02,0.01,5.39,0.91,0.13,6.51,16.06,2.01
11037,Derek Holland,7900,NYM,SP,SFG,46251,Derek Holland,true,&nbsp,,91,94,117,Nick Hundley,Chad Fairchild (N),SFG,&nbsp,,3,3-1,true,false,15.98,5.69,3.85,0.33,0.36,0.42,0.01,0,5.5,2.09,0.18,4.96,15.98,2.02
11014,Marco Estrada,5200,MIA,SP,TOR,46239,Marco Estrada,true,&nbsp,,94,99,118,Danny Jansen,Tim Timmons (N),MIA,Closed,7,0-4,false,false,15.75,6.36,3.63,0.38,0.36,0.52,0.05,0.02,4.6,1.64,0.13,5.54,0.68,15.75,3.03
15729,Luis Castillo,7500,STL,SP,CIN,46237,Luis Castillo,true,&nbsp,,93,92,122,Tucker Barnhart,Jerry Meals (H),STL,&nbsp,,7,---,false,false,15.52,5.65,4.3,0.31,0.38,0.42,0.03,0.01,5.58,1.59,0.19,5.45,15.52,2.07
22658,Blake Snell,10700,CLE,SP,TBR,46243,Blake Snell,true,&nbsp,,95,93,123,Jesus Sucre,Jim Wolf (H),CLE,&nbsp,,1,---,false,true,14.75,5.39,4.37,0.29,0.39,0.38,0.02,0.01,5.64,2.32,0.14,5.24,14.75,1.38
14630,Robbie Erlin,4900,COL,SP,SDP,46241,Robbie Erlin,false,&nbsp,,93,93,99,Austin Hedges,Jeremie Rehak (P),SDP,&nbsp,,3,---,true,false,14.43,5.87,4.25,0.28,0.42,0.46,0.02,0.01,4.97,1.31,0.15,5.66,14.43,2.94
35145,Zach Eflin,6900,CHC,SP,PHI,46240,Zach Eflin,true,&nbsp,,90,87,116,Wilson Ramos,Marty Foster (P),PHI,&nbsp,,3,---,true,false,14.11,5.35,4.51,0.29,0.38,0.37,0,0,5.13,1.47,0.23,5.1,14.11,2.04
35029,Jose Berrios,7800,TEX,SP,MIN,46244,Jose Berrios,false,&nbsp,,98,90,125,Mitch Garver,Bill Miller (EP),TEX,&nbsp,,3,---,false,true,13.41,5.25,5.09,0.3,0.36,0.37,0.02,0.01,5.39,1.89,0.38,5.26,13.41,1.72
383373,Daniel Poncedeleon,7100,CIN,SP,STL,46237,Daniel Poncedeleon,true,&nbsp,,93,93,118,Yadier Molina,Jerry Meals (H),STL,&nbsp,,4,0-1,true,false,13.14,5.6,4.16,0.36,0.33,0.41,0,0,4.42,2.29,0.27,5.05,13.14,1.85
18858,Carlos Rodon,8100,BOS,SP,CHW,46249,Carlos Rodon,false,&nbsp,,99,94,116,Omar Narvaez,Lance Barksdale (EH),CHW,&nbsp,,3,---,true,true,12.48,5.52,4.77,0.24,0.45,0.41,0.01,0,4.81,2.27,0.29,5.36,12.48,1.54
35087,Daniel Mengden,4800,SEA,SP,OAK,46242,Daniel Mengden,false,&nbsp,,95,93,121,Jonathan Lucroy,Adrian Johnson (N),OAK,&nbsp,,4,---,true,true,11.95,5.93,4.39,0.34,0.37,0.47,0.02,0.01,3.8,1.57,0.2,5.82,11.95,2.49
38055,Heath Fillmyer,5100,BAL,SP,KCR,46246,Heath Fillmyer,true,&nbsp,,90,83,105,Cam Gallagher,Greg Gibson (EH),KCR,&nbsp,,6,---,true,true,9.45,5.04,4.87,0.28,0.38,0.33,0,0,3.44,1.76,0.18,5.33,9.45,1.85
10911,Yovani Gallardo,5000,MIN,SP,TEX,46244,Yovani Gallardo,false,&nbsp,,92,80,114,Robinson Chirinos,Bill Miller (EP),TEX,&nbsp,,4,---,true,true,9.08,4.65,5.41,0.27,0.35,0.27,0,0,3.72,1.87,0.1,5.26,9.08,1.82
16064,Chase Anderson,7400,WAS,SP,MIL,46250,Chase Anderson,true,&nbsp,,87,76,119,Manny Pina,Mark Carlson (EH),WAS,&nbsp,,5,---,false,false,8.43,4.49,5.33,0.23,0.39,0.25,0,0,3.39,1.83,0.15,4.76,8.43,1.14
35695,Felix Pena,6200,HOU,SP,LAA,46245,Felix Pena,true,&nbsp,,81,68,97,Francisco Arcia,Ramon De Jesus (P),HOU,Closed,5,---,false,true,7.52,3.89,5.5,0.16,0.45,0.15,0,0,3.28,1.88,0.23,3.99,0.77,7.52,1.21
18409,Daniel Norris,5100,NYY,SP,DET,46238,Daniel Norris,true,&nbsp,,99,71,87,Grayson Greiner,Paul Nauert (H),NYY,&nbsp,,1,---,false,true,5.27,3.8,7.19,0.09,0.55,0.17,0,0,3.28,2.13,0.1,4.69,5.27,1.03
