PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
11187,Rich Hill,9800,SDP,SP,LAD,46133,Rich Hill,false,&nbsp,,91,101,113,Austin Barnes,&nbsp,,LAD,&nbsp,,3,---,true,false,21.86,6.26,3.14,0.54,0.2,0.5,0.02,0.01,7.05,1.84,0.25,21.86,2.23
16142,Mike Foltynewicz,11100,MIA,SP,ATL,46140,Mike Foltynewicz,false,&nbsp,,97,110,121,Tyler Flowers,Nick Mahrley (EP),MIA,Closed,6,---,false,false,21.63,7,2.81,0.48,0.31,0.61,0.07,0.03,6.45,1.85,0.37,5.73,0.47,21.63,1.95
13490,Dallas Keuchel,9200,LAA,SP,HOU,46139,Dallas Keuchel,false,&nbsp,,101,113,123,Martin Maldonado,&nbsp,,LAA,&nbsp,,1,2-0,false,true,19.47,7.42,2.8,0.59,0.25,0.69,0.09,0.04,4.94,2,0.19,19.47,2.12
13522,Dan Straily,6800,ATL,SP,MIA,46140,Dan Straily,false,&nbsp,,94,102,117,J.T. Realmuto,Nick Mahrley (EP),MIA,Closed,4,1-2,true,false,18.88,6.49,3.33,0.34,0.4,0.54,0.03,0.01,6.08,2.08,0.25,4.74,0.84,18.88,2.78
21539,Zack Godley,8500,SEA,SP,ARI,46138,Zack Godley,false,&nbsp,,95,101,117,Alex Avila,&nbsp,,ARI,Closed,5,3-1,true,false,17.87,6.33,3.52,0.47,0.28,0.52,0.03,0.01,5.68,1.76,0.38,5.79,17.87,2.1
10925,Gio Gonzalez,6400,NYM,SP,WAS,46142,Gio Gonzalez,false,&nbsp,,98,102,122,Spencer Kieboom,&nbsp,,NYM,&nbsp,,3,---,false,false,17.45,6.06,3.72,0.41,0.31,0.48,0.04,0.02,5.89,2.82,0.23,17.45,2.73
34646,Mike Clevinger,10600,KCR,SP,CLE,46145,Mike Clevinger,false,&nbsp,,100,100,123,Yan Gomes,&nbsp,,KCR,&nbsp,,4,---,false,true,17.39,5.94,4.17,0.41,0.3,0.47,0.04,0.02,6.22,2.13,0.22,17.39,1.64
347843,Dereck Rodriguez,10100,TEX,SP,SFG,46143,Dereck Rodriguez,false,&nbsp,,93,96,100,Nick Hundley,&nbsp,,SFG,&nbsp,,2,---,true,false,16.81,5.97,3.85,0.43,0.29,0.46,0.02,0.01,5.54,1.89,0.28,16.81,1.66
10982,Jake Arrieta,8800,TOR,SP,PHI,46132,Jake Arrieta,false,&nbsp,,94,97,116,Wilson Ramos,&nbsp,,TOR,Open,5,---,false,true,16.14,5.97,3.88,0.42,0.29,0.46,0.04,0.02,5.24,2.03,0.24,5.31,16.14,1.83
34649,Michael Fulmer,7700,CHW,SP,DET,46144,Michael Fulmer,false,&nbsp,,97,71,71,Grayson Greiner,Adam Hamari (EP),DET,&nbsp,,4,2-1,true,true,14.83,4.56,2.95,0.33,0.28,0.2,0,0,4.64,1,0.24,3.76,14.83,1.93
17566,Andrew Heaney,8400,HOU,SP,LAA,46139,Andrew Heaney,false,&nbsp,,97,98,118,Rene Rivera,&nbsp,,LAA,&nbsp,,2,---,true,true,14.72,6.04,4.04,0.25,0.46,0.48,0.02,0.01,5.13,1.9,0.27,14.72,1.75
13842,Jake Odorizzi,7500,OAK,SP,MIN,46134,Jake Odorizzi,false,&nbsp,,98,91,125,Mitch Garver,Mike Muchlinski (N),MIN,&nbsp,,6,3-0,true,true,14.33,5.33,4.89,0.31,0.36,0.38,0,0,5.61,2.13,0.18,4.96,14.33,1.91
13847,CC Sabathia,9000,BAL,SP,NYY,46131,CC Sabathia,false,&nbsp,,91,91,100,Austin Romine,&nbsp,,BAL,&nbsp,,0,---,false,true,14.01,5.49,4.17,0.34,0.34,0.39,0.03,0.01,4.9,1.85,0.17,14.01,1.56
35327,Reynaldo Lopez,5800,DET,SP,CHW,46144,Reynaldo Lopez,false,&nbsp,,96,94,118,Omar Narvaez,Adam Hamari (EP),DET,&nbsp,,5,1-2,false,true,14,5.77,4.41,0.27,0.43,0.44,0.04,0.02,4.96,1.7,0.2,5.68,14,2.41
34672,Joe Musgrove,8600,MIL,SP,PIT,46137,Joe Musgrove,false,&nbsp,,88,88,110,Elias Diaz,&nbsp,,MIL,Open,5,---,false,false,13.98,5.51,4.2,0.31,0.38,0.39,0.03,0.01,4.78,1.35,0.23,5.37,13.98,1.63
