PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
21546,"Luis Severino",11300.00,DET,SP,NYY,46232,"Luis Severino",true,&nbsp;,99,113,118,"Austin Romine","Nic Lentz (H)",NYY,&nbsp;,5,---,true,true,28.34,7.30,2.64,0.69,0.16,0.66,0.06,0.03,8.80,1.46,0.19,5.64,0.71,2.14,28.34,2.51
11495,"Corey Kluber",10300.00,TBR,SP,CLE,46224,"Corey Kluber",true,&nbsp;,102,112,125,"Yan Gomes",&nbsp;,CLE,&nbsp;,5,---,true,true,25.41,7.21,3.06,0.60,0.22,0.66,0.06,0.02,8.09,1.28,0.26,6.20,0.73,2.45,25.41,2.47
11440,"Nathan Eovaldi",8800.00,CHW,SP,BOS,46230,"Nathan Eovaldi",true,&nbsp;,94,100,107,"Sandy Leon","Will Little (P)",CHW,&nbsp;,5,---,false,true,20.09,6.30,3.51,0.48,0.26,0.51,0.05,0.02,6.62,1.36,0.20,5.75,0.87,2.46,20.09,2.28
36234,"Nick Pivetta",7900.00,CHC,SP,PHI,46234,"Nick Pivetta",true,&nbsp;,92,96,114,"Wilson Ramos",&nbsp;,PHI,&nbsp;,5,---,true,false,19.35,5.90,3.72,0.37,0.34,0.45,0.01,0.01,6.82,1.85,0.24,4.93,0.97,2.44,19.35,2.45
15862,"Zack Wheeler",10600.00,SFG,SP,NYM,46227,"Zack Wheeler",false,&nbsp;,98,105,117,"Kevin Plawecki",&nbsp;,SFG,&nbsp;,4,---,false,false,18.56,6.41,3.42,0.40,0.34,0.53,0.06,0.02,6.03,2.20,0.19,5.78,0.47,2.44,18.56,1.75
13522,"Dan Straily",7200.00,TOR,SP,MIA,46236,"Dan Straily",true,&nbsp;,94,99,117,"J.T. Realmuto",&nbsp;,MIA,Closed,7,1-1,true,false,17.82,6.39,3.64,0.35,0.39,0.53,0.03,0.01,5.65,1.52,0.28,5.18,0.96,2.58,17.82,2.48
11175,"Zack Greinke",11000.00,LAD,SP,ARI,46222,"Zack Greinke",false,&nbsp;,96,97,121,"John Ryan Murphy","Tom Hallion (H)",LAD,&nbsp;,6,---,false,false,17.74,6.07,4.08,0.35,0.37,0.49,0.05,0.02,6.16,1.56,0.13,5.39,1.32,2.75,17.74,1.61
17519,"Aaron Sanchez",6100.00,MIA,SP,TOR,46236,"Aaron Sanchez",true,&nbsp;,90,100,101,"Danny Jansen",&nbsp;,MIA,Closed,5,3-0,false,false,16.46,6.30,3.05,0.42,0.32,0.50,0.05,0.02,4.72,2.22,0.37,5.42,0.27,2.13,16.46,2.7
13476,"Jose Quintana",7500.00,PHI,SP,CHC,46234,"Jose Quintana",true,&nbsp;,91,94,125,"Willson Contreras",&nbsp;,PHI,&nbsp;,1,---,false,false,16.03,5.67,3.91,0.32,0.37,0.41,0.03,0.02,5.59,1.94,0.15,5.28,0.76,2.46,16.03,2.14
36504,"Andrew Suarez",7800.00,NYM,SP,SFG,46227,"Andrew Suarez",false,&nbsp;,87,92,108,"Nick Hundley",&nbsp;,SFG,&nbsp;,5,---,true,false,15.71,5.75,3.66,0.33,0.37,0.42,0.01,0.00,5.16,1.60,0.17,5.33,0.55,2.34,15.71,2.01
10997,"Anibal Sanchez",8000.00,PIT,SP,ATL,46226,"Anibal Sanchez",true,&nbsp;,90,92,114,"Kurt Suzuki",&nbsp;,ATL,&nbsp;,6,---,true,false,15.66,5.87,3.91,0.36,0.35,0.45,0.01,0.01,5.15,1.29,0.21,5.49,0.78,2.55,15.66,1.96
34707,"Antonio Senzatela",5600.00,SDP,SP,COL,46231,"Antonio Senzatela",false,&nbsp;,95,99,111,"Chris Iannetta","Jim Reynolds (H)",SDP,&nbsp;,6,---,false,false,15.58,6.16,3.79,0.39,0.33,0.49,0.05,0.02,4.92,2.01,0.19,5.63,0.67,2.59,15.58,2.78
16116,"Jameson Taillon",9000.00,ATL,SP,PIT,46226,"Jameson Taillon",true,&nbsp;,94,96,125,"Elias Diaz",&nbsp;,ATL,&nbsp;,4,---,false,false,15.31,6.01,3.89,0.35,0.36,0.47,0.04,0.02,5.03,1.62,0.21,5.96,0.59,2.60,15.31,1.7
16013,"Tanner Roark",8500.00,MIL,SP,WAS,46228,"Tanner Roark",true,&nbsp;,100,99,125,"Matt Wieters",&nbsp;,WAS,&nbsp;,6,---,true,false,15.22,6.15,4.33,0.38,0.35,0.51,0.03,0.01,5.23,1.70,0.26,6.04,1.01,2.96,15.22,1.79
14542,"Hyun-Jin Ryu",8200.00,ARI,SP,LAD,46222,"Hyun-Jin Ryu",false,&nbsp;,86,86,108,"Yasmani Grandal","Tom Hallion (H)",LAD,&nbsp;,1,---,true,false,14.76,5.28,4.11,0.32,0.34,0.35,0.00,0.00,5.23,1.53,0.09,5.07,0.95,2.41,14.76,1.8
13170,"Mike Fiers",9600.00,SEA,SP,OAK,46225,"Mike Fiers",false,&nbsp;,91,91,113,"Jonathan Lucroy","Brian Gorman (P)",OAK,&nbsp;,4,---,true,true,14.72,5.71,4.19,0.35,0.34,0.43,0.01,0.00,4.98,1.48,0.26,5.22,0.91,2.66,14.72,1.53
41612,"Brad Keller",6700.00,BAL,SP,KCR,46229,"Brad Keller",true,&nbsp;,94,97,113,"Cam Gallagher",&nbsp;,KCR,&nbsp;,6,2-0,true,true,14.32,6.11,3.76,0.41,0.31,0.49,0.02,0.01,4.42,1.77,0.27,6.02,0.55,2.55,14.32,2.14
38021,"Austin Gomber",7700.00,CIN,SP,STL,46235,"Austin Gomber",true,&nbsp;,82,82,118,"Yadier Molina",&nbsp;,STL,&nbsp;,3,0-1,true,false,12.83,5.06,4.14,0.36,0.28,0.32,0.00,0.00,4.27,1.72,0.18,4.61,0.73,2.33,12.83,1.67
485502,"Brett Kennedy",4400.00,COL,SP,SDP,46231,"Brett Kennedy",false,&nbsp;,89,87,114,"Austin Hedges","Jim Reynolds (H)",SDP,&nbsp;,5,---,true,false,12.71,5.40,4.32,0.30,0.38,0.38,0.00,0.00,4.41,1.64,0.16,5.17,0.87,2.59,12.71,2.89
503797,"Framber Valdez",6900.00,LAA,SP,HOU,46233,"Framber Valdez",true,&nbsp;,85,83,92,"Martin Maldonado","Eric Cooper (EP)",HOU,Closed,2,1-1,true,true,12.65,4.82,4.30,0.34,0.29,0.28,0.00,0.00,4.65,2.32,0.21,4.58,0.70,2.30,12.65,1.83
11000,"Mike Leake",7000.00,OAK,SP,SEA,46225,"Mike Leake",false,&nbsp;,93,92,119,"Mike Zunino","Brian Gorman (P)",OAK,&nbsp;,7,0-4,false,true,12.48,5.90,4.26,0.34,0.37,0.46,0.04,0.02,3.90,1.22,0.27,6.05,0.90,2.79,12.48,1.78
500626,"Michael Kopech",9100.00,BOS,SP,CHW,46230,"Michael Kopech",true,&nbsp;,90,84,107,"Kevan Smith","Will Little (P)",CHW,&nbsp;,5,---,true,true,12.25,4.84,4.80,0.21,0.45,0.29,0.00,0.00,4.94,2.19,0.30,4.61,0.76,2.58,12.25,1.35
34679,"Tyler Glasnow",8300.00,CLE,SP,TBR,46224,"Tyler Glasnow",true,&nbsp;,96,90,107,"Jesus Sucre",&nbsp;,CLE,&nbsp;,2,---,false,true,11.55,5.10,4.79,0.19,0.49,0.34,0.02,0.01,4.67,2.73,0.18,4.83,0.76,2.71,11.55,1.39
11015,"Andrew Cashner",5800.00,KCR,SP,BAL,46229,"Andrew Cashner",true,&nbsp;,99,93,118,"Caleb Joseph",&nbsp;,KCR,&nbsp;,4,---,false,true,11.13,5.59,4.81,0.29,0.40,0.42,0.04,0.01,4.03,1.93,0.18,5.94,0.72,2.99,11.13,1.92
10924,"Jhoulys Chacin",8100.00,WAS,SP,MIL,46228,"Jhoulys Chacin",true,&nbsp;,87,82,113,"Erik Kratz",&nbsp;,WAS,&nbsp;,4,---,false,false,9.94,4.83,4.73,0.27,0.37,0.29,0.01,0.00,3.70,2.11,0.20,4.90,0.69,2.54,9.94,1.23
11179,"Homer Bailey",4500.00,STL,SP,CIN,46235,"Homer Bailey",true,&nbsp;,98,85,123,"Tucker Barnhart",&nbsp;,STL,&nbsp;,6,---,false,false,8.94,5.07,5.58,0.23,0.43,0.35,0.02,0.01,3.70,1.58,0.26,5.85,1.01,3.14,8.94,1.99
38005,"Jaime Barria",6300.00,HOU,SP,LAA,46233,"Jaime Barria",true,&nbsp;,85,76,100,"Jose Briceno","Eric Cooper (EP)",HOU,Closed,7,2-0,false,true,8.50,4.63,5.13,0.22,0.42,0.26,0.00,0.00,3.20,1.49,0.19,4.78,0.94,2.64,8.50,1.35
10937,"Jordan Zimmermann",6800.00,NYY,SP,DET,46232,"Jordan Zimmermann",true,&nbsp;,90,74,111,"James McCann","Nic Lentz (H)",NYY,&nbsp;,6,0-1,false,true,7.39,4.40,5.92,0.11,0.55,0.24,0.00,0.00,3.37,1.24,0.14,5.20,1.10,2.89,7.39,1.09
38001,"Stephen Gonsalves",4900.00,TEX,SP,MIN,46223,"Stephen Gonsalves",true,&nbsp;,84,68,104,"Mitch Garver",&nbsp;,TEX,&nbsp;,4,---,false,true,6.95,3.77,5.95,0.20,0.37,0.14,0.00,0.00,3.21,1.93,0.26,4.10,0.81,2.49,6.95,1.42
13431,"Drew Hutchison",5100.00,MIN,SP,TEX,46223,"Drew Hutchison",true,&nbsp;,80,60,110,"Robinson Chirinos",&nbsp;,TEX,&nbsp;,3,---,true,true,5.76,3.33,6.32,0.19,0.34,0.07,0.00,0.00,2.78,1.63,0.13,3.87,0.71,2.34,5.76,1.13
