PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
10905,Clayton Kershaw,11800,SDP,SP,LAD,46150,Clayton Kershaw,true,&nbsp,,94,109,123,Yasmani Grandal,Tripp Gibson (EP),LAD,&nbsp,,1,---,true,false,26.72,7.22,2.63,0.67,0.17,0.65,0.05,0.02,7.93,1.07,0.07,5.57,26.72,2.26
11495,Corey Kluber,11000,KCR,SP,CLE,46154,Corey Kluber,true,&nbsp,,102,108,125,Yan Gomes,Stu Scheurwater (EH),KCR,&nbsp,,4,---,false,true,22.99,6.94,3.46,0.58,0.22,0.62,0.08,0.03,7.35,1.28,0.23,6.12,22.99,2.09
17457,Robbie Ray,8000,SEA,SP,ARI,46156,Robbie Ray,true,&nbsp,,96,104,125,John Ryan Murphy,Gabe Morales (P),ARI,Closed,4,---,true,false,22.27,6.39,3.34,0.49,0.26,0.52,0.03,0.01,7.51,1.92,0.28,5.14,0.91,22.27,2.78
10908,Justin Verlander,12900,LAA,SP,HOU,46146,Justin Verlander,false,&nbsp,,102,109,125,Max Stassi,Bruce Dreckman (N),LAA,&nbsp,,7,1-2,false,true,22.23,6.9,3.41,0.5,0.28,0.61,0.07,0.03,7.1,1.75,0.21,5.57,22.23,1.72
10941,J.A. Happ,9300,BAL,SP,NYY,44812,J.A. Happ,true,1,100,106,117,Kyle Higashioka,Quinn Wolcott (P),BAL,&nbsp,,1,---,false,true,21.57,6.42,3.56,0.46,0.28,0.53,0.06,0.03,7.39,2.13,0.15,5.41,0.95,21.57,2.32
10980,Rick Porcello,11200,TBR,SP,BOS,46160,Rick Porcello,true,&nbsp,,100,103,124,Sandy Leon,Alan Porter (H),TBR,&nbsp,,4,---,false,true,18.81,6.47,3.8,0.46,0.29,0.55,0.06,0.03,6.21,1.43,0.28,6.18,18.81,1.68
15862,Zack Wheeler,10500,WAS,SP,NYM,46148,Zack Wheeler,true,&nbsp,,98,103,117,Kevin Plawecki,Carlos Torres (H),NYM,&nbsp,,4,---,true,false,17.78,6.17,3.66,0.37,0.36,0.49,0.02,0.01,6.06,2.51,0.22,5.27,17.78,1.69
14979,Sonny Gray,7500,BAL,SP,NYY,44812,Sonny Gray,true,2,89,90,90,Austin Romine,&nbsp,,BAL,&nbsp,,5,4-0,false,true,17.52,5.58,2.97,0.43,0.26,0.38,0.02,0.01,5.43,2.04,0.18,4.47,17.52,2.34
10997,Anibal Sanchez,8200,MIA,SP,ATL,46158,Anibal Sanchez,true,&nbsp,,90,98,114,Kurt Suzuki,CB Bucknor (N),MIA,Closed,5,---,false,false,17.48,6.35,3.31,0.39,0.35,0.52,0.05,0.02,5.2,1.32,0.2,5.6,0.56,17.48,2.13
16013,Tanner Roark,7700,NYM,SP,WAS,46148,Tanner Roark,true,&nbsp,,101,105,125,Matt Wieters,Carlos Torres (H),NYM,&nbsp,,5,---,false,false,17.12,6.53,3.74,0.4,0.35,0.56,0.06,0.03,5.44,2.22,0.33,5.57,17.12,2.22
13401,Wei-Yin Chen,6300,ATL,SP,MIA,46158,Wei-Yin Chen,true,&nbsp,,87,95,109,J.T. Realmuto,CB Bucknor (N),MIA,Closed,2,---,true,false,16.48,6.2,3.32,0.37,0.36,0.49,0.02,0.01,4.95,1.61,0.16,4.89,0.81,16.48,2.62
36504,Andrew Suarez,6700,TEX,SP,SFG,46147,Andrew Suarez,true,&nbsp,,87,93,107,Nick Hundley,Andy Fletcher (H),SFG,&nbsp,,5,---,true,false,16.31,5.9,3.51,0.41,0.31,0.44,0.01,0.01,5.11,1.49,0.22,5.38,16.31,2.43
36234,Nick Pivetta,9400,TOR,SP,PHI,46151,Nick Pivetta,true,&nbsp,,95,92,114,Jorge Alfaro,Brian Knight (H),TOR,Open,6,---,false,true,15.32,5.57,4.44,0.33,0.35,0.41,0.03,0.01,5.61,1.76,0.21,5.38,0.99,15.32,1.63
13476,Jose Quintana,7300,CIN,SP,CHC,46159,Jose Quintana,true,&nbsp,,91,89,125,Willson Contreras,Ben May (P),CHC,&nbsp,,2,---,true,false,14.78,5.42,4.47,0.4,0.27,0.38,0,0,5.29,1.46,0.26,5.37,14.78,2.02
34706,German Marquez,7800,STL,SP,COL,46157,German Marquez,true,&nbsp,,98,91,120,Tony Wolters,Cory Blaser (P),COL,&nbsp,,5,---,true,false,13.92,5.45,4.98,0.37,0.29,0.4,0.01,0,5.4,1.46,0.29,5.91,13.92,1.78
16116,Jameson Taillon,8300,MIL,SP,PIT,46149,Jameson Taillon,true,&nbsp,,93,90,125,Francisco Cervelli,Sam Holbrook (EH),MIL,Open,5,---,false,false,13.35,5.57,4.5,0.29,0.39,0.41,0.03,0.01,4.78,1.59,0.19,5.52,0.95,13.35,1.61
10924,Jhoulys Chacin,8100,PIT,SP,MIL,46149,Jhoulys Chacin,true,&nbsp,,87,87,110,Manny Pina,Sam Holbrook (EH),MIL,Open,5,---,true,false,12.68,5.35,4.13,0.35,0.32,0.36,0,0,4.21,1.75,0.31,5.07,0.67,12.68,1.57
13502,Martin Perez,5200,SFG,SP,TEX,46147,Martin Perez,true,&nbsp,,87,90,115,Robinson Chirinos,Andy Fletcher (H),SFG,&nbsp,,4,2-2,false,false,12.43,5.46,3.95,0.28,0.41,0.38,0.02,0.01,4.13,1.9,0.18,5.49,12.43,2.39
35242,Lucas Giolito,7200,DET,SP,CHW,46153,Lucas Giolito,true,&nbsp,,97,94,116,Kevan Smith,Ryan Blakney (EP),DET,&nbsp,,4,---,false,true,12.32,5.61,4.51,0.33,0.35,0.42,0.03,0.01,4.31,2.21,0.27,5.5,12.32,1.71
141501,Ryan Carpenter,6100,CHW,SP,DET,46153,Ryan Carpenter,true,&nbsp,,92,81,116,Grayson Greiner,Ryan Blakney (EP),DET,&nbsp,,1,1-3,true,true,11.44,4.87,5.38,0.28,0.36,0.31,0,0,4.64,1.12,0.19,5.46,11.44,1.88
13170,Mike Fiers,8800,MIN,SP,OAK,46152,Mike Fiers,true,&nbsp,,91,81,113,Jonathan Lucroy,Mike Winters (P),MIN,&nbsp,,4,---,false,true,10.8,4.8,5.24,0.29,0.34,0.3,0.01,0,4.3,1.56,0.2,5.17,10.8,1.23
11015,Andrew Cashner,4600,NYY,SP,BAL,44812,Andrew Cashner,true,2,98,96,118,Caleb Joseph,&nbsp,,BAL,&nbsp,,5,---,true,true,10.77,5.91,4.36,0.26,0.45,0.47,0.02,0.01,3.6,2.33,0.21,5.51,10.77,2.34
38005,Jaime Barria,7000,HOU,SP,LAA,46146,Jaime Barria,false,&nbsp,,85,83,99,Rene Rivera,Bruce Dreckman (N),LAA,&nbsp,,6,2-1,true,true,10.72,5.26,4.34,0.25,0.43,0.35,0,0,3.53,1.49,0.18,4.94,10.72,1.53
