PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
10934,Max Scherzer,11500,PHI,SP,WAS,46128,Max Scherzer,true,&nbsp,,104,118,125,Spencer Kieboom,Eric Cooper (EP),WAS,&nbsp,,4,1-2,true,false,33.04,7.39,2.65,0.55,0.28,0.68,0.06,0.03,11.2,1.95,0.24,4.69,33.04,2.87
17652,Jacob deGrom,11900,SFG,SP,NYM,46127,Jacob deGrom,true,&nbsp,,101,118,123,Devin Mesoraco,Tony Randazzo (P),NYM,&nbsp,,5,---,true,false,31.58,7.5,2.38,0.57,0.27,0.69,0.06,0.03,10.19,1.8,0.16,5.22,31.58,2.65
34679,Tyler Glasnow,8400,KCR,SP,TBR,46129,Tyler Glasnow,true,&nbsp,,96,106,106,Jesus Sucre,John Libka (H),TBR,&nbsp,,4,---,true,true,23.86,6.4,3.03,0.47,0.28,0.52,0.03,0.01,8.12,2.6,0.22,4.55,23.86,2.84
10932,Madison Bumgarner,7500,NYM,SP,SFG,46127,Madison Bumgarner,true,&nbsp,,96,104,125,Nick Hundley,Tony Randazzo (P),NYM,&nbsp,,3,---,false,false,20.69,6.6,3.25,0.3,0.44,0.56,0.06,0.03,6.74,1.87,0.28,5.07,20.69,2.76
18952,Matt Boyd,6000,CHW,SP,DET,46123,Matt Boyd,true,&nbsp,,95,100,119,Grayson Greiner,Phil Cuzzi (P),DET,&nbsp,,1,1-2,true,true,20.46,6.23,3.66,0.46,0.27,0.5,0.02,0.01,6.95,1.6,0.19,5.3,20.46,3.41
21538,Aaron Nola,9100,WAS,SP,PHI,46128,Aaron Nola,true,&nbsp,,96,103,117,Jorge Alfaro,Eric Cooper (EP),WAS,&nbsp,,5,3-1,false,false,19.21,6.36,3.38,0.3,0.44,0.52,0.05,0.02,6.47,1.97,0.22,5.69,19.21,2.11
10996,Cole Hamels,10400,CIN,SP,CHC,46125,Cole Hamels,true,&nbsp,,93,93,113,Victor Caratini,&nbsp,,CHC,&nbsp,,1,---,true,false,17.74,5.61,4.15,0.41,0.27,0.41,0.01,0,6.43,1.87,0.27,17.74,1.71
37113,Sean Newcomb,7800,MIA,SP,ATL,46130,Sean Newcomb,true,&nbsp,,98,107,125,Tyler Flowers,&nbsp,,MIA,Closed,2,---,false,false,17.15,6.54,3.24,0.45,0.31,0.55,0.06,0.03,5.11,2.65,0.16,5.52,17.15,2.2
10965,David Price,7000,CLE,SP,BOS,46122,David Price,true,&nbsp,,95,96,114,Sandy Leon,Gerry Davis (H),BOS,&nbsp,,1,---,true,true,16.09,5.82,4.06,0.42,0.28,0.44,0.01,0.01,5.6,1.92,0.23,5.53,16.09,2.3
36592,Kyle Freeland,6700,SDP,SP,COL,46124,Kyle Freeland,true,&nbsp,,95,97,125,Chris Iannetta,Nic Lentz (H),COL,&nbsp,,3,---,true,false,15.98,5.99,4.02,0.49,0.22,0.47,0.02,0.01,5.23,1.74,0.14,5.89,15.98,2.39
10967,Trevor Cahill,9200,MIN,SP,OAK,46126,Trevor Cahill,true,&nbsp,,90,91,119,Jonathan Lucroy,&nbsp,,MIN,&nbsp,,2,1-0,false,true,14.44,5.35,4.1,0.36,0.31,0.36,0.02,0.01,5.16,2.34,0.21,14.44,1.57
11224,Danny Duffy,6400,TBR,SP,KCR,46129,Danny Duffy,true,&nbsp,,102,80,80,Salvador Perez,John Libka (H),TBR,&nbsp,,4,0-2,false,true,13.98,5.01,3.55,0.24,0.43,0.29,0,0.01,4.65,1.42,0.24,4.35,13.98,2.18
10667,James Shields,5000,DET,SP,CHW,46123,James Shields,true,&nbsp,,100,93,121,Omar Narvaez,Phil Cuzzi (P),DET,&nbsp,,5,---,false,true,12.2,5.56,4.94,0.25,0.44,0.42,0.04,0.01,4.66,1.85,0.22,5.74,12.2,2.44
42486,Elieser Hernandez,4100,ATL,SP,MIA,46130,Elieser Hernandez,true,&nbsp,,76,70,70,J.T. Realmuto,&nbsp,,MIA,Closed,3,1-2,true,false,10.25,4.43,3.88,0.23,0.4,0.2,0,0,3.3,1.43,0.17,3.71,10.25,2.5
17708,Anthony DeSclafani,8000,CHC,SP,CIN,46125,Anthony DeSclafani,true,&nbsp,,88,75,102,Curt Casali,&nbsp,,CHC,&nbsp,,2,---,false,false,9.32,4.46,5.51,0.19,0.44,0.24,0,0,3.96,1.44,0.17,9.32,1.17
491477,Kohl Stewart,4100,OAK,SP,MIN,46126,Kohl Stewart,true,&nbsp,,86,75,105,Bobby Wilson,&nbsp,,MIN,&nbsp,,6,0-3,true,true,7.19,4.29,5.38,0.21,0.4,0.21,0,0,3.03,1.93,0.29,7.19,1.75
194888,Joey Lucchesi,5100,COL,SP,SDP,46124,Joey Lucchesi,true,&nbsp,,84,61,110,A.J. Ellis,Nic Lentz (H),COL,&nbsp,,3,---,false,false,6.74,3.41,6.54,0.12,0.49,0.09,0,0,3.48,1.46,0.13,4.18,6.74,1.32
35719,Adam Plutko,4100,BOS,SP,CLE,46122,Adam Plutko,true,&nbsp,,93,72,113,Roberto Perez,Gerry Davis (H),BOS,&nbsp,,4,2-2,false,true,5.42,4.21,6.4,0.18,0.43,0.22,0,0,2.62,1.56,0.09,5.03,5.42,1.32
