PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
10934,Max Scherzer,12200,STL,SP,WAS,46276,Max Scherzer,true,&nbsp,,104,118,125,Pedro Severino,&nbsp,,WAS,&nbsp,,6,3-1,true,false,34,7.48,2.67,0.64,0.21,0.69,0.06,0.03,11.39,1.61,0.24,34,2.79
17652,Jacob deGrom,13400,LAD,SP,NYM,46275,Jacob deGrom,false,&nbsp,,101,110,123,Tomas Nido,&nbsp,,LAD,&nbsp,,5,---,false,false,24.05,6.76,3.28,0.36,0.39,0.58,0.07,0.03,8.3,2.03,0.15,24.05,1.79
13490,Dallas Keuchel,7900,MIN,SP,HOU,46280,Dallas Keuchel,false,&nbsp,,100,116,123,Martin Maldonado,&nbsp,,HOU,Closed,3,1-0,true,true,23.21,7.65,2.49,0.66,0.21,0.72,0.07,0.03,6.13,1.78,0.22,6.26,23.21,2.94
21539,Zack Godley,9700,SDP,SP,ARI,46279,Zack Godley,false,&nbsp,,95,105,117,Alex Avila,&nbsp,,ARI,Closed,5,4-2,true,false,22.51,6.53,3.06,0.55,0.22,0.54,0.03,0.01,7.25,2.03,0.29,5.29,22.51,2.32
15846,Alex Wood,9200,NYM,SP,LAD,46275,Alex Wood,false,&nbsp,,89,99,107,Yasmani Grandal,&nbsp,,LAD,&nbsp,,4,---,true,false,19.43,6.46,3.12,0.43,0.32,0.53,0.03,0.01,5.89,1.23,0.2,19.43,2.11
34649,Michael Fulmer,7100,CHW,SP,DET,46268,Michael Fulmer,false,&nbsp,,97,97,97,James McCann,&nbsp,,CHW,&nbsp,,5,3-1,false,true,19.4,6.1,3.48,0.38,0.34,0.48,0.04,0.02,6.51,1.42,0.34,19.4,2.73
18877,Vincent Velasquez,7400,MIA,SP,PHI,46267,Vince Velasquez,true,&nbsp,,89,98,114,Wilson Ramos,&nbsp,,MIA,Closed,7,---,false,false,18.49,6.17,3.19,0.42,0.31,0.48,0.04,0.02,5.75,1.78,0.29,5.19,18.49,2.5
13423,Erasmo Ramirez,6200,BAL,SP,SEA,46281,Erasmo Ramirez,false,&nbsp,,88,94,103,Mike Zunino,&nbsp,,SEA,&nbsp,,4,---,true,true,17.35,6.02,3.52,0.48,0.24,0.46,0.02,0.01,5.34,1.43,0.2,17.35,2.8
10967,Trevor Cahill,6800,NYY,SP,OAK,46274,Trevor Cahill,false,&nbsp,,90,96,119,Jonathan Lucroy,&nbsp,,OAK,&nbsp,,5,1-1,true,true,17.24,5.77,3.54,0.4,0.3,0.42,0.01,0,5.84,2.5,0.27,17.24,2.54
35327,Reynaldo Lopez,7300,DET,SP,CHW,46268,Reynaldo Lopez,true,&nbsp,,97,99,119,Kevan Smith,&nbsp,,CHW,&nbsp,,5,1-2,true,true,16.76,6.19,3.99,0.36,0.37,0.5,0.03,0.01,5.6,1.64,0.18,16.76,2.3
17472,Jose Urena,6400,PHI,SP,MIA,46267,Jose Urena,true,&nbsp,,96,101,124,J.T. Realmuto,&nbsp,,MIA,Closed,3,---,true,false,15.81,6.42,3.56,0.34,0.4,0.53,0.03,0.01,4.86,2.01,0.26,5.6,15.81,2.47
10996,Cole Hamels,9400,MIL,SP,CHC,46271,Cole Hamels,false,&nbsp,,93,92,115,Victor Caratini,&nbsp,,MIL,Open,2,---,false,false,15.51,5.42,4.35,0.3,0.38,0.38,0.03,0.01,5.79,2.16,0.26,4.84,15.51,1.65
16408,Marcus Stroman,6600,TBR,SP,TOR,46272,Marcus Stroman,false,&nbsp,,93,85,85,Danny Jansen,&nbsp,,TOR,Open,5,1-0,true,true,15.21,5.27,3.54,0.39,0.28,0.34,0,0,4.97,1.55,0.24,4.97,15.21,2.3
35719,Adam Plutko,5500,KCR,SP,CLE,46269,Adam Plutko,false,&nbsp,,94,93,114,Roberto Perez,&nbsp,,CLE,&nbsp,,4,2-2,true,true,15.06,5.77,4.27,0.45,0.25,0.44,0.01,0,5.02,1.53,0.1,15.06,2.74
37542,Jack Flaherty,10200,WAS,SP,STL,46276,Jack Flaherty,true,&nbsp,,93,91,125,Francisco Pena,&nbsp,,WAS,&nbsp,,5,---,false,false,14.43,5.36,4.42,0.19,0.5,0.37,0.02,0.01,5.61,2.03,0.18,14.43,1.41
11440,Nathan Eovaldi,7600,ATL,SP,BOS,46273,Nathan Eovaldi,true,&nbsp,,91,93,107,Christian Vazquez,&nbsp,,ATL,&nbsp,,4,---,false,false,14.18,5.86,3.93,0.39,0.32,0.45,0.04,0.02,4.51,1.34,0.14,14.18,1.87
15867,Kyle Gibson,6700,HOU,SP,MIN,46280,Kyle Gibson,false,&nbsp,,99,99,120,Willians Astudillo,&nbsp,,HOU,Closed,7,1-1,false,true,14.01,5.95,4.13,0.21,0.5,0.47,0.04,0.02,5.06,2.35,0.31,5.68,14.01,2.09
22664,Zach Davies,4800,CHC,SP,MIL,46271,Zach Davies,true,&nbsp,,95,93,115,Erik Kratz,&nbsp,,MIL,Open,3,---,true,false,13.85,5.76,4.33,0.36,0.34,0.44,0.01,0,4.76,1.77,0.28,5.54,13.85,2.89
16126,Tyler Anderson,5600,SFG,SP,COL,46278,Tyler Anderson,false,&nbsp,,93,88,114,Tony Wolters,&nbsp,,COL,&nbsp,,2,---,true,false,13.75,5.36,4.7,0.37,0.29,0.38,0,0,5.07,1.48,0.11,13.75,2.46
13847,CC Sabathia,9000,OAK,SP,NYY,46274,CC Sabathia,false,&nbsp,,90,85,109,Austin Romine,&nbsp,,OAK,&nbsp,,0,---,false,true,11.65,4.98,4.69,0.25,0.41,0.31,0.01,0.01,4.48,2.1,0.18,11.65,1.29
35715,Trevor Williams,8500,CIN,SP,PIT,46270,Trevor Williams,true,&nbsp,,87,87,120,Francisco Cervelli,&nbsp,,PIT,&nbsp,,4,---,true,false,11.52,5.34,4.15,0.36,0.31,0.36,0,0,3.68,1.96,0.18,11.52,1.36
10932,Madison Bumgarner,8400,COL,SP,SFG,46278,Madison Bumgarner,false,&nbsp,,97,83,125,Nick Hundley,&nbsp,,COL,&nbsp,,4,---,false,false,10.56,4.93,5.6,0.23,0.42,0.33,0.02,0,4.48,1.45,0.2,10.56,1.26
13517,Matt Harvey,5500,PIT,SP,CIN,46270,Matt Harvey,true,&nbsp,,91,86,117,Tucker Barnhart,&nbsp,,PIT,&nbsp,,4,---,false,false,10.15,5.26,4.66,0.27,0.4,0.36,0.02,0.01,3.57,1.64,0.22,10.15,1.85
491200,Touki Toussaint,7000,BOS,SP,ATL,46273,Touki Toussaint,true,&nbsp,,85,78,107,Kurt Suzuki,&nbsp,,ATL,&nbsp,,7,---,true,false,10.09,4.66,4.89,0.24,0.39,0.26,0,0,3.83,1.79,0.21,10.09,1.44
36195,Jakob Junis,7900,CLE,SP,KCR,46269,Jakob Junis,false,&nbsp,,96,83,121,Meibrys Viloria,&nbsp,,CLE,&nbsp,,2,---,false,true,8.35,4.94,5.57,0.2,0.47,0.33,0.02,0,3.52,1.56,0.21,8.35,1.06
37991,Jalen Beeks,5600,TOR,SP,TBR,46272,Jalen Beeks,false,&nbsp,,77,63,108,Adam Moore,&nbsp,,TOR,Open,0,---,false,true,7.67,3.56,5.75,0.23,0.43,0.1,0,0,3.29,1.6,0.11,3.83,7.67,1.37
38011,Ariel Jurado,4200,LAA,SP,TEX,46277,Ariel Jurado,false,&nbsp,,83,76,107,Isiah Kiner-Falefa,&nbsp,,TEX,&nbsp,,5,3-1,true,true,6.97,4.75,4.92,0.41,0.32,0.28,0,0,2.04,1.32,0.22,6.97,1.66
512553,Josh Rogers,5300,SEA,SP,BAL,46281,Josh Rogers,false,&nbsp,,86,71,103,Caleb Joseph,&nbsp,,SEA,&nbsp,,2,---,false,true,6.4,4.25,5.82,0.16,0.48,0.22,0,0,2.76,1.34,0.17,6.4,1.21
16046,Bryan Mitchell,4500,ARI,SP,SDP,46279,Bryan Mitchell,false,&nbsp,,82,71,110,Austin Hedges,&nbsp,,ARI,Closed,3,---,false,false,6.23,4.08,5.36,0.14,0.49,0.18,0,0,2.71,2.01,0.15,4.53,6.23,1.38
