"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Javier Baez","Cubs","CIN @ CHC","2B","4.66","1.49",".85",".28",".04",".32",".95",".87",".11",".06",".23",".81","10.15","15.86","12.12","12979"
"Nolan Arenado","Rockies","STL @ COL","3B","4.57","1.32",".68",".28",".04",".32",".90",".90",".02",".02",".60",".72","10.21","15.94","11.91","9777"
"Anthony Rizzo","Cubs","CIN @ CHC","1B","4.54","1.31",".74",".25",".02",".30",".87",".86",".03",".02",".60",".39","9.75","15.23","11.41","3473"
"Jose Ramirez","Indians","CLE @ KC","3B","4.79","1.34",".75",".35",".06",".19",".80",".80",".11",".06",".62",".41","9.59","14.94","11.28","13510"
"Trevor Story","Rockies","STL @ COL","SS","4.46","1.24",".59",".30",".06",".28",".77",".92",".06",".03",".45","1.15","9.54","14.93","11.19","12564"
"Daniel Murphy","Cubs","CIN @ CHC","2B","4.77","1.59",".96",".36",".02",".24",".93",".67",".02",".02",".35",".32","9.41","14.64","11.29","4316"
"Giancarlo Stanton","Yankees","NYY @ BAL","DH","4.74","1.20",".60",".22",".01",".37",".80",".83",".02",".01",".45","1.35","9.36","14.62","10.96","4949"
"Tyler O'Neill","Cardinals","STL @ COL","RF","4.54","1.15",".58",".18",".03",".36",".75",".93",".05",".03",".37","1.43","9.27","14.53","10.87","15711"
"Francisco Lindor","Indians","CLE @ KC","SS","5.01","1.39",".84",".32",".04",".19",".80",".70",".10",".05",".46",".55","9.02","14.03","10.73","12916"
"Kyle Schwarber","Cubs","CIN @ CHC","LF","4.12","1.08",".56",".16",".02",".34",".69",".84",".03",".02",".59",".84","8.95","13.98","10.42","16478"
"Charlie Blackmon","Rockies","STL @ COL","CF","4.79","1.31",".81",".21",".08",".21",".78",".59",".10",".06",".49",".93","8.76","13.58","10.46","7859"
"Mike Trout","Angels","HOU @ LAA","CF","4.37",".99",".55",".17",".03",".24",".67",".60",".11",".05",".98",".97","8.83","13.68","10.20","10155"
"Jose Martinez","Cardinals","STL @ COL","1B","4.66","1.37",".87",".27",".01",".22",".76",".72",".04",".03",".40",".78","8.58","13.38","10.22","7996"
"Willson Contreras","Cubs","CIN @ CHC","C","4.44","1.25",".76",".25",".03",".22",".71",".81",".03",".03",".53",".72","8.60","13.44","10.12","11609"
"Michael Brantley","Indians","CLE @ KC","LF","4.91","1.47",".99",".33",".03",".12",".81",".66",".08",".04",".38",".32","8.51","13.25","10.22","4106"
"Matt Holliday","Rockies","STL @ COL","OF","4.35","1.09",".61",".24",".01",".24",".71",".80",".01",".01",".61",".87","8.46","13.23","9.82","1873"
"Mookie Betts","Red Sox","BOS @ TB","RF","4.73","1.16",".67",".29",".02",".18",".64",".50",".16",".08",".64",".82","8.30","12.83","9.84","13611"
"Edwin Encarnacion","Indians","CLE @ KC","DH","4.69","1.08",".66",".18",".01",".24",".71",".83",".01",".01",".59",".77","8.26","12.95","9.60","2151"
"Matt Carpenter","Cardinals","STL @ COL","3B","4.87","1.10",".56",".28",".02",".25",".76",".57",".02",".01",".60","1.22","8.27","12.84","9.66","8090"
"Paul DeJong","Cardinals","STL @ COL","SS","4.44","1.14",".59",".26",".02",".28",".66",".77",".02",".01",".32","1.23","8.14","12.73","9.61","18015"
"Freddie Freeman","Braves","ATL @ MIA","1B","4.59","1.25",".75",".30",".03",".17",".65",".63",".04",".03",".56",".72","8.10","12.59","9.59","5361"
"Alex Bregman","Astros","HOU @ LAA","3B","4.86","1.12",".64",".26",".01",".20",".69",".57",".09",".06",".62",".79","8.11","12.59","9.53","17678"
"Ronald Acuna","Braves","ATL @ MIA","LF","4.80","1.23",".77",".24",".03",".20",".64",".53",".16",".11",".39","1.16","8.02","12.42","9.64","18401"
"DJ LeMahieu","Rockies","STL @ COL","2B","4.68","1.36",".94",".27",".05",".11",".81",".54",".07",".04",".42",".59","7.94","12.34","9.53","9874"
"Yadier Molina","Cardinals","STL @ COL","C","4.77","1.30",".82",".28",".01",".20",".75",".59",".05",".04",".33",".69","7.92","12.32","9.48","7007"
"Trea Turner","Nationals","WSH @ NYM","SS","4.69","1.21",".84",".21",".05",".12",".66",".47",".28",".11",".40",".81","7.91","12.23","9.56","16252"
"David Bote","Cubs","CIN @ CHC","3B","4.23","1.15",".71",".21",".02",".21",".65",".75",".05",".03",".42",".79","7.94","12.41","9.38","14593"
"Daniel Palka","White Sox","CWS @ DET","DH","4.43","1.10",".59",".17",".06",".28",".60",".72",".05",".03",".27","1.20","7.83","12.22","9.31","14897"
"Ryan Zimmerman","Nationals","WSH @ NYM","1B","4.47","1.14",".65",".25",".01",".23",".61",".79",".01",".01",".40",".88","7.85","12.29","9.24","4220"
"Starling Marte","Pirates","PIT @ MIL","CF","4.76","1.23",".80",".21",".04",".18",".61",".47",".20",".09",".30",".96","7.70","11.91","9.36","9241"
"Jose Altuve","Astros","HOU @ LAA","2B","4.75","1.28",".90",".24",".02",".13",".63",".55",".14",".06",".45",".73","7.69","11.94","9.26","5417"
"Rhys Hoskins","Phillies","PHI @ TOR","LF","4.63",".96",".45",".26",".01",".24",".66",".61",".04",".03",".58","1.08","7.79","12.12","9.03","16472"
"Yonder Alonso","Indians","CLE @ KC","1B","4.58","1.20",".77",".27",".01",".17",".63",".74",".01",".01",".48",".72","7.70","12.05","9.09","2530"
"Scooter Gennett","Reds","CIN @ CHC","2B","4.52","1.31",".84",".24",".02",".20",".63",".65",".03",".02",".28",".87","7.61","11.86","9.16","10339"
"Jason Heyward","Cubs","CIN @ CHC","RF","4.34","1.24",".82",".26",".03",".14",".63",".72",".05",".02",".37",".37","7.57","11.84","9.02","4940"
"Ian Desmond","Rockies","STL @ COL","1B","4.25","1.06",".65",".18",".06",".18",".59",".67",".10",".05",".43","1.04","7.55","11.78","8.95","6885"
"Aaron Hicks","Yankees","NYY @ BAL","CF","4.63",".98",".58",".18",".02",".20",".59",".59",".09",".05",".66",".99","7.61","11.83","8.89","5297"
"Eugenio Suarez","Reds","CIN @ CHC","3B","4.42","1.09",".67",".19",".01",".22",".62",".67",".03",".02",".46","1.04","7.56","11.79","8.91","12552"
"Eddie Rosario","Twins","OAK @ MIN","LF","4.52","1.28",".85",".26",".04",".13",".58",".68",".07",".04",".32",".72","7.48","11.68","9.01","12155"
"Khris Davis","Athletics","OAK @ MIN","DH","4.55","1.01",".54",".22",".01",".23",".61",".75",".01",".01",".46","1.22","7.56","11.83","8.81","9112"
"Jedd Gyorko","Cardinals","STL @ COL","3B","4.33","1.10",".64",".22",".02",".23",".62",".64",".03",".02",".41",".86","7.52","11.72","8.89","10816"
"Miguel Andujar","Yankees","NYY @ BAL","3B","4.54","1.23",".73",".29",".01",".20",".56",".71",".04",".02",".20",".78","7.38","11.54","8.87","15878"
"Scott Schebler","Reds","CIN @ CHC","RF","4.32","1.05",".61",".21",".02",".22",".60",".65",".05",".02",".42",".93","7.44","11.60","8.78","12225"
"Paul Goldschmidt","Diamondbacks","SEA @ ARI","1B","4.23","1.15",".70",".26",".03",".16",".59",".63",".06",".03",".42",".91","7.38","11.51","8.78","9218"
"Anthony Rendon","Nationals","WSH @ NYM","3B","4.58","1.16",".71",".30",".01",".14",".60",".60",".03",".02",".52",".65","7.40","11.52","8.75","12861"
"David Peralta","Diamondbacks","SEA @ ARI","LF","4.33","1.29",".82",".27",".07",".13",".60",".61",".05",".03",".26",".65","7.30","11.37","8.83","2136"
"Corey Dickerson","Pirates","PIT @ MIL","LF","4.33","1.20",".71",".27",".05",".18",".57",".68",".03",".02",".22",".80","7.26","11.35","8.72","10762"
"A.J. Pollock","Diamondbacks","SEA @ ARI","CF","4.55","1.22",".72",".32",".06",".12",".61",".45",".15",".07",".24",".73","7.25","11.23","8.80","9256"
"Jeff McNeil","Mets","WSH @ NYM","2b","4.53","1.17",".76",".23",".05",".14",".66",".48",".05",".04",".50",".58","7.29","11.31","8.70","15362"
"Matt Chapman","Athletics","OAK @ MIN","3B","4.77","1.04",".60",".26",".03",".15",".62",".60",".04",".03",".51","1.24","7.27","11.33","8.54","16505"
"Michael Conforto","Mets","WSH @ NYM","CF","4.43",".96",".59",".18",".02",".17",".60",".54",".03",".02",".77","1.01","7.30","11.33","8.47","16376"
"Tyler White","Astros","HOU @ LAA","DH","4.53",".96",".57",".18",".01",".21",".59",".68",".02",".02",".53","1.19","7.25","11.33","8.45","15564"
"Brandon Belt","Giants","TEX @ SF","1B","4.35","1.09",".67",".28",".05",".09",".60",".59",".02",".02",".63",".67","7.24","11.28","8.50","10264"
"Manny Machado","Dodgers","SD @ LAD","SS","4.29","1.19",".74",".25",".01",".19",".59",".59",".04",".03",".28",".58","7.15","11.14","8.59","11493"
"Christian Yelich","Brewers","PIT @ MIL","LF","4.47","1.16",".75",".24",".03",".14",".63",".47",".07",".04",".45","1.19","7.17","11.11","8.57","11477"
"Matt Olson","Athletics","OAK @ MIN","1B","4.44",".98",".53",".24",".01",".20",".58",".64",".02",".02",".50","1.11","7.20","11.23","8.40","14344"
"David Dahl","Rockies","STL @ COL","LF","4.14","1.10",".66",".21",".06",".17",".53",".65",".08",".05",".26","1.09","7.07","11.04","8.48","13744"
"Gregory Polanco","Pirates","PIT @ MIL","RF","4.53",".96",".51",".23",".03",".18",".57",".56",".07",".03",".49","1.04","7.15","11.12","8.40","12907"
"Brett Gardner","Yankees","NYY @ BAL","LF","4.85","1.13",".78",".20",".03",".12",".66",".44",".11",".05",".49",".83","7.09","10.98","8.48","9927"
"Nick Williams","Phillies","PHI @ TOR","RF","4.53","1.10",".64",".23",".04",".19",".55",".59",".04",".03",".31","1.18","7.04","10.96","8.41","14330"
"Brian Dozier","Dodgers","SD @ LAD","2B","4.48","1.10",".63",".25",".02",".20",".62",".46",".06",".03",".30",".81","7.02","10.89","8.42","9810"
"Justin Turner","Dodgers","SD @ LAD","3B","4.38","1.23",".77",".28",".01",".16",".64",".47",".03",".02",".31",".57","7.00","10.86","8.43","5235"
"Whit Merrifield","Royals","CLE @ KC","2B","4.52","1.31",".88",".31",".04",".08",".53",".42",".17",".09",".24",".77","6.94","10.72","8.54","11281"
"Tim Anderson","White Sox","CWS @ DET","SS","4.65","1.23",".84",".21",".05",".13",".57",".53",".15",".08",".13",".98","6.89","10.71","8.44","15172"
"Harrison Bader","Cardinals","STL @ COL","RF","4.23","1.07",".67",".19",".04",".17",".52",".54",".10",".07",".35","1.24","6.92","10.75","8.30","18030"
"Avisail Garcia","White Sox","CWS @ DET","RF","4.53","1.24",".84",".19",".03",".17",".56",".57",".04",".03",".20",".97","6.84","10.66","8.32","5760"
"Carlos Correa","Astros","HOU @ LAA","SS","4.63",".98",".61",".19",".01",".17",".55",".61",".04",".02",".52","1.26","6.92","10.80","8.12","14162"
"Melky Cabrera","Indians","CLE @ KC","RF","4.47","1.30",".90",".28",".03",".09",".55",".64",".02",".01",".26",".44","6.81","10.65","8.26","4022"
"Jason Kipnis","Indians","CLE @ KC","2B","4.36","1.04",".63",".27",".03",".12",".56",".59",".05",".03",".47",".65","6.90","10.76","8.14","9776"
"Lorenzo Cain","Brewers","PIT @ MIL","CF","4.57","1.20",".89",".20",".02",".08",".58",".35",".15",".07",".49",".95","6.85","10.57","8.31","9077"
"Todd Frazier","Mets","WSH @ NYM","3B","4.33",".88",".53",".17",".01",".17",".56",".63",".04",".03",".62",".88","6.92","10.81","8.02","785"
"Jesus Aguilar","Brewers","PIT @ MIL","1B","4.37",".97",".57",".18",".01",".21",".57",".63",".01",".00",".43","1.31","6.88","10.75","8.08","11342"
