"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ryan Yarbrough","Rays","TB @ NYY","SP","25.14","5.81","3.32","1.07",".07","1.34","3.63",".00",".00",".00","2.77",".00","-15.27","24.20","12.41","16502"
"J.D. Martinez","Red Sox","BOS @ SEA","DH","4.51","1.30",".62",".26",".01",".40",".74",".91",".02",".01",".31","1.05","9.57","14.95","11.30","6184"
"Freddie Freeman","Braves","SD @ ATL","1B","4.38","1.36",".74",".34",".02",".27",".77",".76",".04",".02",".52",".64","9.36","14.58","11.06","5361"
"Giancarlo Stanton","Yankees","TB @ NYY","DH","4.28","1.02",".44",".18",".01",".40",".75",".90",".02",".01",".61","1.24","9.41","14.71","10.85","4949"
"Aaron Judge","Yankees","TB @ NYY","RF","4.49",".97",".45",".17",".01",".34",".80",".74",".04",".03",".86","1.40","9.32","14.51","10.68","15640"
"George Springer","Astros","HOU @ KC","CF","5.02","1.36",".85",".25",".02",".23",".84",".65",".08",".05",".59",".74","9.19","14.28","10.88","12856"
"Manny Machado","Orioles","MIA @ BAL","SS","4.41","1.27",".68",".24",".01",".34",".78",".83",".04",".03",".36",".51","9.17","14.33","10.83","11493"
"Nolan Arenado","Rockies","COL @ TEX","3B","4.64","1.20",".60",".28",".03",".29",".73",".81",".03",".01",".55",".85","9.09","14.18","10.63","9777"
"Jose Altuve","Astros","HOU @ KC","2B","4.80","1.52","1.05",".31",".04",".13",".77",".71",".13",".05",".45",".50","8.94","13.92","10.75","5417"
"Alex Bregman","Astros","HOU @ KC","3B","4.91","1.28",".75",".32",".05",".16",".85",".63",".11",".06",".59",".57","8.91","13.85","10.50","17678"
"Mookie Betts","Red Sox","BOS @ SEA","RF","4.73","1.28",".69",".30",".02",".27",".72",".62",".14",".07",".40",".60","8.86","13.75","10.56","13611"
"Mike Trout","Angels","LAA @ OAK","CF","4.52","1.09",".59",".24",".04",".22",".63",".65",".10",".04",".78",".77","8.69","13.48","10.15","10155"
"Joey Votto","Reds","CIN @ PIT","1B","4.60","1.29",".84",".23",".01",".21",".74",".64",".02",".01",".66",".54","8.50","13.22","10.03","4314"
"Carlos Correa","Astros","HOU @ KC","SS","4.69","1.21",".73",".26",".02",".20",".69",".82",".03",".02",".59",".87","8.48","13.28","9.93","14162"
"Adam Jones","Orioles","MIA @ BAL","CF","4.52","1.32",".80",".22",".01",".29",".79",".73",".01",".01",".22",".57","8.37","13.07","9.99","6368"
"Bryce Harper","Nationals","WSH @ TOR","RF","4.58",".99",".48",".22",".01",".28",".70",".69",".04",".03",".70","1.06","8.47","13.19","9.78","11579"
"Eric Thames","Brewers","PHI @ MIL","1B","4.55","1.05",".50",".22",".02",".31",".73",".56",".06",".03",".54","1.16","8.38","12.99","9.82","3711"
"Ozzie Albies","Braves","SD @ ATL","2B","4.62","1.28",".74",".28",".06",".20",".70",".56",".13",".07",".29",".69","8.19","12.70","9.87","16556"
"Charlie Blackmon","Rockies","COL @ TEX","CF","4.74","1.19",".75",".20",".04",".20",".72",".63",".11",".06",".46","1.03","8.17","12.71","9.71","7859"
"Scott Schebler","Reds","CIN @ PIT","RF","4.82","1.24",".71",".25",".03",".25",".71",".61",".05",".03",".33",".78","8.09","12.57","9.65","12225"
"Trevor Story","Rockies","COL @ TEX","SS","4.54","1.03",".48",".26",".04",".25",".59",".77",".07",".03",".45","1.42","8.13","12.69","9.51","12564"
"Leonys Martin","Tigers","DET @ CWS","CF","4.80","1.10",".67",".19",".04",".20",".68",".53",".17",".09",".55",".99","8.11","12.57","9.61","11846"
"Kris Bryant","Cubs","CHC @ STL","3B","4.71","1.11",".67",".25",".02",".17",".70",".60",".04",".03",".77","1.02","8.13","12.64","9.48","15429"
"Scooter Gennett","Reds","CIN @ PIT","2B","4.51","1.36",".87",".26",".02",".21",".66",".79",".02",".02",".20",".72","7.94","12.43","9.55","10339"
"Eddie Rosario","Twins","MIN @ CLE","LF","4.57","1.27",".74",".26",".02",".25",".66",".64",".08",".06",".19",".96","7.94","12.36","9.56","12155"
"Travis Shaw","Brewers","PHI @ MIL","3B","4.25","1.04",".53",".23",".01",".27",".65",".78",".02",".01",".43",".76","8.01","12.54","9.35","11982"
"Jose Ramirez","Indians","MIN @ CLE","3B","4.41","1.13",".64",".30",".03",".16",".63",".65",".09",".06",".55",".54","7.98","12.43","9.39","13510"
