"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","BAL @ WSH",".55","7.35","28.65","5.35","3.27","1.14",".05",".89","1.59","10.27","33.51","52.64","31.41","3137"
"Luis Severino","Yankees","SEA @ NYY",".43","6.25","25.65","5.43","3.55","1.01",".07",".81","1.97","7.37","23.03","38.47","21.40","15890"
"Madison Bumgarner","Giants","SD @ SF",".45","6.75","27.11","5.87","3.77","1.23",".15",".72","1.52","6.37","22.73","37.67","20.88","5524"
"Carlos Martinez","Cardinals","STL @ MIL",".39","6.16","26.67","5.55","3.52","1.09",".10",".83","3.31","6.76","18.89","34.38","17.98","11682"
"James Paxton","Mariners","SEA @ NYY",".29","5.68","24.01","5.24","3.09","1.08",".07","1.01","2.17","7.09","19.61","33.58","18.35","11828"
"Tyler Skaggs","Angels","TOR @ LAA",".37","6.33","26.17","5.60","3.45","1.21",".06",".88","2.08","5.94","19.53","33.54","18.00","10190"
"Kyle Hendricks","Cubs","CHC @ CIN",".50","6.57","27.79","6.46","4.26","1.13",".14",".94","2.23","5.17","17.39","31.50","16.22","12049"
"Chad Kuhl","Pirates","ARI @ PIT",".33","5.99","25.83","5.63","3.72","1.13",".15",".63","2.85","5.71","16.84","30.88","15.82","14975"
"Chris Bassitt","Athletics","OAK @ CWS",".43","5.85","25.42","5.70","3.67","1.07",".24",".72","2.77","5.81","16.64","30.64","15.71","12304"
"Zack Godley","Diamondbacks","ARI @ PIT",".39","6.23","26.76","5.92","3.91","1.23",".15",".62","2.83","5.26","16.39","30.42","15.39","14862"
"Kevin Gausman","Orioles","BAL @ WSH",".24","5.99","25.92","6.41","4.22","1.33",".11",".75","2.13","5.37","15.15","28.41","14.21","14107"
"Rick Porcello","Red Sox","BOS @ MIN",".44","6.07","26.09","6.40","3.90","1.52",".14",".84","2.06","4.95","15.23","28.32","14.20","2717"
"Tyson Ross","Padres","SD @ SF",".30","6.01","26.32","5.93","3.98","1.21",".14",".59","2.98","5.14","14.80","28.44","13.99","7872"
"Aaron Sanchez","Blue Jays","TOR @ LAA",".36","6.24","26.69","5.52","3.70","1.02",".06",".74","3.12","4.37","14.77","27.86","13.74","11490"
"Brent Suter","Brewers","STL @ MIL",".29","5.54","23.45","5.99","3.86","1.05",".10",".98","1.40","4.73","14.32","25.66","13.13","13942"
"Lucas Giolito","White Sox","OAK @ CWS",".27","5.69","25.50","5.47","3.06","1.15",".13","1.12","3.55","4.84","12.15","24.76","11.57","15474"
"Steven Matz","Mets","NYM @ COL",".31","5.44","24.32","6.39","4.02","1.17",".26",".93","2.21","4.85","12.03","24.10","11.43","13361"
"Kyle Freeland","Rockies","NYM @ COL",".33","5.36","23.37","5.75","3.62","1.16",".21",".77","2.08","4.26","12.38","23.48","11.51","16256"
"Kyle Gibson","Twins","BOS @ MIN",".25","5.33","23.87","5.89","3.49","1.31",".10",".99","2.53","4.29","10.67","21.84","10.06","10123"
"Matt Harvey","Reds","CHC @ CIN",".22","5.18","22.92","5.77","3.35","1.12",".10","1.21","2.12","4.26","10.56","20.98","9.85","11713"
