,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,386.0,1425.0,1544.0,415.0,280.0,65.0,11.0,59.0,189.0,225.0,104.0,5.0,300.0,6.0,8.0,1.0,31.0,6.0,6.0,0.291,6.7,19.4,0.35,0.34,0.476,0.817,0.185,0.331,222.0,44.1,0.35,124.0
1,Total,Away,386.0,1528.0,1661.0,401.0,269.0,71.0,8.0,53.0,181.0,205.0,118.0,5.0,380.0,6.0,8.0,0.0,35.0,7.0,5.0,0.262,7.1,22.9,0.31,0.316,0.423,0.74,0.161,0.316,197.0,6.1,0.32,99.0
