,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,801.0,2664.0,3119.0,674.0,447.0,136.0,1.0,90.0,391.0,385.0,384.0,26.0,546.0,51.0,13.0,7.0,87.0,55.0,30.0,0.253,12.3,17.5,0.7,0.356,0.406,0.763,0.153,0.286,406.0,41.5,0.337,110.0
1,Total,Away,796.0,2823.0,3274.0,696.0,479.0,114.0,8.0,95.0,383.0,366.0,377.0,17.0,604.0,48.0,21.0,5.0,101.0,45.0,21.0,0.247,11.5,18.4,0.62,0.343,0.394,0.736,0.147,0.28,398.0,14.8,0.327,101.0
