,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,642.0,2270.0,2570.0,560.0,306.0,98.0,1.0,155.0,361.0,392.0,254.0,29.0,800.0,28.0,17.0,1.0,28.0,13.0,5.0,0.247,9.9,31.1,0.32,0.328,0.496,0.823,0.249,0.304,363.0,67.2,0.351,116.0
1,Total,Away,624.0,2294.0,2593.0,532.0,283.0,117.0,4.0,128.0,315.0,350.0,255.0,20.0,872.0,26.0,18.0,0.0,28.0,6.0,6.0,0.232,9.8,33.6,0.29,0.314,0.454,0.767,0.222,0.308,324.0,26.4,0.33,106.0
