,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,13.0,36.0,41.0,5.0,4.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.139,7.3,19.5,0.38,0.244,0.167,0.411,0.028,0.179,1.0,-3.8,0.202,27.0
1,Total,Away,7.0,16.0,18.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.188,11.1,16.7,0.67,0.278,0.313,0.59,0.125,0.231,1.0,-0.8,0.262,61.0
