,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,477.0,1634.0,1845.0,370.0,224.0,74.0,14.0,58.0,196.0,191.0,183.0,9.0,375.0,18.0,10.0,0.0,35.0,9.0,5.0,0.226,9.9,20.3,0.49,0.309,0.395,0.705,0.169,0.258,200.0,-11.7,0.308,95.0
1,Total,Away,470.0,1637.0,1868.0,412.0,239.0,87.0,7.0,79.0,212.0,230.0,204.0,16.0,347.0,19.0,7.0,1.0,32.0,14.0,5.0,0.252,10.9,18.6,0.59,0.34,0.458,0.798,0.206,0.273,257.0,42.9,0.344,117.0
