,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,150.0,536.0,578.0,140.0,89.0,31.0,2.0,18.0,74.0,57.0,34.0,5.0,75.0,2.0,4.0,2.0,19.0,6.0,5.0,0.261,5.9,13.0,0.45,0.306,0.427,0.733,0.166,0.273,65.0,-3.6,0.311,94.0
1,Total,Away,140.0,498.0,547.0,143.0,88.0,32.0,1.0,22.0,78.0,69.0,35.0,3.0,77.0,8.0,5.0,1.0,9.0,5.0,4.0,0.287,6.4,14.1,0.45,0.341,0.488,0.829,0.201,0.3,80.0,15.3,0.351,119.0
