,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,31.0,91.0,99.0,14.0,10.0,1.0,2.0,1.0,7.0,4.0,5.0,2.0,30.0,3.0,0.0,0.0,3.0,0.0,0.0,0.154,5.1,30.3,0.17,0.222,0.242,0.464,0.088,0.217,2.0,-10.2,0.199,23.0
1,Total,Away,22.0,63.0,69.0,13.0,7.0,4.0,0.0,2.0,6.0,2.0,5.0,1.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.206,7.2,36.2,0.2,0.275,0.365,0.64,0.159,0.306,6.0,-2.8,0.273,64.0
