,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,65.0,188.0,211.0,50.0,27.0,10.0,0.0,13.0,23.0,35.0,20.0,0.0,41.0,1.0,2.0,0.0,2.0,0.0,1.0,0.266,9.5,19.4,0.49,0.336,0.527,0.863,0.261,0.272,33.0,8.1,0.364,136.0
1,Total,Away,80.0,241.0,267.0,58.0,31.0,17.0,2.0,8.0,25.0,28.0,23.0,1.0,68.0,2.0,1.0,0.0,5.0,1.0,1.0,0.241,8.6,25.5,0.34,0.311,0.427,0.738,0.187,0.301,31.0,-0.2,0.317,98.0
