,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,184.0,363.0,416.0,93.0,70.0,19.0,1.0,3.0,38.0,39.0,43.0,3.0,55.0,3.0,1.0,2.0,11.0,1.0,2.0,0.256,10.3,13.2,0.78,0.339,0.339,0.678,0.083,0.294,44.0,-3.9,0.303,87.0
1,Total,Away,190.0,444.0,507.0,120.0,84.0,29.0,1.0,6.0,41.0,53.0,51.0,1.0,60.0,4.0,3.0,1.0,7.0,3.0,1.0,0.27,10.1,11.8,0.85,0.349,0.381,0.729,0.11,0.299,62.0,4.0,0.323,101.0
