,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,65.0,116.0,123.0,31.0,13.0,11.0,1.0,6.0,16.0,19.0,5.0,0.0,37.0,1.0,0.0,1.0,0.0,0.0,1.0,0.267,4.1,30.1,0.14,0.303,0.534,0.838,0.267,0.342,18.0,4.0,0.356,117.0
1,Total,Away,44.0,84.0,88.0,17.0,11.0,3.0,0.0,3.0,11.0,10.0,2.0,0.0,30.0,2.0,0.0,0.0,2.0,0.0,0.0,0.202,2.3,34.1,0.07,0.239,0.345,0.584,0.143,0.275,6.0,-4.3,0.255,56.0
