,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,126.0,222.0,246.0,51.0,39.0,9.0,1.0,2.0,19.0,19.0,24.0,2.0,46.0,0.0,0.0,0.0,4.0,7.0,1.0,0.23,9.8,18.7,0.52,0.305,0.306,0.611,0.077,0.282,20.0,-9.7,0.271,62.0
3,Total,vs R as R,276.0,760.0,806.0,192.0,142.0,26.0,4.0,20.0,43.0,73.0,39.0,7.0,177.0,1.0,3.0,3.0,21.0,12.0,5.0,0.253,4.8,22.0,0.22,0.289,0.376,0.665,0.124,0.304,73.0,-23.0,0.284,70.0
4,Total,vs L,127.0,222.0,246.0,51.0,39.0,9.0,1.0,2.0,22.0,19.0,24.0,2.0,46.0,0.0,0.0,0.0,4.0,8.0,2.0,0.23,9.8,18.7,0.52,0.305,0.306,0.611,0.077,0.282,20.0,-9.7,0.271,62.0
5,Total,vs R,277.0,760.0,806.0,192.0,142.0,26.0,4.0,20.0,74.0,73.0,39.0,7.0,177.0,1.0,3.0,3.0,21.0,19.0,8.0,0.253,4.8,22.0,0.22,0.289,0.376,0.665,0.124,0.304,73.0,-23.0,0.284,70.0
