,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,152.0,467.0,534.0,111.0,58.0,23.0,8.0,22.0,69.0,86.0,55.0,2.0,141.0,10.0,2.0,0.0,17.0,9.0,3.0,0.238,10.3,26.4,0.39,0.33,0.463,0.792,0.225,0.291,72.0,9.1,0.338,109.0
1,Total,Away,139.0,455.0,519.0,99.0,59.0,26.0,2.0,12.0,59.0,57.0,49.0,2.0,156.0,11.0,3.0,1.0,14.0,10.0,7.0,0.218,9.4,30.1,0.31,0.307,0.363,0.67,0.145,0.3,51.0,-10.0,0.294,80.0
