,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,825.0,3202.0,3447.0,920.0,600.0,162.0,12.0,146.0,482.0,479.0,164.0,8.0,608.0,51.0,27.0,3.0,93.0,44.0,15.0,0.287,4.8,17.6,0.27,0.33,0.482,0.812,0.195,0.313,483.0,86.1,0.349,115.0
1,Total,Away,811.0,3237.0,3450.0,871.0,591.0,145.0,16.0,119.0,411.0,391.0,143.0,10.0,673.0,42.0,23.0,5.0,79.0,49.0,18.0,0.269,4.1,19.5,0.21,0.307,0.434,0.741,0.165,0.305,403.0,5.4,0.32,99.0
