,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Away,5.0,12.0,12.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.167,0.0,33.3,0.0,0.167,0.25,0.417,0.083,0.25,0.0,-1.4,0.176,1.0
1,Total,Home vs L,5.0,9.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,18.2,45.5,0.4,0.273,0.111,0.384,0.0,0.25,0.0,-1.0,0.205,20.0
