,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs R as L,32.0,68.0,73.0,15.0,13.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.221,5.5,12.3,0.44,0.274,0.25,0.524,0.029,0.254,4.0,-5.0,0.238,41.0
1,Total,vs L as R,17.0,34.0,35.0,8.0,6.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.235,2.9,17.1,0.17,0.257,0.294,0.551,0.059,0.286,2.0,-2.3,0.241,44.0
2,Total,vs R as R,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
3,Total,vs L,17.0,34.0,35.0,8.0,6.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.235,2.9,17.1,0.17,0.257,0.294,0.551,0.059,0.286,2.0,-2.3,0.241,44.0
4,Total,vs R,33.0,68.0,73.0,15.0,13.0,2.0,0.0,0.0,13.0,2.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.221,5.5,12.3,0.44,0.274,0.25,0.524,0.029,0.254,4.0,-5.0,0.238,41.0
5,Total,Home,18.0,44.0,47.0,11.0,9.0,2.0,0.0,0.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,6.4,6.4,1.0,0.298,0.295,0.593,0.045,0.268,4.0,-2.2,0.265,58.0
