,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,130.0,450.0,473.0,135.0,87.0,32.0,7.0,9.0,60.0,47.0,12.0,1.0,91.0,6.0,1.0,4.0,10.0,8.0,3.0,0.3,2.5,19.2,0.13,0.326,0.462,0.788,0.162,0.359,63.0,7.8,0.337,109.0
1,Total,Away,122.0,424.0,445.0,95.0,75.0,12.0,3.0,5.0,38.0,34.0,10.0,0.0,112.0,5.0,3.0,1.0,8.0,10.0,4.0,0.224,2.2,25.2,0.09,0.249,0.302,0.551,0.078,0.29,24.0,-27.9,0.241,46.0
