,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,455.0,1609.0,1916.0,459.0,271.0,89.0,9.0,90.0,311.0,265.0,280.0,44.0,384.0,11.0,12.0,4.0,31.0,45.0,12.0,0.285,14.6,20.0,0.73,0.392,0.52,0.912,0.234,0.322,328.0,109.1,0.386,143.0
1,Total,Away,444.0,1604.0,1911.0,439.0,254.0,86.0,9.0,90.0,280.0,240.0,270.0,23.0,422.0,12.0,20.0,5.0,33.0,28.0,18.0,0.274,14.1,22.1,0.64,0.378,0.507,0.885,0.233,0.314,314.0,94.7,0.377,137.0
