,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,300.0,1107.0,1252.0,289.0,182.0,63.0,4.0,40.0,164.0,153.0,135.0,7.0,307.0,3.0,7.0,0.0,26.0,39.0,9.0,0.261,10.8,24.5,0.44,0.341,0.434,0.775,0.173,0.325,164.0,19.6,0.335,117.0
1,Total,Away,303.0,1163.0,1298.0,289.0,169.0,61.0,5.0,54.0,169.0,162.0,116.0,7.0,336.0,8.0,11.0,0.0,28.0,33.0,8.0,0.248,8.9,25.9,0.35,0.318,0.449,0.767,0.2,0.3,163.0,12.9,0.328,104.0
