,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,228.0,815.0,901.0,220.0,136.0,60.0,3.0,21.0,97.0,114.0,69.0,1.0,184.0,9.0,7.0,1.0,26.0,6.0,7.0,0.27,7.7,20.4,0.38,0.331,0.428,0.759,0.158,0.323,114.0,7.7,0.328,108.0
1,Total,Away,216.0,796.0,903.0,207.0,125.0,42.0,5.0,35.0,114.0,110.0,86.0,3.0,184.0,17.0,3.0,0.0,24.0,8.0,5.0,0.26,9.5,20.4,0.47,0.344,0.457,0.801,0.197,0.297,127.0,20.5,0.345,115.0
