,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,313.0,976.0,1096.0,255.0,169.0,51.0,8.0,27.0,135.0,108.0,80.0,10.0,169.0,29.0,5.0,6.0,20.0,28.0,12.0,0.261,7.3,15.4,0.47,0.334,0.413,0.747,0.152,0.29,135.0,9.3,0.325,107.0
1,Total,Away,302.0,1012.0,1133.0,250.0,185.0,41.0,11.0,13.0,125.0,92.0,80.0,11.0,172.0,24.0,12.0,5.0,15.0,31.0,6.0,0.247,7.1,15.2,0.47,0.314,0.348,0.662,0.101,0.282,107.0,-23.5,0.29,78.0
