,Season,Handedness,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,vs L as L,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
1,Total,vs R as L,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
2,Total,vs L as R,85.0,145.0,158.0,36.0,23.0,10.0,0.0,3.0,9.0,17.0,12.0,2.0,48.0,0.0,1.0,0.0,2.0,1.0,1.0,0.248,7.6,30.4,0.25,0.304,0.379,0.683,0.131,0.347,15.0,-3.0,0.296,85.0
3,Total,vs R as R,118.0,278.0,298.0,71.0,52.0,17.0,1.0,1.0,25.0,17.0,13.0,0.0,65.0,3.0,1.0,3.0,8.0,0.0,1.0,0.255,4.4,21.8,0.2,0.295,0.335,0.629,0.079,0.329,25.0,-9.3,0.278,73.0
4,Total,vs L,86.0,145.0,158.0,36.0,23.0,10.0,0.0,3.0,15.0,17.0,12.0,2.0,48.0,0.0,1.0,0.0,2.0,1.0,1.0,0.248,7.6,30.4,0.25,0.304,0.379,0.683,0.131,0.347,15.0,-3.0,0.296,85.0
5,Total,vs R,121.0,278.0,298.0,71.0,52.0,17.0,1.0,1.0,37.0,17.0,13.0,0.0,65.0,3.0,1.0,3.0,8.0,1.0,2.0,0.255,4.4,21.8,0.2,0.295,0.335,0.629,0.079,0.329,25.0,-9.3,0.278,73.0
