,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Away,27.0,65.0,69.0,13.0,10.0,0.0,0.0,3.0,7.0,5.0,3.0,1.0,19.0,0.0,1.0,0.0,3.0,1.0,0.0,0.2,4.3,27.5,0.16,0.232,0.338,0.57,0.138,0.227,4.0,-4.4,0.238,43.0
1,Total,Home vs L,15.0,23.0,26.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.261,7.7,34.6,0.22,0.32,0.261,0.581,0.0,0.429,2.0,-1.5,0.248,56.0
