,Season,Home/Away,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
0,Total,Home,252.0,901.0,973.0,217.0,139.0,55.0,4.0,19.0,98.0,100.0,53.0,4.0,177.0,8.0,11.0,0.0,20.0,16.0,8.0,0.241,5.4,18.2,0.3,0.286,0.374,0.66,0.133,0.277,87.0,-26.7,0.284,79.0
1,Total,Away,264.0,1012.0,1095.0,321.0,217.0,56.0,12.0,36.0,144.0,135.0,60.0,3.0,191.0,17.0,3.0,1.0,25.0,15.0,4.0,0.317,5.5,17.4,0.31,0.364,0.503,0.867,0.186,0.362,177.0,48.4,0.37,131.0
