,Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
19,1990,Tigers,1816.0,5479.0,6224.0,1418.0,973.0,241.0,32.0,172.0,750.0,714.0,634.0,44.0,952.0,34.0,41.0,36.0,139.0,82.0,57.0,0.259,10.2,15.3,0.67,0.337,0.409,0.746,0.15,4.0,0.283, , ,-8.6,775.0,78.7,0.335,109.0
20,1990,Padres,2126.0,5554.0,6218.0,1429.0,1028.0,243.0,35.0,123.0,673.0,628.0,509.0,75.0,902.0,28.0,48.0,79.0,117.0,138.0,59.0,0.257,8.2,14.5,0.56,0.32,0.38,0.7,0.123,4.7,0.285, , ,2.0,664.0,-31.1,0.313,91.0
21,1990,Cardinals,2201.0,5462.0,6127.0,1398.0,1029.0,255.0,41.0,73.0,599.0,554.0,517.0,54.0,844.0,21.0,50.0,77.0,101.0,221.0,74.0,0.256,8.4,13.8,0.61,0.32,0.358,0.678,0.102,5.4,0.288, , ,12.6,619.0,-65.7,0.306,86.0
22,1990,Phillies,2211.0,5535.0,6245.0,1410.0,1043.0,237.0,27.0,103.0,646.0,619.0,582.0,92.0,915.0,30.0,39.0,59.0,115.0,108.0,35.0,0.255,9.3,14.7,0.64,0.327,0.363,0.69,0.108,4.5,0.287, , ,5.3,652.0,-46.2,0.31,89.0
23,1990,Braves,2130.0,5504.0,6084.0,1376.0,925.0,263.0,26.0,162.0,682.0,636.0,473.0,36.0,1010.0,27.0,31.0,49.0,101.0,92.0,55.0,0.25,7.8,16.6,0.47,0.311,0.396,0.706,0.146,4.3,0.278, , ,-5.5,666.0,-14.4,0.317,89.0
24,1990,Orioles,1735.0,5410.0,6223.0,1328.0,940.0,234.0,22.0,132.0,669.0,623.0,660.0,50.0,962.0,40.0,41.0,72.0,131.0,94.0,51.0,0.245,10.6,15.5,0.69,0.33,0.37,0.7,0.125,3.9,0.275, , ,-3.8,689.0,-6.6,0.317,99.0
25,1990,Yankees,1821.0,5483.0,6037.0,1322.0,948.0,208.0,19.0,147.0,603.0,561.0,427.0,41.0,1027.0,53.0,36.0,37.0,114.0,119.0,45.0,0.241,7.1,17.0,0.42,0.3,0.366,0.667,0.125,4.3,0.27, , ,3.8,589.0,-86.3,0.3,85.0
26,1991,Twins,1903.0,5556.0,6218.0,1557.0,1105.0,270.0,42.0,140.0,776.0,733.0,526.0,38.0,747.0,40.0,49.0,44.0,157.0,107.0,68.0,0.28,8.5,12.0,0.7,0.344,0.42,0.764,0.139,4.6,0.3, , ,-5.7,815.0,113.7,0.342,107.0
27,1991,Rangers,1981.0,5703.0,6441.0,1539.0,1043.0,288.0,31.0,177.0,829.0,774.0,596.0,51.0,1039.0,42.0,41.0,59.0,128.0,102.0,50.0,0.27,9.3,16.1,0.57,0.341,0.424,0.765,0.154,4.5,0.301, , ,0.4,845.0,118.2,0.342,112.0
28,1991,Royals,1863.0,5584.0,6244.0,1475.0,1027.0,290.0,41.0,117.0,727.0,689.0,523.0,47.0,969.0,35.0,47.0,53.0,127.0,119.0,68.0,0.264,8.4,15.5,0.54,0.328,0.394,0.722,0.129,4.8,0.299, , ,-3.3,731.0,26.4,0.324,99.0
29,1991,White Sox,1874.0,5594.0,6360.0,1464.0,1060.0,226.0,39.0,139.0,758.0,722.0,610.0,45.0,896.0,37.0,41.0,76.0,132.0,134.0,74.0,0.262,9.6,14.1,0.68,0.336,0.391,0.727,0.129,4.8,0.288, , ,-2.6,764.0,46.1,0.328,104.0
30,1991,Braves,2326.0,5456.0,6182.0,1407.0,981.0,255.0,30.0,141.0,749.0,704.0,563.0,55.0,906.0,32.0,45.0,86.0,104.0,165.0,76.0,0.258,9.1,14.7,0.62,0.328,0.393,0.722,0.135,5.0,0.284, , ,2.8,719.0,21.6,0.324,99.0
31,1991,Yankees,1705.0,5541.0,6140.0,1418.0,1003.0,249.0,19.0,147.0,674.0,630.0,473.0,38.0,861.0,39.0,50.0,37.0,125.0,109.0,36.0,0.256,7.7,14.0,0.55,0.316,0.387,0.704,0.131,4.4,0.277, , ,7.4,681.0,-11.6,0.316,94.0
32,1991,Mariners,1849.0,5494.0,6237.0,1400.0,977.0,268.0,29.0,126.0,702.0,665.0,588.0,57.0,811.0,37.0,62.0,55.0,139.0,97.0,44.0,0.255,9.4,13.0,0.73,0.328,0.383,0.711,0.128,4.4,0.276, , ,1.8,709.0,5.5,0.319,95.0
33,1991,Indians,1720.0,5470.0,6070.0,1390.0,1049.0,236.0,26.0,79.0,576.0,546.0,449.0,24.0,888.0,43.0,46.0,62.0,146.0,84.0,58.0,0.254,7.4,14.6,0.51,0.313,0.35,0.663,0.096,3.7,0.288, , ,-6.3,605.0,-80.0,0.301,85.0
34,1991,Cubs,2291.0,5522.0,6130.0,1395.0,978.0,232.0,26.0,159.0,695.0,654.0,442.0,41.0,879.0,36.0,55.0,75.0,87.0,123.0,64.0,0.253,7.2,14.3,0.5,0.309,0.39,0.7,0.138,4.4,0.272, , ,-0.9,662.0,-29.8,0.313,90.0
