,Year,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,FIP,E-F,xFIP,SIERA
86,1993,Rangers,86.0,76.0,4.28,521.0,162.0,20.0,3.0,45.0, , ,1438.1,6232.0,1476.0,751.0,684.0,144.0,562.0,42.0,44.0,52.0,14.0,957.0,5.99,3.52,1.7,0.9,15.4,9.0,6.3,0.262,1.42,0.294,70.8,100.0,99.0, ,4.22,0.06, , 
87,1993,Angels,71.0,91.0,4.36,482.0,162.0,26.0,3.0,41.0, , ,1430.1,6203.0,1482.0,770.0,693.0,153.0,550.0,35.0,51.0,55.0,7.0,843.0,5.3,3.46,1.53,0.96,13.6,8.9,4.7,0.265,1.42,0.289,70.3,100.0,101.0, ,4.46,-0.1, , 
88,1993,Brewers,69.0,93.0,4.47,515.0,162.0,26.0,2.0,29.0, , ,1447.0,6285.0,1511.0,792.0,718.0,153.0,522.0,58.0,60.0,45.0,7.0,810.0,5.04,3.25,1.55,0.95,12.9,8.3,4.6,0.265,1.4,0.286,69.3,102.0,104.0, ,4.45,0.02, , 
89,1993,Indians,76.0,86.0,4.58,572.0,162.0,7.0,1.0,45.0, , ,1445.2,6384.0,1591.0,813.0,735.0,182.0,591.0,53.0,39.0,41.0,5.0,888.0,5.53,3.68,1.5,1.13,13.9,9.3,4.7,0.277,1.51,0.301,71.6,106.0,110.0, ,4.7,-0.13, , 
90,1993,Twins,71.0,91.0,4.73,518.0,162.0,5.0,1.0,44.0, , ,1444.1,6286.0,1591.0,830.0,759.0,148.0,514.0,34.0,45.0,42.0,13.0,901.0,5.61,3.2,1.75,0.92,14.3,8.2,6.2,0.278,1.46,0.308,67.9,107.0,98.0, ,4.23,0.5, , 
91,1993,Athletics,68.0,94.0,4.9,586.0,162.0,8.0,1.0,42.0, , ,1452.1,6456.0,1551.0,846.0,791.0,157.0,680.0,59.0,49.0,39.0,6.0,864.0,5.35,4.21,1.27,0.97,13.4,10.5,2.9,0.271,1.54,0.296,69.6,120.0,111.0, ,4.71,0.19, , 
92,1993,Astros,85.0,77.0,3.49,486.0,162.0,18.0,10.0,42.0, , ,1441.1,6079.0,1363.0,630.0,559.0,117.0,476.0,52.0,41.0,60.0,12.0,1056.0,6.59,2.97,2.22,0.73,17.4,7.8,9.5,0.245,1.28,0.284,72.8,91.0,95.0, ,3.65,-0.16, , 
93,1993,Expos,94.0,68.0,3.55,548.0,163.0,8.0,0.0,61.0, , ,1456.2,6191.0,1369.0,682.0,574.0,119.0,521.0,38.0,47.0,46.0,12.0,934.0,5.77,3.22,1.79,0.74,15.1,8.4,6.7,0.243,1.3,0.274,70.9,88.0,99.0, ,3.94,-0.39, , 
94,1993,White Sox,94.0,68.0,3.72,484.0,162.0,16.0,7.0,48.0, , ,1454.0,6173.0,1398.0,664.0,601.0,125.0,566.0,36.0,40.0,51.0,7.0,974.0,6.03,3.5,1.72,0.77,15.8,9.2,6.6,0.251,1.35,0.285,73.3,88.0,94.0, ,4.02,-0.3, , 
95,1993,Phillies,97.0,65.0,3.97,512.0,162.0,24.0,8.0,46.0, , ,1473.0,6360.0,1419.0,740.0,649.0,129.0,573.0,33.0,37.0,74.0,7.0,1117.0,6.82,3.5,1.95,0.79,17.6,9.0,8.6,0.247,1.35,0.286,69.7,97.0,95.0, ,3.85,0.11, , 
96,1993,Mets,59.0,103.0,4.05,459.0,162.0,16.0,5.0,22.0, , ,1438.0,6151.0,1483.0,744.0,647.0,139.0,434.0,61.0,50.0,32.0,14.0,867.0,5.43,2.72,2.0,0.87,14.1,7.1,7.0,0.262,1.33,0.288,69.0,101.0,100.0, ,4.05,0.0, , 
97,1993,Marlins,64.0,98.0,4.15,571.0,162.0,4.0,1.0,48.0, , ,1440.1,6261.0,1437.0,724.0,664.0,135.0,598.0,58.0,32.0,85.0,20.0,945.0,5.9,3.74,1.58,0.84,15.1,9.6,5.5,0.255,1.41,0.286,71.5,103.0,104.0, ,4.21,-0.06, , 
98,1993,Mariners,82.0,80.0,4.2,515.0,162.0,22.0,5.0,41.0, , ,1453.2,6254.0,1421.0,731.0,679.0,135.0,605.0,56.0,66.0,57.0,6.0,1083.0,6.71,3.75,1.79,0.84,17.3,9.7,7.6,0.255,1.39,0.295,71.5,96.0,95.0, ,4.09,0.11, , 
99,1993,Padres,61.0,101.0,4.23,559.0,162.0,8.0,2.0,32.0, , ,1437.2,6267.0,1470.0,772.0,675.0,148.0,558.0,72.0,34.0,57.0,14.0,957.0,5.99,3.49,1.72,0.93,15.3,8.9,6.4,0.259,1.41,0.289,69.6,105.0,102.0, ,4.23,-0.01, , 
100,1993,Orioles,85.0,77.0,4.32,491.0,162.0,21.0,6.0,42.0, , ,1442.2,6183.0,1427.0,745.0,693.0,153.0,579.0,50.0,38.0,41.0,2.0,900.0,5.61,3.61,1.55,0.95,14.6,9.4,5.2,0.256,1.39,0.282,71.0,99.0,101.0, ,4.4,-0.08, , 
101,1993,Yankees,88.0,74.0,4.37,494.0,162.0,11.0,4.0,38.0, , ,1438.1,6200.0,1467.0,761.0,698.0,170.0,552.0,58.0,29.0,33.0,5.0,899.0,5.63,3.45,1.63,1.06,14.5,8.9,5.6,0.261,1.4,0.285,71.1,102.0,103.0, ,4.49,-0.12, , 
102,1993,Reds,73.0,89.0,4.51,537.0,162.0,11.0,4.0,37.0, , ,1434.0,6218.0,1510.0,785.0,719.0,158.0,508.0,36.0,44.0,47.0,8.0,996.0,6.25,3.19,1.96,0.99,16.0,8.2,7.9,0.267,1.41,0.3,69.4,110.0,100.0, ,4.19,0.33, , 
103,1993,Tigers,85.0,77.0,4.7,537.0,162.0,11.0,5.0,36.0, , ,1436.2,6308.0,1547.0,837.0,751.0,188.0,542.0,92.0,48.0,68.0,5.0,828.0,5.19,3.4,1.53,1.18,13.1,8.6,4.5,0.271,1.45,0.289,69.4,107.0,107.0, ,4.77,-0.06, , 
104,1993,Pirates,75.0,87.0,4.77,546.0,162.0,12.0,4.0,34.0, , ,1445.2,6247.0,1557.0,806.0,766.0,153.0,485.0,43.0,46.0,55.0,11.0,832.0,5.18,3.02,1.72,0.95,13.3,7.8,5.6,0.272,1.41,0.297,68.4,117.0,107.0, ,4.32,0.45, , 
105,1993,Rockies,67.0,95.0,5.44,615.0,162.0,9.0,0.0,35.0, , ,1431.1,6471.0,1664.0,967.0,865.0,181.0,609.0,66.0,41.0,82.0,22.0,913.0,5.74,3.83,1.5,1.14,14.1,9.4,4.7,0.286,1.59,0.314,65.4,118.0,112.0, ,4.72,0.72, , 
106,1994,Expos,74.0,40.0,3.57,373.0,114.0,4.0,2.0,46.0, , ,1036.2,4329.0,970.0,454.0,411.0,100.0,288.0,28.0,38.0,32.0,2.0,805.0,6.99,2.5,2.8,0.87,18.6,6.7,11.9,0.242,1.21,0.281,72.8,83.0,88.0, ,3.78,-0.21, , 
107,1994,Reds,66.0,48.0,3.78,376.0,115.0,6.0,2.0,27.0, , ,1038.1,4411.0,1037.0,490.0,436.0,117.0,339.0,23.0,27.0,41.0,10.0,799.0,6.93,2.94,2.36,1.01,18.1,7.7,10.4,0.256,1.33,0.294,73.7,90.0,95.0, ,4.11,-0.34, , 
108,1994,White Sox,67.0,46.0,3.96,352.0,113.0,13.0,6.0,20.0, , ,1011.1,4310.0,964.0,498.0,445.0,115.0,377.0,24.0,17.0,19.0,3.0,754.0,6.71,3.35,2.0,1.02,17.5,8.8,8.8,0.246,1.33,0.279,71.9,86.0,92.0, ,4.29,-0.33, , 
109,1994,Giants,55.0,60.0,3.99,402.0,115.0,2.0,0.0,33.0, , ,1025.1,4369.0,1014.0,500.0,455.0,122.0,372.0,40.0,37.0,31.0,8.0,655.0,5.75,3.27,1.76,1.07,15.0,8.5,6.5,0.256,1.35,0.28,73.7,98.0,108.0, ,4.6,-0.6, , 
110,1994,Mets,55.0,58.0,4.15,351.0,113.0,7.0,2.0,35.0, , ,1023.0,4383.0,1069.0,526.0,472.0,117.0,332.0,48.0,21.0,26.0,6.0,640.0,5.63,2.92,1.93,1.03,14.6,7.6,7.0,0.265,1.37,0.291,71.2,102.0,104.0, ,4.4,-0.25, , 
111,1994,Royals,64.0,51.0,4.24,362.0,115.0,5.0,3.0,38.0, , ,1031.2,4428.0,1018.0,532.0,486.0,95.0,392.0,31.0,33.0,60.0,5.0,717.0,6.25,3.42,1.83,0.83,16.2,8.9,7.3,0.254,1.37,0.289,69.5,87.0,89.0, ,4.17,0.07, , 
112,1994,Yankees,70.0,43.0,4.34,354.0,113.0,8.0,0.0,31.0, , ,1019.2,4406.0,1045.0,534.0,492.0,120.0,398.0,24.0,21.0,46.0,4.0,656.0,5.79,3.51,1.65,1.06,14.9,9.0,5.9,0.262,1.42,0.288,71.8,92.0,97.0, ,4.61,-0.26, , 
113,1994,Cubs,49.0,64.0,4.47,399.0,113.0,5.0,1.0,27.0, , ,1023.2,4413.0,1054.0,549.0,508.0,120.0,392.0,35.0,19.0,41.0,6.0,717.0,6.3,3.45,1.83,1.06,16.3,8.9,7.4,0.263,1.41,0.295,70.6,106.0,103.0, ,4.46,0.01, , 
114,1994,Brewers,53.0,62.0,4.62,367.0,115.0,11.0,1.0,23.0, , ,1036.0,4493.0,1071.0,586.0,532.0,127.0,421.0,28.0,29.0,30.0,6.0,577.0,5.01,3.66,1.37,1.1,12.8,9.4,3.5,0.265,1.44,0.283,69.6,95.0,105.0, ,4.91,-0.29, , 
115,1994,Blue Jays,55.0,60.0,4.7,336.0,115.0,13.0,4.0,26.0, , ,1025.0,4536.0,1053.0,579.0,535.0,127.0,482.0,23.0,32.0,54.0,7.0,832.0,7.31,4.23,1.73,1.12,18.3,10.6,7.7,0.262,1.5,0.302,71.1,97.0,96.0, ,4.62,0.07, , 
116,1994,Red Sox,54.0,61.0,4.95,423.0,115.0,6.0,1.0,30.0, , ,1029.1,4553.0,1104.0,621.0,566.0,120.0,450.0,46.0,31.0,46.0,4.0,729.0,6.37,3.93,1.62,1.05,16.0,9.9,6.1,0.271,1.51,0.305,68.0,99.0,98.0, ,4.63,0.32, , 
117,1994,Rockies,53.0,64.0,5.17,446.0,117.0,4.0,1.0,28.0, , ,1031.0,4644.0,1185.0,638.0,592.0,120.0,448.0,43.0,49.0,50.0,11.0,703.0,6.14,3.91,1.57,1.05,15.1,9.7,5.5,0.286,1.58,0.32,69.0,108.0,106.0, ,4.73,0.44, , 
118,1994,Tigers,53.0,62.0,5.39,361.0,115.0,15.0,1.0,20.0, , ,1017.2,4572.0,1139.0,671.0,609.0,148.0,449.0,74.0,25.0,59.0,2.0,560.0,4.95,3.97,1.25,1.31,12.3,9.8,2.4,0.278,1.56,0.292,67.0,111.0,109.0, ,5.32,0.07, , 
119,1994,Rangers,52.0,62.0,5.45,415.0,114.0,10.0,3.0,26.0, , ,1023.0,4595.0,1176.0,697.0,620.0,157.0,394.0,29.0,32.0,50.0,5.0,683.0,6.01,3.47,1.73,1.38,14.9,8.6,6.3,0.282,1.53,0.306,65.5,110.0,106.0, ,5.04,0.41, , 
120,1994,Braves,68.0,46.0,3.57,358.0,114.0,16.0,4.0,26.0, , ,1026.1,4322.0,929.0,448.0,407.0,76.0,378.0,52.0,22.0,35.0,10.0,865.0,7.59,3.31,2.29,0.67,20.0,8.8,11.3,0.237,1.27,0.286,72.1,84.0,82.0, ,3.58,-0.01, , 
121,1994,Phillies,54.0,61.0,3.86,358.0,115.0,7.0,1.0,30.0, , ,1024.1,4438.0,1028.0,497.0,439.0,98.0,377.0,28.0,28.0,45.0,6.0,699.0,6.14,3.31,1.85,0.86,15.8,8.5,7.3,0.255,1.37,0.287,72.2,91.0,99.0, ,4.2,-0.34, , 
122,1994,Astros,66.0,49.0,3.97,383.0,115.0,9.0,3.0,29.0, , ,1029.2,4412.0,1043.0,503.0,454.0,102.0,367.0,34.0,34.0,35.0,6.0,739.0,6.46,3.21,2.01,0.89,16.8,8.3,8.4,0.26,1.37,0.297,72.3,100.0,101.0, ,4.15,-0.18, , 
