"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Yankees","CWS @ NYY","DH","4.64","1.18",".53",".20",".00",".44",".95",".97",".02",".01",".65","1.25","10.61","16.59","12.25","4949"
"J.D. Martinez","Red Sox","MIA @ BOS","DH","4.42","1.31",".69",".27",".02",".33",".79","1.00",".01",".01",".48","1.03","9.79","15.35","11.46","6184"
"Mookie Betts","Red Sox","MIA @ BOS","RF","4.75","1.31",".74",".33",".04",".20",".83",".66",".15",".07",".59",".63","9.43","14.65","11.14","13611"
"Christian Yelich","Brewers","MIL @ CIN","LF","4.77","1.34",".79",".28",".02",".25",".82",".67",".09",".04",".45",".97","9.01","14.01","10.70","11477"
"Rhys Hoskins","Phillies","WSH @ PHI","LF","4.59","1.09",".57",".23",".02",".28",".82",".68",".05",".03",".74",".93","9.02","14.03","10.45","16472"
"Mike Moustakas","Brewers","MIL @ CIN","3B","4.44","1.17",".58",".22",".01",".36",".72",".88",".01",".01",".34",".63","8.92","13.97","10.48","4892"
"Nelson Cruz","Mariners","SEA @ SD","DH","4.55","1.14",".63",".20",".01",".31",".70",".86",".01",".01",".60",".98","8.88","13.88","10.34","2434"
"Aaron Hicks","Yankees","CWS @ NYY","CF","4.52","1.01",".58",".17",".02",".24",".75",".71",".10",".05",".85",".77","8.91","13.87","10.28","5297"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.66","1.15",".59",".24",".01",".31",".74",".82",".02",".01",".45",".84","8.79","13.75","10.29","11982"
"Jose Ramirez","Indians","MIN @ CLE","3B","4.50","1.20",".66",".31",".02",".20",".71",".73",".10",".06",".59",".44","8.77","13.67","10.29","13510"
"Andrew Benintendi","Red Sox","MIA @ BOS","LF","4.63","1.24",".76",".29",".04",".15",".81",".65",".10",".06",".58",".73","8.63","13.43","10.16","17901"
"Justin Turner","Dodgers","LAD @ TEX","3B","4.80","1.32",".79",".32",".02",".19",".77",".66",".03",".02",".54",".61","8.54","13.30","10.10","5235"
"Miguel Andujar","Yankees","CWS @ NYY","3B","4.42","1.27",".74",".28",".02",".24",".67",".88",".03",".02",".27",".71","8.38","13.13","9.94","15878"
"Ryan Braun","Brewers","MIL @ CIN","1B","4.56","1.20",".68",".26",".01",".25",".67",".78",".08",".05",".32",".78","8.32","13.01","9.86","3410"
"Manny Machado","Dodgers","LAD @ TEX","SS","4.69","1.27",".75",".27",".02",".22",".67",".74",".04",".03",".41",".68","8.29","12.94","9.83","11493"
"Francisco Lindor","Indians","MIN @ CLE","SS","4.73","1.25",".74",".29",".02",".19",".72",".62",".08",".05",".45",".58","8.22","12.79","9.77","12916"
"Mitch Haniger","Mariners","SEA @ SD","RF","4.87","1.19",".68",".29",".03",".20",".72",".53",".06",".04",".60","1.12","8.23","12.76","9.72","14274"
"Roman Quinn","Phillies","WSH @ PHI","RF","4.70","1.32",".91",".24",".06",".11",".69",".43",".27",".15",".41",".84","8.09","12.49","9.84","13546"
"Steve Pearce","Red Sox","MIA @ BOS","LF","4.52","1.12",".67",".26",".01",".19",".75",".75",".01",".01",".56",".77","8.12","12.70","9.46","9957"
"Freddie Freeman","Braves","TB @ ATL","1B","4.39","1.22",".72",".28",".03",".18",".68",".61",".04",".03",".57",".73","8.08","12.56","9.55","5361"
"Brian Dozier","Dodgers","LAD @ TEX","2B","4.90","1.09",".60",".26",".03",".20",".72",".60",".07",".04",".55",".93","8.05","12.52","9.45","9810"
"Lorenzo Cain","Brewers","MIL @ CIN","CF","4.87","1.37",".98",".23",".03",".13",".72",".44",".15",".07",".46",".75","7.96","12.31","9.65","9077"
"Brett Gardner","Yankees","CWS @ NYY","LF","4.75","1.12",".75",".18",".03",".15",".79",".50",".11",".04",".66",".69","7.98","12.37","9.39","9927"
"Gleyber Torres","Yankees","CWS @ NYY","2B","4.21","1.05",".62",".17",".02",".24",".64",".70",".09",".05",".47",".99","7.93","12.37","9.33","16997"
"Ronald Acuna","Braves","TB @ ATL","LF","4.60","1.21",".76",".24",".02",".19",".64",".50",".16",".10",".38","1.11","7.81","12.09","9.39","18401"
"Billy McKinney","Blue Jays","TOR @ BAL","LF","4.79","1.15",".64",".21",".03",".27",".65",".61",".03",".03",".36","1.09","7.83","12.17","9.31","15654"
