"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Yulieski Gurriel","Astros","BOS @ HOU","1B","4.07","1.01",".63",".27",".01",".11",".41",".50",".02",".02",".18",".75","5.51","8.60","6.67","19198"
"Maikel Franco","Phillies","PHI @ SF","3B","4.21",".97",".65",".19",".01",".13",".41",".52",".01",".01",".24",".57","5.51","8.60","6.63","12179"
"Xander Bogaerts","Red Sox","BOS @ HOU","SS","4.26",".95",".62",".19",".02",".12",".42",".42",".05",".03",".28","1.20","5.52","8.57","6.65","12161"
"Denard Span","Mariners","TB @ SEA","LF","3.79",".83",".54",".16",".02",".10",".45",".41",".09",".04",".42",".65","5.55","8.62","6.59","8347"
"Hunter Dozier","Royals","OAK @ KC","1B","4.13",".88",".56",".22",".01",".09",".48",".39",".03",".02",".44","1.33","5.55","8.61","6.57","15117"
"Devon Travis","Blue Jays","TOR @ DET","2B","3.94","1.00",".65",".22",".03",".09",".46",".45",".05",".03",".17",".67","5.47","8.53","6.64","13862"
"Mitch Garver","Twins","CLE @ MIN","C","3.97",".82",".45",".21",".02",".14",".44",".47",".01",".01",".33","1.26","5.50","8.58","6.49","15161"
"Yairo Munoz","Cardinals","PIT @ STL","3B","3.95","1.01",".74",".17",".02",".10",".37",".49",".07",".05",".21",".90","5.41","8.44","6.61","16313"
"Matt Duffy","Rays","TB @ SEA","3B","4.27","1.15",".87",".21",".01",".06",".41",".40",".07",".04",".19",".75","5.38","8.35","6.66","13836"
"Evan Gattis","Astros","BOS @ HOU","DH","3.83",".78",".42",".16",".01",".19",".40",".48",".01",".01",".30","1.26","5.48","8.54","6.47","11003"
"J.D. Davis","Astros","BOS @ HOU","DH","3.95",".84",".48",".19",".01",".17",".40",".48",".02",".01",".26","1.55","5.46","8.51","6.49","16219"
"Robbie Grossman","Twins","CLE @ MIN","DH","3.84",".85",".53",".22",".01",".09",".46",".40",".03",".02",".46",".85","5.47","8.49","6.45","5254"
"Jurickson Profar","Rangers","TEX @ LAA","SS","4.26",".86",".56",".20",".02",".08",".43",".41",".04",".03",".38",".67","5.31","8.25","6.31","10815"
"Robinson Chirinos","Rangers","TEX @ LAA","C","3.92",".70",".39",".14",".00",".17",".41",".41",".02",".01",".43","1.35","5.31","8.25","6.20","3142"
"Kole Calhoun","Angels","TEX @ LAA","RF","3.68",".84",".54",".16",".02",".12",".46",".42",".02",".02",".28",".64","5.21","8.11","6.21","11200"
"Daniel Robertson","Rays","TB @ SEA","2B","4.05",".87",".60",".17",".01",".09",".40",".39",".02",".01",".42",".96","5.15","8.00","6.14","14145"
"Amed Rosario","Mets","CHC @ NYM","SS","3.85",".87",".63",".13",".04",".07",".40",".39",".10",".06",".25",".92","5.05","7.85","6.13","15518"
"Ramon Torres","Royals","OAK @ KC","2B","3.79",".92",".68",".17",".03",".05",".42",".41",".08",".06",".24",".55","5.04","7.85","6.12","14113"
"Gorkys Hernandez","Giants","PHI @ SF","LF","3.83",".91",".65",".18",".02",".05",".32",".39",".10",".05",".30",".99","5.03","7.80","6.12","4146"
"Francisco Pena","Cardinals","PIT @ STL","C","3.84",".92",".62",".19",".01",".11",".37",".48",".01",".01",".17",".77","5.01","7.83","6.07","8298"
"Manuel Margot","Padres","CIN @ SD","CF","3.74",".85",".59",".15",".04",".07",".32",".35",".13",".07",".27",".71","4.95","7.67","6.04","14712"
"Chance Sisco","Orioles","NYY @ BAL","C","3.73",".75",".47",".17",".01",".11",".39",".36",".04",".02",".42","1.31","4.99","7.74","5.89","15694"
"Isiah Kiner-Falefa","Rangers","TEX @ LAA","3B","4.46",".93",".69",".18",".02",".04",".37",".36",".07",".04",".32",".75","4.92","7.63","5.98","16512"
"Martin Maldonado","Angels","TEX @ LAA","C","3.80",".83",".55",".16",".01",".12",".40",".44",".02",".01",".23",".77","4.93","7.70","5.91","6887"
"Billy Hamilton","Reds","CIN @ SD","CF","3.85",".80",".61",".10",".06",".03",".33",".25",".24",".09",".30",".91","4.91","7.56","6.04","10199"
"Alcides Escobar","Royals","OAK @ KC","SS","3.91",".96",".70",".19",".03",".04",".39",".43",".05",".03",".18",".56","4.88","7.62","5.97","6310"
"Luis Guillorme","Mets","CHC @ NYM","2B","4.07",".78",".59",".13",".02",".03",".34",".35",".04",".02",".65",".69","4.96","7.68","5.83","16451"
"Jordy Mercer","Pirates","PIT @ STL","SS","3.97",".93",".67",".16",".02",".08",".35",".42",".01",".01",".26",".65","4.85","7.55","5.89","6547"
"Freddy Galvis","Padres","CIN @ SD","SS","3.87",".86",".59",".15",".04",".07",".34",".35",".07",".04",".28",".71","4.86","7.53","5.91","6609"
"Ryan LaMarre","Twins","CLE @ MIN","LF","3.73",".84",".59",".16",".02",".06",".40",".36",".07",".05",".29","1.33","4.86","7.54","5.85","10700"
"Pedro Severino","Nationals","WSH @ ATL","C","4.14",".83",".60",".17",".00",".05",".38",".37",".03",".02",".46",".88","4.84","7.52","5.75","14523"
"Ronald Guzman","Rangers","TEX @ LAA","1B","3.80",".78",".50",".14",".02",".11",".38",".35",".02",".01",".34",".94","4.82","7.48","5.75","14388"
"Adam Engel","White Sox","MIL @ CWS","CF","3.92",".70",".45",".14",".03",".09",".32",".34",".12",".06",".36","1.14","4.81","7.45","5.74","15082"
"Jackie Bradley Jr.","Red Sox","BOS @ HOU","CF","3.81",".70",".42",".15",".02",".11",".40",".36",".04",".03",".31","1.25","4.80","7.46","5.68","12984"
"Jorge Alfaro","Phillies","PHI @ SF","C","3.98",".92",".65",".18",".01",".08",".33",".38",".01",".01",".25","1.22","4.69","7.29","5.72","12180"
"Guillermo Heredia","Mariners","TB @ SEA","CF","3.90",".80",".58",".15",".02",".05",".39",".29",".04",".03",".47",".80","4.73","7.31","5.63","18721"
"Dixon Machado","Tigers","TOR @ DET","2B","3.77",".87",".63",".19",".01",".03",".41",".34",".06",".03",".30",".64","4.69","7.28","5.66","11472"
"Brock Holt","Red Sox","BOS @ HOU","2B","4.04",".86",".60",".19",".02",".05",".33",".30",".05",".03",".37",".92","4.69","7.26","5.67","9345"
"Dansby Swanson","Braves","WSH @ ATL","SS","3.84",".80",".55",".19",".02",".05",".32",".36",".04",".02",".38","1.00","4.64","7.21","5.55","18314"
"Rob Refsnyder","Rays","TB @ SEA","LF","3.82",".76",".51",".18",".01",".06",".36",".33",".05",".03",".37",".89","4.62","7.17","5.51","13770"
"Max Stassi","Astros","BOS @ HOU","C","3.71",".61",".32",".13",".01",".16",".35",".38",".02",".01",".33","1.61","4.63","7.21","5.42","10059"
"Christian Vazquez","Red Sox","BOS @ HOU","C","3.93",".89",".62",".19",".01",".06",".35",".35",".04",".02",".13",".80","4.38","6.82","5.38","9774"
"Charlie Tilson","White Sox","MIL @ CWS","LF","3.79",".81",".63",".13",".03",".02",".30",".30",".09",".06",".25",".64","4.18","6.47","5.13","12983"
"Jake Marisnick","Astros","BOS @ HOU","CF","3.58",".56",".31",".11",".01",".13",".32",".32",".08",".04",".20","1.74","4.16","6.46","4.94","11339"
"Omar Narvaez","White Sox","MIL @ CWS","C","3.67",".69",".51",".14",".00",".03",".36",".25",".02",".02",".49",".67","4.18","6.47","4.93","13338"
