"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Chris Sale","Red Sox","BOS @ HOU",".41","6.31","26.04","5.64","3.21","1.26",".09","1.08","1.92","8.54","24.66","41.08","23.09","10603"
"Gerrit Cole","Astros","BOS @ HOU",".34","6.57","27.29","6.24","3.63","1.40",".12","1.09","1.81","7.23","21.58","36.78","20.14","13125"
"Carlos Carrasco","Indians","CLE @ MIN",".41","6.10","25.96","6.02","3.34","1.37",".16","1.14","2.11","7.13","19.84","34.68","18.65","6632"
"Stephen Strasburg","Nationals","WSH @ ATL",".44","6.23","26.35","6.05","3.76","1.42",".13",".74","2.16","6.29","19.28","33.97","18.06","10131"
"Tyler Mahle","Reds","CIN @ SD",".39","6.16","25.54","5.59","3.55",".96",".16",".93","2.04","6.24","19.62","33.68","18.17","16358"
"Chris Stratton","Giants","PHI @ SF",".40","6.48","27.11","6.29","4.28","1.24",".19",".57","2.02","5.72","18.93","33.46","17.62","13761"
"Nick Pivetta","Phillies","PHI @ SF",".35","6.16","26.32","6.09","4.05","1.25",".15",".64","2.30","5.89","17.73","32.00","16.63","15454"
"Jameson Taillon","Pirates","PIT @ STL",".35","6.17","26.31","6.26","4.12","1.24",".12",".78","2.14","5.86","17.48","31.61","16.37","11674"
"Mike Leake","Mariners","TB @ SEA",".42","6.71","27.95","6.97","4.71","1.41",".13",".72","1.53","5.02","17.59","31.39","16.32","10130"
"Jaime Barria","Angels","TEX @ LAA",".41","5.99","24.82","5.20","3.18",".98",".09",".95","2.17","5.43","17.93","30.84","16.45","18356"
"Chase Anderson","Brewers","MIL @ CWS",".45","6.04","25.48","5.68","3.47","1.10",".17",".94","2.29","5.42","17.15","30.53","15.93","6895"
"Sergio Romo","Rays","TB @ SEA",".33","5.96","25.61","6.04","3.75","1.12",".09","1.09","2.02","5.84","16.72","30.41","15.87","9817"
"Miles Mikolas","Cardinals","PIT @ STL",".38","6.47","26.81","6.75","4.72","1.21",".18",".65","1.27","4.60","16.76","29.79","15.32","9803"
"Blaine Hardy","Tigers","TOR @ DET",".38","6.15","26.08","6.21","3.72","1.43",".14",".92","1.94","5.05","15.98","28.93","14.76","6499"
"Sonny Gray","Yankees","NYY @ BAL",".44","5.64","24.27","5.64","3.49","1.06",".03","1.06","2.20","5.45","15.93","28.71","14.87","12768"
"Walker Lockett","Padres","CIN @ SD",".34","6.34","26.54","6.17","4.15","1.05",".14",".83","1.95","4.50","15.71","28.42","14.37","sa657984"
"Mike Foltynewicz","Braves","WSH @ ATL",".28","5.90","25.76","5.94","3.62","1.30",".11",".91","2.73","5.54","15.07","28.50","14.21","10811"
"Dennis Santana","Dodgers","LAD @ COL",".35","5.35","24.23","6.01","3.63","1.22",".23",".92","2.73","5.93","13.86","27.08","13.38","sa737018"
"Zack Wheeler","Mets","CHC @ NYM",".30","5.56","24.33","5.53","3.28","1.03",".09","1.12","2.60","5.28","14.16","26.53","13.28","10310"
"Clay Buchholz","Diamondbacks","MIA @ ARI",".37","6.07","25.99","6.35","3.94","1.36",".20",".85","2.01","4.36","13.98","26.29","12.91","3543"
"Tyler Chatwood","Cubs","CHC @ NYM",".37","5.34","23.82","4.82","3.11",".92",".11",".68","3.58","4.94","13.52","26.09","12.90","4338"
"Ian Kennedy","Royals","OAK @ KC",".29","5.61","24.52","5.85","3.14","1.31",".15","1.26","2.31","5.30","13.84","26.02","12.94","6986"
"Frankie Montas","Athletics","OAK @ KC",".39","5.79","25.36","6.48","4.18","1.22",".12",".95","2.09","4.67","13.28","25.72","12.45","14309"
"Jose Berrios","Twins","CLE @ MIN",".29","5.78","25.23","6.02","3.51","1.43",".10",".98","2.40","4.81","13.35","25.63","12.45","14168"
"Hector Santiago","White Sox","MIL @ CWS",".26","5.55","24.65","5.53","3.29","1.06",".07","1.11","3.09","4.90","12.42","24.70","11.76","4026"
"Elieser Hernandez","Marlins","MIA @ ARI",".34","5.95","25.53","6.38","3.69","1.33",".37",".98","1.87","4.11","12.67","24.22","11.64","16933"
"Jaime Garcia","Blue Jays","TOR @ DET",".30","5.20","22.91","5.86","3.53","1.37",".18",".78","1.97","4.01","11.03","21.52","10.27","8137"
"Bartolo Colon","Rangers","TEX @ LAA",".28","5.74","24.48","6.47","3.95","1.23",".11","1.17","1.29","3.31","10.91","20.98","9.77","375"
"Tyler Anderson","Rockies","LAD @ COL",".27","5.07","22.89","6.02","3.42","1.35",".17","1.07","2.17","4.38","10.15","20.85","9.63","12880"
"Andrew Cashner","Orioles","NYY @ BAL",".23","5.40","24.43","5.98","3.50","1.15",".06","1.27","2.83","4.04","9.21","20.18","8.71","8782"
