"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Gerrit Cole","Astros","TB @ HOU",".59","7.06","28.26","6.11","3.97","1.25",".18",".71","1.55","8.50","28.06","45.73","26.32","13125"
"Trevor Bauer","Indians","CWS @ CLE",".55","6.69","27.41","6.05","3.72","1.28",".13",".92","1.81","8.27","25.60","42.59","24.00","12703"
"Jacob deGrom","Mets","NYM @ COL",".44","6.20","26.25","6.33","3.96","1.28",".21",".87","1.86","7.69","21.82","37.77","20.59","10954"
"Zack Greinke","Diamondbacks","ARI @ LAA",".40","6.52","26.25","5.58","3.48","1.04",".06","1.00","1.58","5.71","20.42","34.01","18.60","1943"
"Nick Pivetta","Phillies","STL @ PHI",".30","5.96","25.43","5.69","3.46","1.02",".09","1.12","2.38","6.87","18.85","33.25","17.69","15454"
"Andrew Suarez","Giants","MIA @ SF",".39","6.33","26.33","6.17","4.28","1.20",".18",".52","1.75","5.47","18.68","32.69","17.23","18300"
"Miles Mikolas","Cardinals","STL @ PHI",".42","6.29","26.06","6.28","3.98","1.22",".18",".91","1.44","5.72","18.75","32.42","17.27","9803"
"Caleb Smith","Marlins","MIA @ SF",".35","5.94","25.49","5.43","3.60","1.14",".18",".50","2.88","5.91","17.61","31.87","16.56","14875"
"Jaime Barria","Angels","ARI @ LAA",".33","6.11","25.28","5.54","3.65","1.04",".09",".76","1.97","5.27","17.81","30.89","16.30","18356"
"Ian Kennedy","Royals","TEX @ KC",".29","5.56","24.44","5.88","3.34","1.27",".13","1.14","2.46","5.26","13.41","25.72","12.62","6986"
"Trevor Williams","Pirates","MIL @ PIT",".32","5.91","25.32","6.25","4.04","1.35",".10",".76","2.00","4.20","13.35","25.37","12.30","16977"
"Jhoulys Chacin","Brewers","MIL @ PIT",".38","5.75","24.71","5.77","3.82","1.22",".18",".55","2.32","4.01","13.33","25.16","12.31","2608"
"Kenta Maeda","Dodgers","LAD @ CHC",".32","4.97","21.59","4.93","2.93","1.02",".11",".86","2.18","4.78","13.35","23.97","12.46","18498"
"Tyler Anderson","Rockies","NYM @ COL",".25","5.30","23.55","6.04","3.70","1.29",".17",".87","2.16","4.48","11.50","22.79","10.82","12880"
"Tyler Chatwood","Cubs","LAD @ CHC",".27","5.07","23.16","4.65","2.73","1.00",".08",".83","3.90","4.58","10.88","22.50","10.50","4338"
"Bartolo Colon","Rangers","TEX @ KC",".40","5.80","24.74","6.98","4.30","1.50",".23",".96",".87","3.25","11.27","21.66","10.12","375"
"Ryne Stanek","Rays","TB @ HOU",".18","5.27","24.18","5.73","3.45","1.13",".12","1.03","3.27","4.51","9.69","21.33","9.38","15947"
"Dylan Covey","White Sox","CWS @ CLE",".16","4.73","21.72","5.76","3.24","1.31",".08","1.13","2.29","3.35","6.74","15.73","6.41","14825"
