"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jon Lester","Cubs","CHC @ NYM",".45","6.62","26.81","4.93","3.38",".94",".08",".53","2.54","6.55","23.24","38.74","21.49","4930"
"Tyler Skaggs","Angels","TEX @ LAA",".45","6.21","25.89","5.35","3.54","1.00",".07",".74","2.49","6.72","21.06","36.16","19.65","10190"
"Luis Castillo","Reds","CIN @ SD",".40","6.47","26.99","5.83","3.74",".97",".17",".95","2.37","6.80","20.85","36.12","19.54","15689"
"Charlie Morton","Astros","BOS @ HOU",".41","6.31","26.20","5.61","3.31","1.28",".14",".88","2.19","6.82","21.07","36.04","19.59","4676"
"Blake Snell","Rays","TB @ SEA",".36","6.19","25.82","5.52","3.70","1.07",".07",".67","2.30","6.48","20.28","34.95","18.90","13543"
"Steven Matz","Mets","CHC @ NYM",".30","6.35","26.15","5.36","3.56","1.01",".08",".71","2.28","6.18","20.36","34.73","18.78","13361"
"Anibal Sanchez","Braves","WSH @ ATL",".41","6.58","27.60","6.41","3.93","1.23",".11","1.15","2.07","6.43","19.63","34.46","18.37","3284"
"Felix Hernandez","Mariners","TB @ SEA",".35","5.84","24.02","5.09","3.38","1.01",".09",".61","1.98","5.77","19.02","32.10","17.49","4772"
"Dereck Rodriguez","Giants","PHI @ SF",".33","6.30","26.45","6.38","4.26","1.27",".22",".63","1.76","5.84","18.36","32.45","17.05","14509"
"Mike Clevinger","Indians","CLE @ MIN",".41","6.04","25.98","5.59","3.30","1.33",".11",".84","2.83","6.14","17.83","32.21","16.79","12808"
"Tyson Ross","Padres","CIN @ SD",".35","6.14","26.56","5.57","3.84","1.01",".13",".59","3.20","5.58","16.77","31.12","15.82","7872"
"Jakob Junis","Royals","OAK @ KC",".33","6.07","25.40","5.95","3.55","1.20",".18","1.01","1.72","5.73","17.59","30.71","16.20","13619"
"Brent Suter","Brewers","MIL @ CWS",".49","5.83","24.07","6.03","4.04","1.10",".22",".67","1.14","5.18","17.69","30.30","16.21","13942"
"Michael Wacha","Cardinals","PIT @ STL",".37","6.12","25.97","6.13","4.12","1.27",".14",".60","2.08","5.19","16.71","30.22","15.53","14078"
"Dan Straily","Marlins","MIA @ ARI",".36","6.14","26.84","6.03","3.39","1.42",".29",".93","2.99","5.50","15.24","28.98","14.45","9460"
"Alex Wood","Dodgers","LAD @ COL",".42","5.74","24.84","6.45","4.15","1.32",".16",".81","1.74","5.44","15.65","28.76","14.67","13781"
"Rick Porcello","Red Sox","BOS @ HOU",".33","6.15","26.20","6.76","4.22","1.44",".17",".94","1.57","5.10","15.38","28.27","14.28","2717"
"Nick Kingham","Pirates","PIT @ STL",".35","6.07","26.03","6.30","4.12","1.31",".13",".73","2.16","4.87","15.08","28.18","14.05","11694"
"Aaron Sanchez","Blue Jays","TOR @ DET",".38","6.12","26.47","6.15","4.10","1.25",".21",".60","2.64","4.71","14.69","28.00","13.77","11490"
"Jake Arrieta","Phillies","PHI @ SF",".37","5.44","22.70","5.20","3.52","1.15",".13",".40","1.68","4.37","15.38","26.48","14.06","4153"
"Michael Fulmer","Tigers","TOR @ DET",".34","5.85","24.71","5.49","3.46","1.12",".10",".81","2.16","4.50","14.94","26.85","13.66","13218"
"Kyle Gibson","Twins","CLE @ MIN",".30","5.73","24.72","5.88","3.64","1.35",".10",".79","2.26","4.73","13.94","26.14","12.96","10123"
"Daniel Gossett","Athletics","OAK @ KC",".36","5.56","23.80","5.79","3.84","1.14",".11",".69","1.93","4.14","13.33","24.68","12.27","16164"
"Matt Koch","Diamondbacks","MIA @ ARI",".33","6.02","25.95","6.91","4.31","1.53",".23",".85","1.53","3.76","12.00","23.49","11.01","13420"
"Doug Fister","Rangers","TEX @ LAA",".26","5.59","24.54","5.96","3.78","1.04",".07","1.07","2.42","4.03","11.17","22.39","10.39","9425"
"Chad Bettis","Rockies","LAD @ COL",".26","5.30","23.76","6.25","3.61","1.47",".15","1.02","2.13","4.17","10.12","20.98","9.52","10587"
"Dylan Covey","White Sox","MIL @ CWS",".20","4.97","22.28","5.62","3.50","1.16",".07",".89","2.32","4.26","10.26","20.68","9.72","14825"
"Jeremy Hellickson","Nationals","WSH @ ATL",".29","5.22","22.53","5.86","3.45","1.38",".13",".91","1.55","3.23","9.95","19.28","9.01","4371"
