"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","SF @ WSH",".57","7.25","28.62","5.52","3.33","1.24",".06",".90","1.73","9.45","31.11","49.58","29.18","3137"
"Luis Severino","Yankees","NYY @ NYM",".53","6.54","26.11","4.73","3.05",".95",".10",".63","2.20","8.16","27.24","43.96","25.28","15890"
"Corey Kluber","Indians","CLE @ DET",".54","6.95","28.05","6.28","3.95","1.32",".21",".81","1.40","7.75","25.70","42.24","24.05","2429"
"James Paxton","Mariners","SEA @ TB",".46","6.05","25.05","5.53","3.75","1.07",".10",".61","1.90","7.13","22.18","37.31","20.68","11828"
"Ross Stripling","Dodgers","ATL @ LAD",".44","6.79","27.32","6.22","4.10","1.33",".08",".71","1.21","6.27","22.45","37.27","20.62","13273"
"Kyle Hendricks","Cubs","PIT @ CHC",".49","7.31","29.35","6.55","4.42","1.41",".18",".54","1.48","5.45","21.96","36.87","20.34","12049"
"Rick Porcello","Red Sox","CWS @ BOS",".48","6.37","26.56","6.56","4.11","1.45",".18",".82","1.44","6.44","20.23","35.02","18.85","2717"
"Brandon Woodruff","Brewers","MIL @ PHI",".40","6.23","26.82","5.73","3.60","1.13",".19",".81","3.01","6.66","19.09","34.46","18.09","16162"
"Marco Estrada","Blue Jays","BAL @ TOR",".41","6.37","26.29","5.70","3.25","1.40",".06","1.00","1.90","6.08","19.86","33.84","18.29","1118"
"Jose Urena","Marlins","SD @ MIA",".39","6.73","28.14","6.28","4.16","1.21",".17",".75","2.32","5.76","19.05","33.73","17.79","11589"
"Sean Manaea","Athletics","KC @ OAK",".48","6.65","27.36","6.02","3.82","1.35",".08",".77","1.94","5.37","19.34","33.43","17.83","15873"
"Sean Newcomb","Braves","ATL @ LAD",".30","5.90","25.58","4.98","3.13","1.14",".08",".63","3.48","6.25","17.92","32.51","16.97","16943"
"Carlos Martinez","Cardinals","STL @ CIN",".38","6.11","26.77","5.73","3.80","1.08",".11",".74","3.38","5.98","16.79","31.62","16.00","11682"
"Anthony DeSclafani","Reds","STL @ CIN",".33","6.06","25.60","5.98","3.61","1.18",".08","1.11","1.96","5.74","17.07","30.33","15.79","13050"
"Dallas Keuchel","Astros","HOU @ TEX",".55","6.53","27.79","6.54","4.51","1.29",".12",".62","2.39","4.48","16.00","29.80","14.99","9434"
"Clayton Richard","Padres","SD @ MIA",".36","6.19","26.53","6.46","4.41","1.30",".19",".56","2.11","5.09","16.05","29.72","15.00","3551"
"Nathan Eovaldi","Rays","SEA @ TB",".28","6.19","26.16","6.80","4.49","1.24",".14",".93","1.43","5.13","15.65","28.53","14.43","9132"
"Nick Tropeano","Angels","LAA @ MIN",".33","5.66","24.84","5.79","3.33","1.39",".15",".92","2.62","5.72","15.12","28.34","14.30","12385"
"Ivan Nova","Pirates","PIT @ CHC",".28","6.04","25.30","5.98","3.64","1.37",".16",".80","1.73","4.80","15.68","27.97","14.35","1994"
"Seth Lugo","Mets","NYY @ NYM",".21","5.42","22.74","5.04","3.02",".98",".08",".96","1.69","5.26","15.97","27.43","14.80","12447"
"Zach Eflin","Phillies","MIL @ PHI",".33","6.16","26.07","6.30","3.91","1.36",".10",".93","1.91","4.83","15.32","28.04","14.13","13774"
"Alex Cobb","Orioles","BAL @ TOR",".35","6.38","26.70","6.55","3.69","1.65",".11","1.09","1.51","4.44","15.02","27.11","13.72","6562"
"Zack Godley","Diamondbacks","ARI @ COL",".31","5.67","25.34","6.45","3.98","1.30",".21",".95","2.50","5.47","13.45","26.60","12.86","14862"
"Fernando Romero","Twins","LAA @ MIN",".35","5.85","25.64","5.83","3.73","1.31",".08",".71","2.90","4.67","13.65","26.51","12.85","15885"
"Kyle Freeland","Rockies","ARI @ COL",".35","5.47","23.74","6.20","4.11","1.26",".19",".65","1.71","4.21","12.72","24.06","11.79","16256"
"Brad Keller","Royals","KC @ OAK",".28","5.91","25.72","6.34","3.84","1.46",".17",".87","2.24","4.08","12.13","23.95","11.25","15734"
"Artie Lewicki","Tigers","CLE @ DET",".23","5.88","25.68","6.83","4.40","1.46",".24",".72","1.85","3.70","10.84","22.16","10.00","16731"
"Derek Holland","Giants","SF @ WSH",".19","5.33","23.79","5.72","3.58","1.16",".09",".89","2.73","4.25","10.64","21.88","10.05","4141"
"Reynaldo Lopez","White Sox","CWS @ BOS",".24","5.49","24.90","6.17","3.55","1.53",".12",".97","2.82","4.32","10.03","21.67","9.58","16400"
"Matt Moore","Rangers","HOU @ TEX",".18","5.12","23.84","6.57","4.18","1.40",".10",".89","2.57","2.99","5.69","15.61","5.52","1890"
