"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Carlos Carrasco","Indians","CLE @ CWS",".60","6.95","27.71","5.81","3.73","1.10",".19",".78","1.59","8.49","28.16","45.67","26.30","6632"
"Madison Bumgarner","Giants","SF @ MIA",".52","6.70","27.05","5.96","3.96","1.15",".15",".70","1.52","6.55","23.11","38.42","21.35","5524"
"Jose Quintana","Cubs","CHC @ MIL",".43","6.61","27.53","5.99","3.84","1.32",".09",".74","2.33","6.24","20.41","35.58","19.10","11423"
"Patrick Corbin","Diamondbacks","PIT @ ARI",".39","6.45","26.75","6.14","3.81","1.35",".26",".71","1.78","6.20","20.06","34.56","18.56","9323"
"Jack Flaherty","Cardinals","SD @ STL",".42","5.66","23.26","5.00","3.25",".85",".09",".81","1.76","6.46","20.29","33.54","18.76","17479"
"Junior Guerra","Brewers","CHC @ MIL",".30","5.95","25.21","5.08","3.00","1.02",".10",".96","2.82","5.99","17.68","31.32","16.44","5702"
"Andrew Heaney","Angels","LAA @ SEA",".39","6.00","25.48","5.82","3.88","1.05",".10",".77","2.26","5.66","17.34","30.98","16.16","15423"
"Dylan Bundy","Orioles","BOS @ BAL",".36","6.08","25.49","5.98","3.59","1.28",".07","1.04","1.77","5.63","17.48","30.71","16.14","12917"
"Joe Musgrove","Pirates","PIT @ ARI",".35","6.05","25.77","5.95","3.58","1.28",".32",".77","2.24","5.69","16.97","30.60","15.84","12970"
"Ryan Yarbrough","Rays","TOR @ TB",".33","6.15","25.75","5.97","3.49","1.31",".08","1.09","1.83","5.35","16.92","29.84","15.54","16502"
"Sam Gaviglio","Blue Jays","TOR @ TB",".38","5.92","24.82","6.02","3.85","1.19",".16",".82","1.61","4.91","15.99","28.38","14.67","12778"
"Wade LeBlanc","Mariners","LAA @ SEA",".33","6.16","25.89","6.03","3.45","1.30",".06","1.21","1.91","4.48","14.74","26.75","13.43","5221"
"Steven Wright","Red Sox","BOS @ BAL",".36","5.95","25.77","6.10","3.98","1.16",".06",".91","2.37","4.57","13.90","26.44","12.95","8185"
"Wei-Yin Chen","Marlins","SF @ MIA",".23","6.00","25.79","6.45","3.98","1.33",".10","1.04","1.92","4.27","12.80","24.59","11.76","13071"
"Jordan Lyles","Padres","SD @ STL",".26","5.56","24.68","6.37","4.06","1.26",".12",".93","2.28","3.97","10.49","21.86","9.84","7593"
"Lucas Giolito","White Sox","CLE @ CWS",".18","5.69","25.66","5.81","3.44","1.27",".11",".99","3.45","4.05","9.74","21.48","9.26","15474"
