"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","CIN @ WSH",".63","7.32","29.10","5.56","3.64","1.12",".09",".71","2.14","8.93","30.22","48.86","28.44","3137"
"Clayton Kershaw","Dodgers","MIL @ LAD",".50","6.89","27.35","5.93","3.75","1.10",".05","1.03","1.23","7.14","24.80","40.24","22.84","2036"
"Zack Greinke","Diamondbacks","SF @ ARI",".43","6.36","25.59","5.69","3.57","1.22",".13",".77","1.29","6.33","21.80","35.95","19.93","1943"
"Nick Pivetta","Phillies","MIA @ PHI",".42","5.91","24.94","5.76","3.75","1.05",".10",".87","1.94","6.70","19.72","34.10","18.43","15454"
"Mike Foltynewicz","Braves","ATL @ NYM",".42","6.06","26.03","5.34","3.36","1.01",".13",".85","3.07","6.61","19.11","34.13","18.03","10811"
"Reynaldo Lopez","White Sox","KC @ CWS",".40","6.05","25.44","5.35","3.16","1.12",".16",".91","2.48","6.06","18.66","32.60","17.36","16400"
"Andrew Heaney","Angels","LAA @ TB",".37","5.68","24.34","5.55","3.68","1.02",".13",".72","2.35","5.88","17.11","30.55","16.03","15423"
"Miles Mikolas","Cardinals","COL @ STL",".40","6.47","26.62","6.57","4.52","1.23",".12",".70","1.27","4.62","17.22","30.20","15.72","9803"
"Felix Hernandez","Mariners","TOR @ SEA",".36","5.81","24.64","5.38","3.12","1.16",".06","1.03","2.32","5.45","16.52","29.31","15.28","4772"
"Hunter Wood","Rays","LAA @ TB",".32","5.87","24.81","5.59","3.46","1.06",".10",".98","2.15","5.32","16.23","28.90","14.97","15091"
"Madison Bumgarner","Giants","SF @ ARI",".28","5.82","24.65","5.67","3.28","1.29",".23",".88","2.03","5.38","15.95","28.47","14.73","5524"
"Antonio Senzatela","Rockies","COL @ STL",".33","5.84","24.91","6.04","3.89","1.20",".09",".86","1.93","5.02","15.27","27.83","14.15","15488"
"Mike Montgomery","Cubs","SD @ CHC",".42","5.97","25.18","5.83","3.70","1.19",".10",".83","2.04","4.54","15.37","27.80","14.11","4869"
"Tyler Clippard","Blue Jays","TOR @ SEA",".33","5.49","24.36","5.75","3.51","1.06",".10","1.07","2.14","5.18","14.28","27.70","14.19","5640"
"Jason Vargas","Mets","ATL @ NYM",".29","5.66","24.43","6.03","3.72","1.18",".09","1.04","1.98","5.02","14.19","26.35","13.19","8044"
"Pablo Lopez","Marlins","MIA @ PHI",".27","5.42","23.71","5.97","3.53","1.11",".12","1.21","1.96","5.20","13.29","25.00","12.43","17085"
"Yovani Gallardo","Rangers","BAL @ TEX",".37","5.57","24.43","6.23","4.12","1.12",".10",".89","2.09","4.42","12.61","24.48","11.79","8173"
"Robbie Erlin","Padres","SD @ CHC",".28","5.65","24.47","6.76","4.00","1.37",".13","1.26","1.07","4.33","12.31","23.56","11.49","10354"
"Brad Keller","Royals","KC @ CWS",".29","5.55","24.53","6.22","4.21","1.16",".23",".61","2.33","4.34","11.88","23.77","11.17","15734"
"Brian Johnson","Red Sox","NYY @ BOS",".35","5.55","24.16","6.16","3.85","1.26",".13",".92","1.91","4.02","11.87","23.01","10.96","14272"
"Jhoulys Chacin","Brewers","MIL @ LAD",".23","5.24","23.00","5.22","3.11","1.09",".05",".96","2.58","3.91","10.91","21.29","10.11","2608"
"Andrew Cashner","Orioles","BAL @ TEX",".28","5.37","24.45","6.24","3.84","1.28",".15",".97","2.75","4.01","9.24","20.54","8.85","8782"
"CC Sabathia","Yankees","NYY @ BOS",".31","5.30","23.74","6.24","3.95","1.28",".12",".89","2.19","3.68","9.59","20.30","9.02","404"
"Tyler Mahle","Reds","CIN @ WSH",".15","5.16","23.42","6.03","3.75","1.17",".09","1.02","2.53","3.78","8.36","18.73","7.93","16358"
