"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Elvis Andrus","Rangers","TEX @ MIN","SS","4.80","1.30",".86",".32",".02",".10",".68",".58",".14",".07",".34",".59","7.65","11.91","9.21","8709"
"Kris Bryant","Cubs","CHC @ CIN","3B","4.76","1.14",".65",".26",".02",".21",".64",".47",".04",".03",".60","1.11","7.73","11.95","9.13","15429"
"Joc Pederson","Dodgers","LAD @ NYM","LF","4.81","1.01",".54",".22",".01",".24",".67",".51",".06",".04",".59","1.02","7.74","12.01","9.07","11899"
"Jose Martinez","Cardinals","STL @ MIL","1B","4.58","1.13",".69",".22",".01",".21",".62",".64",".04",".02",".52",".85","7.69","11.97","9.07","7996"
"Kyle Schwarber","Cubs","CHC @ CIN","LF","4.25",".91",".45",".14",".02",".29",".55",".68",".03",".02",".59","1.20","7.70","12.00","8.95","16478"
"Ozzie Albies","Braves","BAL @ ATL","2B","4.46","1.19",".71",".26",".06",".16",".70",".54",".13",".08",".23",".63","7.57","11.77","9.12","16556"
"Andrew McCutchen","Giants","SD @ SF","RF","4.39","1.14",".69",".26",".04",".16",".63",".61",".05",".03",".53",".74","7.62","11.85","9.00","9847"
"Eduardo Escobar","Twins","TEX @ MIN","SS","4.42","1.16",".61",".32",".04",".19",".61",".68",".03",".02",".30",".89","7.58","11.82","9.00","6153"
"Cody Bellinger","Dodgers","LAD @ NYM","1B","4.38",".90",".45",".18",".02",".25",".58",".65",".04",".03",".64","1.18","7.65","11.92","8.86","15998"
"Brian Anderson","Marlins","MIA @ COL","RF","4.73","1.28",".82",".29",".04",".13",".72",".51",".02",".02",".47","1.10","7.55","11.72","9.02","18289"
"Matt Carpenter","Cardinals","STL @ MIL","3B","4.79",".90",".44",".23",".01",".22",".69",".48",".02",".01",".82","1.24","7.69","11.91","8.83","8090"
"Manny Machado","Orioles","BAL @ ATL","SS","4.56","1.14",".68",".26",".01",".19",".63",".57",".04",".03",".52",".67","7.57","11.77","8.95","11493"
"Gary Sanchez","Yankees","NYY @ TB","C","4.48",".94",".49",".18",".00",".27",".62",".69",".02",".01",".52","1.21","7.58","11.84","8.81","11442"
"Matt Joyce","Athletics","OAK @ CWS","LF","4.86",".91",".47",".21",".01",".22",".64",".52",".04",".03",".77","1.02","7.61","11.80","8.78","3353"
"Joey Gallo","Rangers","TEX @ MIN","LF","4.25",".83",".36",".17",".01",".28",".59",".68",".04",".03",".56","1.46","7.57","11.82","8.74","14128"
"Max Muncy","Dodgers","LAD @ NYM","1B","4.69",".93",".53",".18",".01",".21",".69",".49",".03",".02",".78","1.20","7.58","11.75","8.77","13301"
"Nomar Mazara","Rangers","TEX @ MIN","RF","4.69","1.16",".75",".23",".01",".17",".62",".69",".01",".01",".45",".90","7.45","11.65","8.81","14553"
"Rhys Hoskins","Phillies","PHI @ WSH","LF","4.60",".94",".50",".21",".00",".23",".64",".58",".04",".03",".60","1.14","7.52","11.69","8.74","16472"
"Evan Gattis","Astros","KC @ HOU","DH","4.11",".99",".53",".19",".01",".26",".58",".73",".02",".01",".40",".83","7.46","11.67","8.74","11003"
"Marcell Ozuna","Cardinals","STL @ MIL","LF","4.47","1.10",".67",".19",".02",".22",".57",".72",".02",".01",".38","1.02","7.42","11.60","8.79","10324"
"Brandon Belt","Giants","SD @ SF","1B","4.50","1.10",".65",".24",".05",".16",".70",".50",".03",".02",".54",".91","7.44","11.55","8.77","10264"
"Yonder Alonso","Indians","DET @ CLE","1B","4.20","1.03",".58",".23",".00",".22",".61",".67",".01",".01",".47",".78","7.42","11.59","8.69","2530"
"Didi Gregorius","Yankees","NYY @ TB","SS","4.60","1.08",".67",".19",".02",".21",".59",".67",".04",".03",".42",".73","7.37","11.51","8.72","6012"
"Christian Yelich","Brewers","STL @ MIL","LF","4.46","1.08",".67",".22",".02",".17",".66",".46",".08",".04",".57","1.13","7.40","11.46","8.75","11477"
"Adrian Beltre","Rangers","TEX @ MIN","3B","4.58","1.22",".82",".25",".01",".15",".57",".68",".01",".00",".46",".69","7.32","11.44","8.72","639"
"Ryan Braun","Brewers","STL @ MIL","1B","4.16",".98",".54",".20",".02",".22",".55",".67",".09",".05",".39",".98","7.35","11.47","8.66","3410"
"Teoscar Hernandez","Blue Jays","TOR @ LAA","RF","4.43","1.02",".55",".22",".02",".22",".55",".64",".09",".06",".33","1.20","7.33","11.43","8.69","13066"
"Andrew Benintendi","Red Sox","SEA @ BOS","LF","4.49","1.16",".73",".26",".04",".13",".68",".52",".09",".05",".36",".75","7.27","11.31","8.70","17901"
"Dustin Fowler","Athletics","OAK @ CWS","CF","4.80","1.09",".67",".18",".07",".17",".55",".52",".17",".10",".27",".96","7.21","11.19","8.71","17098"
"Dee Gordon","Mariners","SEA @ BOS","2B","4.83","1.35","1.05",".21",".06",".03",".56",".41",".29",".11",".21",".65","7.06","10.90","8.79","8203"
"Lorenzo Cain","Brewers","STL @ MIL","CF","4.36","1.10",".76",".19",".02",".13",".58",".52",".11",".06",".53",".90","7.16","11.11","8.52","9077"
"Eric Hosmer","Padres","SD @ SF","1B","4.61","1.21",".82",".23",".02",".14",".62",".47",".05",".03",".48",".74","7.14","11.07","8.56","3516"
"Juan Soto","Nationals","PHI @ WSH","LF","4.23",".99",".60",".19",".02",".19",".57",".64",".04",".03",".49",".85","7.17","11.20","8.42","20123"
"Trea Turner","Nationals","PHI @ WSH","SS","4.43","1.13",".79",".20",".03",".11",".61",".41",".25",".11",".33",".83","7.11","10.98","8.62","16252"
"Jose Abreu","White Sox","","1B","4.41","1.13",".69",".26",".02",".17",".57",".60",".01",".01",".45",".75","7.14","11.12","8.47","15676"
"Justin Upton","Angels","TOR @ LAA","LF","4.34",".94",".52",".18",".00",".24",".56",".64",".05",".03",".45","1.21","7.17","11.18","8.40","5222"
"Justin Turner","Dodgers","LAD @ NYM","3B","4.60","1.10",".69",".24",".00",".17",".59",".55",".02",".02",".55",".67","7.15","11.13","8.45","5235"
"Matt Kemp","Dodgers","LAD @ NYM","LF","4.49","1.10",".67",".22",".00",".21",".56",".69",".01",".01",".29","1.08","7.05","11.03","8.38","5631"
"Steve Pearce","Blue Jays","TOR @ LAA","LF","4.76","1.10",".67",".22",".01",".20",".61",".51",".02",".02",".45",".89","7.06","10.97","8.38","9957"
"Jose Abreu","White Sox","OAK @ CWS","1B","4.30","1.13",".66",".26",".02",".20",".57",".56",".01",".01",".35",".71","7.03","10.94","8.39","15676"
"Brett Gardner","Yankees","NYY @ TB","LF","4.92","1.03",".72",".16",".03",".12",".63",".41",".12",".06",".66",".96","7.07","10.94","8.37","9927"
"Wil Myers","Padres","SD @ SF","RF","4.72","1.08",".69",".22",".03",".15",".60",".41",".12",".07",".47","1.10","7.04","10.88","8.42","10047"
"Marcus Semien","Athletics","","SS","4.79","1.01",".66",".19",".02",".15",".63",".51",".10",".05",".50",".93","7.02","10.91","8.29","12533"
"Denard Span","Mariners","SEA @ BOS","LF","4.62","1.06",".72",".23",".03",".09",".57",".53",".10",".05",".57",".63","6.98","10.86","8.26","8347"
"Starlin Castro","Marlins","MIA @ COL","2B","4.42","1.29",".89",".26",".03",".11",".53",".69",".02",".01",".26",".94","6.89","10.78","8.33","4579"
"Aaron Hicks","Yankees","NYY @ TB","CF","4.37",".87",".52",".16",".03",".17",".57",".52",".09",".05",".66",".92","7.03","10.92","8.19","5297"
"Anthony Rendon","Nationals","PHI @ WSH","3B","4.33","1.09",".65",".30",".01",".14",".59",".55",".04",".02",".47",".65","6.97","10.84","8.24","12861"
"Yoan Moncada","White Sox","","2B","4.64",".90",".56",".15",".04",".15",".57",".44",".13",".07",".66","1.48","6.99","10.82","8.20","17232"
"Buster Posey","Giants","SD @ SF","C","4.29","1.18",".81",".26",".01",".10",".56",".61",".02",".01",".48",".41","6.91","10.79","8.23","9166"
"Adam Jones","Orioles","BAL @ ATL","CF","4.68","1.24",".84",".23",".01",".16",".66",".50",".01",".01",".30",".78","6.88","10.70","8.29","6368"
"Starling Marte","Pirates","ARI @ PIT","CF","4.29","1.14",".79",".21",".04",".11",".51",".47",".18",".08",".33",".92","6.87","10.64","8.34","9241"
"Jake Lamb","Diamondbacks","ARI @ PIT","3B","4.56","1.00",".57",".24",".03",".15",".57",".57",".03",".02",".49","1.05","6.91","10.76","8.13","13329"
"David Peralta","Diamondbacks","ARI @ PIT","LF","4.45","1.18",".78",".25",".03",".12",".51",".65",".04",".02",".31",".76","6.82","10.66","8.20","2136"
